employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
State Farm Mutual Automobile Insurance Company,"Jan 24, 2023",186,WARN,Tempe,85281,7 - ARIZONA@WORK Maricopa County,"400/500/600 Rio Salado Pkwy; Tempe, Arizona 85281",682,https://www.azjobconnection.gov/search/warn_lookups/682
The CLUB for YOUth,"May 01, 2023",12,Non-WARN,Kingman,86401,11 - ARIZONA@WORK Mohave and La Paz Counties,"301 N 1st St; Kingman, Arizona 86401",707,https://www.azjobconnection.gov/search/warn_lookups/707
Solari Crisis and Human Services,"Jan 27, 2023",27,Non-WARN,Tempe,85288,7 - ARIZONA@WORK Maricopa County,"1275 W Washington Street, Suite 210; Tempe, Arizona 85288",684,https://www.azjobconnection.gov/search/warn_lookups/684
ttec,"Jan 30, 2023",308,WARN,Tempe,85281,7 - ARIZONA@WORK Maricopa County,"40 E Rio Salado Pkwy, Suite 1000; Tempe, Arizona 85281",685,https://www.azjobconnection.gov/search/warn_lookups/685
NextCare Urgent Care,"Feb 01, 2023",12,Non-WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"1394 W. 16th St. ; Yuma, Arizona 85364",686,https://www.azjobconnection.gov/search/warn_lookups/686
"UPS Supply Chain Solutions, Inc.","Feb 02, 2023",98,WARN,Goodyear,85338,7 - ARIZONA@WORK Maricopa County,"305 South Bullard Avenue; Goodyear, Arizona 85338",688,https://www.azjobconnection.gov/search/warn_lookups/688
"Vitacost, Inc.","Feb 06, 2023",57,WARN,Tempe,85282,7 - ARIZONA@WORK Maricopa County,"5100 S. McClintock Dr.; Tempe, Arizona 85282",689,https://www.azjobconnection.gov/search/warn_lookups/689
"Critical Ideas, Inc. dba Chipper Cash","Feb 16, 2023",,WARN,San Francisco,94104,7 - ARIZONA@WORK Maricopa County,,690,https://www.azjobconnection.gov/search/warn_lookups/690
Cardinal Glass,"Feb 14, 2023",10,Non-WARN,Casa Grande,85122,2003 - ARIZONA@WORK Pinal County,"1109 N Jefferson Avenue; Casa Grande, Arizona 85122",691,https://www.azjobconnection.gov/search/warn_lookups/691
Divvy Homes Inc.,"Sep 08, 2023",2,WARN,San Francisco,94104,5 - ARIZONA@WORK City of Phoenix,"300 Montgomery Street, Suite 350; San Francisco, California 94104",735,https://www.azjobconnection.gov/search/warn_lookups/735
"Microtech Southwest, Inc./ Westfall Technik, Inc.","Feb 23, 2023",60,WARN,Las Vegas,89169,7 - ARIZONA@WORK Maricopa County,"3883 Howard Hughes Pkwy, Suite 590; Las Vegas, Nevada 89169",692,https://www.azjobconnection.gov/search/warn_lookups/692
"Integrity Molds, Inc./ Westfall Technik, Inc.","Feb 23, 2023",,WARN,Las Vegas,89169,7 - ARIZONA@WORK Maricopa County,,693,https://www.azjobconnection.gov/search/warn_lookups/693
"RPM Logistics, LLC","Feb 27, 2023",,WARN,Phoenix,85034,7 - ARIZONA@WORK Maricopa County,,694,https://www.azjobconnection.gov/search/warn_lookups/694
TaskUs,"Mar 01, 2023",91,WARN,Chandler,85226,7 - ARIZONA@WORK Maricopa County,"601 South 54th Street; Chandler, Arizona 85226",695,https://www.azjobconnection.gov/search/warn_lookups/695
Mural Consulting Corporation,"Mar 02, 2023",100,Non-WARN,Tucson,85704,6 - ARIZONA@WORK Pima County,"1455 W. River Rd.; Tucson, Arizona 85704",696,https://www.azjobconnection.gov/search/warn_lookups/696
Yuma Hospitality LLC DBA Rivers Edge Assisted Living,"Mar 13, 2023",30,Non-WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"2050 S. 4th Ave; Yuma, Arizona 85364",697,https://www.azjobconnection.gov/search/warn_lookups/697
Flex LTD,"Aug 29, 2023",50,WARN,Tempe,85281,7 - ARIZONA@WORK Maricopa County,"1735 W. 10th St.; Tempe, Arizona 85281",733,https://www.azjobconnection.gov/search/warn_lookups/733
"TuSimple, Inc.","May 22, 2023",108,WARN,Tucson,85747,6 - ARIZONA@WORK Pima County,"9538 E. Old Vail Rd; Tucson, Arizona 85747",710,https://www.azjobconnection.gov/search/warn_lookups/710
Dole Fresh Vegetables Inc.,"Aug 30, 2023",64,WARN,Yuma,85365,9 - ARIZONA@WORK Yuma County,"3725 S. Avenue 3 1/2 E,; Yuma, Arizona 85365",734,https://www.azjobconnection.gov/search/warn_lookups/734
"Ipro Tech, LLC","Aug 29, 2023",,WARN,Scottsdale,85257,7 - ARIZONA@WORK Maricopa County,,732,https://www.azjobconnection.gov/search/warn_lookups/732
OnPoint Laboratories LLC,"Sep 12, 2023",5,Non-WARN,Snowflake,85937,2002 - ARIZONA@WORK Northeastern Arizona,"501 Main Street; Snowflake, Arizona 85937",736,https://www.azjobconnection.gov/search/warn_lookups/736
Sky High Crane & Rigging Inc,"May 24, 2023",5,Non-WARN,Lake Havasu City,86404,11 - ARIZONA@WORK Mohave and La Paz Counties,"1020 Empire Drive; Lake Havasu City, Arizona 86404",711,https://www.azjobconnection.gov/search/warn_lookups/711
YMCA - Yuma,"Jun 12, 2023",29,Non-WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"1917 W. 32nd St. ; Yuma, Arizona 85364",712,https://www.azjobconnection.gov/search/warn_lookups/712
"Thriveworks Administrative Services, LLC","Sep 15, 2023",78,WARN,Phoenix,85014,5 - ARIZONA@WORK City of Phoenix,"1110 E. Missouri Ave; Phoenix, Arizona 85014",737,https://www.azjobconnection.gov/search/warn_lookups/737
Levy Premium Foodservice Limited Partnership,"Jun 26, 2023",335,WARN,Chicago,60611,5 - ARIZONA@WORK City of Phoenix,"980 North Michigan Ave, Suite.400; Chicago, Illinois 60611",713,https://www.azjobconnection.gov/search/warn_lookups/713
Sunrun (Broadway Rd.  Phoenix),"Jun 30, 2023",,WARN,Phoenix,85040,5 - ARIZONA@WORK City of Phoenix,,714,https://www.azjobconnection.gov/search/warn_lookups/714
Sunrun (Mesa),"Jun 30, 2023",80,WARN,Mesa,85210,7 - ARIZONA@WORK Maricopa County,"1001 W Southern Ave., Suite 235; Mesa, Arizona 85210",715,https://www.azjobconnection.gov/search/warn_lookups/715
Sunrun (19th Ave. Phoenix),"Jun 30, 2023",75,WARN,Phoenix,85027,5 - ARIZONA@WORK City of Phoenix,"21410 North 19th Ave, Phoenix,; Phoenix, Arizona 85027",716,https://www.azjobconnection.gov/search/warn_lookups/716
Sunrun (Sweetwater Ave. Phoenix),"Jun 30, 2023",117,WARN,Phoenix,85040,5 - ARIZONA@WORK City of Phoenix,"2848 Sweetwater Avenue ; Phoenix, Arizona 85040",717,https://www.azjobconnection.gov/search/warn_lookups/717
