employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Yellow Corp,"Jul 30, 2023",,WARN,Washington,20001,1 - Workforce Investment Area I,,2214,https://www.kansasworks.com/search/warn_lookups/2214
Sheridan,"Aug 28, 2023",72,WARN,Lawrence,66044,2 - Workforce Investment Area II,"810 E. 10th Street; Lawrence, Kansas 66044",2215,https://www.kansasworks.com/search/warn_lookups/2215
Newell Rubbermaid,"Aug 03, 2023",46,Non-WARN,Winfield,67156,4 - Workforce Investment Area IV,"Liz Cazares; Winfield, Kansas 67156",2216,https://www.kansasworks.com/search/warn_lookups/2216
DAV Thrift Stores,"Sep 12, 2023",50,Non-WARN,Wichita,67226,4 - Workforce Investment Area IV,"DAV Thrift Stores; Wichita, Kansas 67226",2217,https://www.kansasworks.com/search/warn_lookups/2217
Herington Hospital,"Oct 06, 2023",57,Non-WARN,Herington,67449,1 - Workforce Investment Area I,"100 E. Helen; Herington, Kansas 67449",2218,https://www.kansasworks.com/search/warn_lookups/2218
Newman University,"Oct 25, 2023",10,Non-WARN,Wichita,67202,4 - Workforce Investment Area IV,"Crosby Branham, 300 W. Douglas; Wichita, Kansas 67202",2219,https://www.kansasworks.com/search/warn_lookups/2219
Walgreen's,"Oct 23, 2023",5,Non-WARN,El Dorado,67042,4 - Workforce Investment Area IV,"119 6th St. ; El Dorado, Kansas 67042",2220,https://www.kansasworks.com/search/warn_lookups/2220
Siemens,"May 20, 2022",92,WARN,Hutchinson,67501,1 - Workforce Investment Area I,"1000 Commerce Street; Hutchinson, Kansas 67501",2158,https://www.kansasworks.com/search/warn_lookups/2158
Siemens,"Feb 09, 2022",65,WARN,Hutchinson,67501,1 - Workforce Investment Area I,"1000 Commerce St.; Hutchinson, Kansas 67501",2156,https://www.kansasworks.com/search/warn_lookups/2156
Smithfield,"May 17, 2022",80,WARN,Kansas City,66111,3 - Workforce Investment Area III,"S. 98th Street, Suite A; Kansas City, Kansas 66111",2157,https://www.kansasworks.com/search/warn_lookups/2157
