employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Kansa Technology,"Aug 13, 2018",13,Non-WARN,,,5 - Workforce Investment Area V,,1913,https://www.kansasworks.com/search/warn_lookups/1913
Holiday Resort,"Sep 11, 2018",,Non-WARN,,,5 - Workforce Investment Area V,,1914,https://www.kansasworks.com/search/warn_lookups/1914
Anthem,"Oct 18, 2018",287,WARN,,,3 - Workforce Investment Area III,,1915,https://www.kansasworks.com/search/warn_lookups/1915
"Pacific Sunwear of California, LLC","Oct 23, 2018",121,WARN,,,3 - Workforce Investment Area III,,1916,https://www.kansasworks.com/search/warn_lookups/1916
"Mercy Health Kansas Communities, Inc., d/b/a Mercy","Oct 26, 2018",327,WARN,,,5 - Workforce Investment Area V,,1918,https://www.kansasworks.com/search/warn_lookups/1918
Tischlerei,"Nov 01, 2018",,Non-WARN,,,1 - Workforce Investment Area I,,1919,https://www.kansasworks.com/search/warn_lookups/1919
"Hooper Holmes, Inc.","Nov 01, 2018",99,WARN,,,3 - Workforce Investment Area III,,1920,https://www.kansasworks.com/search/warn_lookups/1920
Brinks Home Security,"Nov 06, 2018",96,WARN,,,2 - Workforce Investment Area II,,1921,https://www.kansasworks.com/search/warn_lookups/1921
Formation Plastics,"Dec 03, 2018",32,Non-WARN,,,1 - Workforce Investment Area I,,1922,https://www.kansasworks.com/search/warn_lookups/1922
K-Mart,"Oct 15, 2018",,Non-WARN,,,1 - Workforce Investment Area I,,1923,https://www.kansasworks.com/search/warn_lookups/1923
Midwest Pathology Consultants,"Dec 06, 2018",,Non-WARN,,,5 - Workforce Investment Area V,,1924,https://www.kansasworks.com/search/warn_lookups/1924
Shopko Hometown,"Dec 03, 2018",13,Non-WARN,,,4 - Workforce Investment Area IV,,1928,https://www.kansasworks.com/search/warn_lookups/1928
Big Lots,"Dec 03, 2018",19,Non-WARN,,,4 - Workforce Investment Area IV,,1929,https://www.kansasworks.com/search/warn_lookups/1929
Sears Hometown,"Dec 07, 2018",5,Non-WARN,,,4 - Workforce Investment Area IV,,1969,https://www.kansasworks.com/search/warn_lookups/1969
Sears,"Dec 27, 2018",,Non-WARN,,,4 - Workforce Investment Area IV,,1970,https://www.kansasworks.com/search/warn_lookups/1970
Pro-Bound Spports,"Jan 05, 2017",4,Non-WARN,,,1 - Workforce Investment Area I,,1839,https://www.kansasworks.com/search/warn_lookups/1839
Learjet,"Jan 23, 2017",42,Non-WARN,,,4 - Workforce Investment Area IV,,1840,https://www.kansasworks.com/search/warn_lookups/1840
Aero-Mach Labs,"Jan 25, 2017",,Non-WARN,,,4 - Workforce Investment Area IV,,1841,https://www.kansasworks.com/search/warn_lookups/1841
K-Mart,"Jan 04, 2017",50,Non-WARN,,,4 - Workforce Investment Area IV,,1842,https://www.kansasworks.com/search/warn_lookups/1842
Wichita Eagle,"Jan 19, 2017",14,Non-WARN,,,4 - Workforce Investment Area IV,,1843,https://www.kansasworks.com/search/warn_lookups/1843
Sears,"Jan 06, 2017",40,Non-WARN,,,1 - Workforce Investment Area I,,1844,https://www.kansasworks.com/search/warn_lookups/1844
Philips Lighting,"Jan 31, 2017",,Non-WARN,,,1 - Workforce Investment Area I,,1845,https://www.kansasworks.com/search/warn_lookups/1845
Via Christi Health,"Feb 10, 2017",32,WARN,,,4 - Workforce Investment Area IV,,1846,https://www.kansasworks.com/search/warn_lookups/1846
Red Guard,"Mar 14, 2017",25,Non-WARN,Halstead,67056,1 - Workforce Investment Area I,"920 W. 2nd; Halstead, Kansas 67056",1848,https://www.kansasworks.com/search/warn_lookups/1848
Vanity,"Mar 10, 2017",7,Non-WARN,,,1 - Workforce Investment Area I,,1849,https://www.kansasworks.com/search/warn_lookups/1849
Amazon,"Mar 29, 2017",,WARN,,,3 - Workforce Investment Area III,,1850,https://www.kansasworks.com/search/warn_lookups/1850
Alorica,"Mar 02, 2017",50,Non-WARN,,,2 - Workforce Investment Area II,,1851,https://www.kansasworks.com/search/warn_lookups/1851
Alorica,"Mar 23, 2017",300,Non-WARN,,,2 - Workforce Investment Area II,,1852,https://www.kansasworks.com/search/warn_lookups/1852
Walser Automotive Group,"Apr 06, 2017",12,Non-WARN,,,4 - Workforce Investment Area IV,,1853,https://www.kansasworks.com/search/warn_lookups/1853
City of Wichita,"Mar 29, 2017",,Non-WARN,,,4 - Workforce Investment Area IV,,1854,https://www.kansasworks.com/search/warn_lookups/1854
JC Penney,"Mar 17, 2017",,Non-WARN,,,4 - Workforce Investment Area IV,,1855,https://www.kansasworks.com/search/warn_lookups/1855
"Sodexo, Inc.","May 01, 2017",151,WARN,,,4 - Workforce Investment Area IV,,1856,https://www.kansasworks.com/search/warn_lookups/1856
Scholfield Corporate,"Apr 25, 2017",4,Non-WARN,,,4 - Workforce Investment Area IV,,1857,https://www.kansasworks.com/search/warn_lookups/1857
Convergys,"May 02, 2017",25,Non-WARN,,,4 - Workforce Investment Area IV,,1858,https://www.kansasworks.com/search/warn_lookups/1858
JC Penny,"Apr 03, 2017",30,Non-WARN,,,1 - Workforce Investment Area I,,1859,https://www.kansasworks.com/search/warn_lookups/1859
JC Penny,"Mar 31, 2017",30,Non-WARN,,,1 - Workforce Investment Area I,,1860,https://www.kansasworks.com/search/warn_lookups/1860
Millard Lumber,"May 22, 2017",35,Non-WARN,,,5 - Workforce Investment Area V,,1861,https://www.kansasworks.com/search/warn_lookups/1861
DCCCA,"May 23, 2017",,Non-WARN,Pittsburg,66762,5 - Workforce Investment Area V,,1862,https://www.kansasworks.com/search/warn_lookups/1862
Radio Shack,"Mar 30, 2017",2,Non-WARN,,,1 - Workforce Investment Area I,,1863,https://www.kansasworks.com/search/warn_lookups/1863
Via Christi,"May 19, 2017",50,Non-WARN,,,4 - Workforce Investment Area IV,,1864,https://www.kansasworks.com/search/warn_lookups/1864
Lee Aerospace,"Jun 01, 2017",,Non-WARN,,,4 - Workforce Investment Area IV,,1865,https://www.kansasworks.com/search/warn_lookups/1865
Catholic Charities,"Jun 08, 2017",12,Non-WARN,,,4 - Workforce Investment Area IV,,1866,https://www.kansasworks.com/search/warn_lookups/1866
"General Motors, LLC","Jun 16, 2017",1053,WARN,,,3 - Workforce Investment Area III,,1867,https://www.kansasworks.com/search/warn_lookups/1867
Excel Industies Inc,"Jun 15, 2017",270,Non-WARN,,,1 - Workforce Investment Area I,,1868,https://www.kansasworks.com/search/warn_lookups/1868
Sears Holding,"Jun 22, 2017",,WARN,,,3 - Workforce Investment Area III,,1869,https://www.kansasworks.com/search/warn_lookups/1869
Sears Holding,"Jun 22, 2017",13,WARN,,,3 - Workforce Investment Area III,,1870,https://www.kansasworks.com/search/warn_lookups/1870
GVL Poly,"Jun 23, 2017",45,Non-WARN,,,1 - Workforce Investment Area I,,1871,https://www.kansasworks.com/search/warn_lookups/1871
Cornerstones of Care,"Aug 17, 2017",60,WARN,,,3 - Workforce Investment Area III,,1872,https://www.kansasworks.com/search/warn_lookups/1872
Central Credit Services LLC,"Sep 01, 2017",,WARN,Overland Park,66211,3 - Workforce Investment Area III,,1873,https://www.kansasworks.com/search/warn_lookups/1873
Trego Manor,"Aug 16, 2017",22,Non-WARN,,,1 - Workforce Investment Area I,,1874,https://www.kansasworks.com/search/warn_lookups/1874
Daymon Worldwide,"Sep 11, 2017",36,Non-WARN,,,1 - Workforce Investment Area I,,1875,https://www.kansasworks.com/search/warn_lookups/1875
Siemens,"Sep 01, 2017",137,WARN,,,1 - Workforce Investment Area I,,1876,https://www.kansasworks.com/search/warn_lookups/1876
People's Inc.,"Sep 18, 2017",,WARN,,,3 - Workforce Investment Area III,,1877,https://www.kansasworks.com/search/warn_lookups/1877
National Flood Services,"Jun 22, 2017",,Non-WARN,,,3 - Workforce Investment Area III,,1878,https://www.kansasworks.com/search/warn_lookups/1878
Treadit Tire and Wheel,"Aug 01, 2017",15,Non-WARN,,,3 - Workforce Investment Area III,,1879,https://www.kansasworks.com/search/warn_lookups/1879
SKF USA Inc.,"Oct 24, 2017",170,WARN,,,2 - Workforce Investment Area II,,1880,https://www.kansasworks.com/search/warn_lookups/1880
Arconic,"Oct 25, 2017",3,Non-WARN,,,1 - Workforce Investment Area I,,1881,https://www.kansasworks.com/search/warn_lookups/1881
Golden Corral,"Nov 02, 2017",,Non-WARN,,,1 - Workforce Investment Area I,,1882,https://www.kansasworks.com/search/warn_lookups/1882
Schofield Corporate,"Oct 26, 2017",3,Non-WARN,,,4 - Workforce Investment Area IV,,1883,https://www.kansasworks.com/search/warn_lookups/1883
Lee Aerospace,"Nov 06, 2017",25,Non-WARN,,,4 - Workforce Investment Area IV,,1884,https://www.kansasworks.com/search/warn_lookups/1884
Payless Shoesource,"Nov 16, 2017",170,WARN,,,2 - Workforce Investment Area II,,1885,https://www.kansasworks.com/search/warn_lookups/1885
"Digital Ally, Inc.","Nov 17, 2017",,WARN,,,3 - Workforce Investment Area III,,1886,https://www.kansasworks.com/search/warn_lookups/1886
CHS Inc.,"Dec 01, 2017",78,WARN,,,1 - Workforce Investment Area I,,1887,https://www.kansasworks.com/search/warn_lookups/1887
AT&T,"Oct 02, 2017",66,WARN,,,4 - Workforce Investment Area IV,,1888,https://www.kansasworks.com/search/warn_lookups/1888
Dillard's,"Aug 28, 2017",40,Non-WARN,,,1 - Workforce Investment Area I,,1889,https://www.kansasworks.com/search/warn_lookups/1889
Sprint,"Jan 22, 2016",829,WARN,,,3 - Workforce Investment Area III,,1780,https://www.kansasworks.com/search/warn_lookups/1780
Spirit AeroSystems,"Jan 11, 2016",66,Non-WARN,,,4 - Workforce Investment Area IV,,1771,https://www.kansasworks.com/search/warn_lookups/1771
PCC Aerostructures - Exacta Aerospace,"Jan 14, 2016",,Non-WARN,,,4 - Workforce Investment Area IV,,1772,https://www.kansasworks.com/search/warn_lookups/1772
Smithfield Foods,"Jan 18, 2016",28,Non-WARN,,,4 - Workforce Investment Area IV,,1776,https://www.kansasworks.com/search/warn_lookups/1776
Walmart,"Jan 15, 2016",71,WARN,,,4 - Workforce Investment Area IV,,1777,https://www.kansasworks.com/search/warn_lookups/1777
Walmart,"Jan 15, 2016",70,WARN,,,4 - Workforce Investment Area IV,,1778,https://www.kansasworks.com/search/warn_lookups/1778
Walmart,"Jan 15, 2016",,WARN,,,4 - Workforce Investment Area IV,,1779,https://www.kansasworks.com/search/warn_lookups/1779
wal-Mart,"Jan 15, 2016",32,Non-WARN,,,1 - Workforce Investment Area I,,1781,https://www.kansasworks.com/search/warn_lookups/1781
Walmart,"Jan 15, 2016",35,Non-WARN,,,1 - Workforce Investment Area I,,1782,https://www.kansasworks.com/search/warn_lookups/1782
Rusty Eck Ford,"Feb 04, 2016",4,Non-WARN,,,4 - Workforce Investment Area IV,,1783,https://www.kansasworks.com/search/warn_lookups/1783
QuadGraphics,"Jan 28, 2016",95,WARN,,,3 - Workforce Investment Area III,,1784,https://www.kansasworks.com/search/warn_lookups/1784
PolyOne,"Feb 03, 2016",74,WARN,,,4 - Workforce Investment Area IV,,1785,https://www.kansasworks.com/search/warn_lookups/1785
The Salvation Army - Youth Residential Center,"Feb 05, 2016",11,Non-WARN,,,4 - Workforce Investment Area IV,,1786,https://www.kansasworks.com/search/warn_lookups/1786
Spur Bar and Grill,"Jan 21, 2016",8,Non-WARN,,,1 - Workforce Investment Area I,,1787,https://www.kansasworks.com/search/warn_lookups/1787
Walmart,"Jan 15, 2016",,Non-WARN,,,4 - Workforce Investment Area IV,,1788,https://www.kansasworks.com/search/warn_lookups/1788
Walmart,"Jan 15, 2016",30,Non-WARN,,,4 - Workforce Investment Area IV,,1789,https://www.kansasworks.com/search/warn_lookups/1789
Learjet Bombardier,"Feb 17, 2016",120,Non-WARN,,,4 - Workforce Investment Area IV,,1790,https://www.kansasworks.com/search/warn_lookups/1790
Prime Concepts Group,"Feb 29, 2016",8,Non-WARN,,,4 - Workforce Investment Area IV,,1792,https://www.kansasworks.com/search/warn_lookups/1792
The Wichita Eagle,"Mar 15, 2016",,WARN,,,4 - Workforce Investment Area IV,,1793,https://www.kansasworks.com/search/warn_lookups/1793
Spirit Aerosystems,"Mar 14, 2016",,Non-WARN,,,4 - Workforce Investment Area IV,,1794,https://www.kansasworks.com/search/warn_lookups/1794
Sports Authority,"Mar 02, 2016",20,Non-WARN,,,4 - Workforce Investment Area IV,,1795,https://www.kansasworks.com/search/warn_lookups/1795
Spirit Aerosystems,"Apr 04, 2016",32,Non-WARN,,,4 - Workforce Investment Area IV,,1796,https://www.kansasworks.com/search/warn_lookups/1796
Western Industries,"Mar 31, 2016",22,Non-WARN,,,4 - Workforce Investment Area IV,,1797,https://www.kansasworks.com/search/warn_lookups/1797
Aero-Mach Labs,"Apr 12, 2016",5,Non-WARN,,,4 - Workforce Investment Area IV,,1798,https://www.kansasworks.com/search/warn_lookups/1798
Sprint,"Apr 26, 2016",113,WARN,,,3 - Workforce Investment Area III,,1799,https://www.kansasworks.com/search/warn_lookups/1799
Van Rob,"May 12, 2014",150,Non-WARN,,,3 - Workforce Investment Area III,,1671,https://www.kansasworks.com/search/warn_lookups/1671
Athene,"Jan 23, 2014",204,WARN,,,2 - Workforce Investment Area II,,1641,https://www.kansasworks.com/search/warn_lookups/1641
Bimbo Bakeries (Earthgrains Baking Company),"Jan 03, 2014",,WARN,,,4 - Workforce Investment Area IV,,1627,https://www.kansasworks.com/search/warn_lookups/1627
"NORDAM Group, Inc.","Jan 10, 2014",79,WARN,,,4 - Workforce Investment Area IV,,1634,https://www.kansasworks.com/search/warn_lookups/1634
Macys,"Jan 08, 2014",106,WARN,,,3 - Workforce Investment Area III,,1635,https://www.kansasworks.com/search/warn_lookups/1635
Atlas Aerospace,"Jan 17, 2014",6,Non-WARN,,,4 - Workforce Investment Area IV,,1636,https://www.kansasworks.com/search/warn_lookups/1636
Bombardier Learjet,"Jan 21, 2014",,Non-WARN,,,4 - Workforce Investment Area IV,,1637,https://www.kansasworks.com/search/warn_lookups/1637
Boeing,"Jan 17, 2014",82,WARN,,,4 - Workforce Investment Area IV,,1638,https://www.kansasworks.com/search/warn_lookups/1638
Center Industries,"Jan 23, 2014",13,Non-WARN,,,4 - Workforce Investment Area IV,,1639,https://www.kansasworks.com/search/warn_lookups/1639
Boeing,"Feb 01, 2014",18,WARN,,,4 - Workforce Investment Area IV,,1645,https://www.kansasworks.com/search/warn_lookups/1645
Center Industries,"Feb 03, 2014",,Non-WARN,,,4 - Workforce Investment Area IV,,1646,https://www.kansasworks.com/search/warn_lookups/1646
Boeing,"Feb 14, 2014",,WARN,,,4 - Workforce Investment Area IV,,1647,https://www.kansasworks.com/search/warn_lookups/1647
Bechtel Power Corporation,"Feb 20, 2014",106,WARN,,,5 - Workforce Investment Area V,,1648,https://www.kansasworks.com/search/warn_lookups/1648
Cox Communications,"Mar 03, 2014",160,WARN,,,4 - Workforce Investment Area IV,,1651,https://www.kansasworks.com/search/warn_lookups/1651
General Dynamics Information Technology,"Feb 27, 2014",137,WARN,,,2 - Workforce Investment Area II,,1652,https://www.kansasworks.com/search/warn_lookups/1652
"Medicalodges, Inc.","Feb 26, 2014",54,WARN,,,3 - Workforce Investment Area III,,1653,https://www.kansasworks.com/search/warn_lookups/1653
Atlas Aerospace,"Feb 27, 2014",,Non-WARN,,,4 - Workforce Investment Area IV,,1654,https://www.kansasworks.com/search/warn_lookups/1654
Sprint,"Mar 18, 2014",,WARN,,,3 - Workforce Investment Area III,,1655,https://www.kansasworks.com/search/warn_lookups/1655
Nation Pizza and Foods,"Mar 18, 2014",94,WARN,,,1 - Workforce Investment Area I,,1656,https://www.kansasworks.com/search/warn_lookups/1656
"Southwire, LLC","Mar 24, 2014",181,WARN,,,5 - Workforce Investment Area V,,1657,https://www.kansasworks.com/search/warn_lookups/1657
Boeing,"Mar 21, 2014",131,WARN,,,4 - Workforce Investment Area IV,,1658,https://www.kansasworks.com/search/warn_lookups/1658
Milestone AV Technologies / DA-LITE / Advanced Pro,"Mar 25, 2014",,WARN,,,4 - Workforce Investment Area IV,,1659,https://www.kansasworks.com/search/warn_lookups/1659
Harte Hanks,"Mar 24, 2014",93,WARN,,,3 - Workforce Investment Area III,,1660,https://www.kansasworks.com/search/warn_lookups/1660
Boeing,"Apr 18, 2014",38,WARN,,,4 - Workforce Investment Area IV,,1661,https://www.kansasworks.com/search/warn_lookups/1661
BTCO,"Apr 14, 2014",5,Non-WARN,,,4 - Workforce Investment Area IV,,1662,https://www.kansasworks.com/search/warn_lookups/1662
Standard Motors Inc,"Jan 02, 2013",25,Non-WARN,,,5 - Workforce Investment Area V,,1564,https://www.kansasworks.com/search/warn_lookups/1564
Youthville,"Feb 01, 2013",189,Non-WARN,,,4 - Workforce Investment Area IV,,1565,https://www.kansasworks.com/search/warn_lookups/1565
Boeing,"Jan 18, 2013",,WARN,,,4 - Workforce Investment Area IV,,1566,https://www.kansasworks.com/search/warn_lookups/1566
Hawker Beechcraft,"Jan 28, 2013",8,WARN,,,4 - Workforce Investment Area IV,,1567,https://www.kansasworks.com/search/warn_lookups/1567
Boeing,"Feb 01, 2013",5,WARN,,,4 - Workforce Investment Area IV,,1568,https://www.kansasworks.com/search/warn_lookups/1568
Alco,"Feb 05, 2013",9,Non-WARN,,,1 - Workforce Investment Area I,,1569,https://www.kansasworks.com/search/warn_lookups/1569
Spirit Aerosystems,"Mar 15, 2013",,Non-WARN,,,4 - Workforce Investment Area IV,,1570,https://www.kansasworks.com/search/warn_lookups/1570
Boeing,"Feb 15, 2013",36,WARN,,,4 - Workforce Investment Area IV,,1571,https://www.kansasworks.com/search/warn_lookups/1571
Kaman Composites,"Mar 27, 2013",10,Non-WARN,,,4 - Workforce Investment Area IV,,1572,https://www.kansasworks.com/search/warn_lookups/1572
Boeing,"Mar 22, 2013",70,WARN,,,4 - Workforce Investment Area IV,,1573,https://www.kansasworks.com/search/warn_lookups/1573
Beechcraft Corp,"Mar 22, 2013",,WARN,,,4 - Workforce Investment Area IV,,1574,https://www.kansasworks.com/search/warn_lookups/1574
Child Start,"Apr 01, 2013",,Non-WARN,,,4 - Workforce Investment Area IV,,1575,https://www.kansasworks.com/search/warn_lookups/1575
Boeing,"Apr 19, 2013",29,WARN,,,4 - Workforce Investment Area IV,,1576,https://www.kansasworks.com/search/warn_lookups/1576
GLMV Architecture,"May 01, 2013",8,Non-WARN,,,4 - Workforce Investment Area IV,,1577,https://www.kansasworks.com/search/warn_lookups/1577
Alco,"Apr 09, 2013",126,WARN,,,1 - Workforce Investment Area I,,1578,https://www.kansasworks.com/search/warn_lookups/1578
Sodexo,"May 06, 2013",,Non-WARN,,,4 - Workforce Investment Area IV,,1579,https://www.kansasworks.com/search/warn_lookups/1579
Wellington Family Practice,"May 16, 2013",12,Non-WARN,,,4 - Workforce Investment Area IV,,1580,https://www.kansasworks.com/search/warn_lookups/1580
Butler Community College,"May 08, 2013",10,Non-WARN,,,4 - Workforce Investment Area IV,,1581,https://www.kansasworks.com/search/warn_lookups/1581
Boeing,"May 17, 2013",61,WARN,,,4 - Workforce Investment Area IV,,1582,https://www.kansasworks.com/search/warn_lookups/1582
"ARAMARK Healthcare Support Services, LLC","May 28, 2013",,WARN,,,4 - Workforce Investment Area IV,,1583,https://www.kansasworks.com/search/warn_lookups/1583
Cessna,"May 28, 2013",,Non-WARN,,,4 - Workforce Investment Area IV,,1584,https://www.kansasworks.com/search/warn_lookups/1584
MWV Calmar,"Jun 05, 2013",22,Non-WARN,,,4 - Workforce Investment Area IV,,1585,https://www.kansasworks.com/search/warn_lookups/1585
USD 259 Wichita Public Schools,"May 30, 2013",20,Non-WARN,,,4 - Workforce Investment Area IV,,1586,https://www.kansasworks.com/search/warn_lookups/1586
Via Christi,"Jun 21, 2013",230,Non-WARN,,,4 - Workforce Investment Area IV,,1587,https://www.kansasworks.com/search/warn_lookups/1587
United States Postal Service Remote Encoding Cente,"Feb 20, 2013",360,Non-WARN,,,4 - Workforce Investment Area IV,,1588,https://www.kansasworks.com/search/warn_lookups/1588
Cash Savers Cost Plus Food Outlet,"Jun 20, 2013",12,Non-WARN,,,4 - Workforce Investment Area IV,,1589,https://www.kansasworks.com/search/warn_lookups/1589
Boeing,"Jun 21, 2013",40,WARN,,,4 - Workforce Investment Area IV,,1590,https://www.kansasworks.com/search/warn_lookups/1590
Beef Belt Feeders,"Jun 03, 2013",10,Non-WARN,,,1 - Workforce Investment Area I,,1591,https://www.kansasworks.com/search/warn_lookups/1591
Larned State Hospital,"Jun 03, 2013",14,Non-WARN,,,1 - Workforce Investment Area I,,1592,https://www.kansasworks.com/search/warn_lookups/1592
Beechcraft Corp,"Jul 12, 2013",22,WARN,,,4 - Workforce Investment Area IV,,1593,https://www.kansasworks.com/search/warn_lookups/1593
Bombardier Learjet,"Jul 22, 2013",,Non-WARN,,,4 - Workforce Investment Area IV,,1594,https://www.kansasworks.com/search/warn_lookups/1594
Boeing,"Jul 19, 2013",55,WARN,,,4 - Workforce Investment Area IV,,1595,https://www.kansasworks.com/search/warn_lookups/1595
Spirit Aerosystems,"Jul 25, 2013",300,Non-WARN,,,4 - Workforce Investment Area IV,,1596,https://www.kansasworks.com/search/warn_lookups/1596
Kansas Department for Children & Families,"Aug 05, 2013",187,Non-WARN,,,4 - Workforce Investment Area IV,,1597,https://www.kansasworks.com/search/warn_lookups/1597
Holtzen Woodworking Inc,"Aug 23, 2013",,Non-WARN,,,4 - Workforce Investment Area IV,,1598,https://www.kansasworks.com/search/warn_lookups/1598
Boeing,"Aug 23, 2013",,WARN,,,4 - Workforce Investment Area IV,,1599,https://www.kansasworks.com/search/warn_lookups/1599
SureWest,"Mar 08, 2013",36,Non-WARN,,,3 - Workforce Investment Area III,,1600,https://www.kansasworks.com/search/warn_lookups/1600
Rock Tenn,"Jan 08, 2013",17,Non-WARN,,,3 - Workforce Investment Area III,,1601,https://www.kansasworks.com/search/warn_lookups/1601
Frito-Lay,"Jan 01, 2013",35,Non-WARN,,,3 - Workforce Investment Area III,,1605,https://www.kansasworks.com/search/warn_lookups/1605
KU Medical Center,"Jul 09, 2013",,WARN,,,3 - Workforce Investment Area III,,1606,https://www.kansasworks.com/search/warn_lookups/1606
Johnson County Court,"Jul 16, 2013",18,Non-WARN,,,3 - Workforce Investment Area III,,1607,https://www.kansasworks.com/search/warn_lookups/1607
Graham Packaging Plastic Products Inc.,"Aug 26, 2013",52,WARN,,,3 - Workforce Investment Area III,,1608,https://www.kansasworks.com/search/warn_lookups/1608
"AMG Service, Inc.","Sep 05, 2013",159,WARN,,,3 - Workforce Investment Area III,,1609,https://www.kansasworks.com/search/warn_lookups/1609
Spirit Aerosystems,"Sep 12, 2013",,WARN,,,4 - Workforce Investment Area IV,,1610,https://www.kansasworks.com/search/warn_lookups/1610
Adjutant General,"Aug 23, 2013",32,WARN,,,1 - Workforce Investment Area I,,1611,https://www.kansasworks.com/search/warn_lookups/1611
Boeing,"Sep 20, 2013",58,WARN,,,4 - Workforce Investment Area IV,,1612,https://www.kansasworks.com/search/warn_lookups/1612
Sprint,"Sep 23, 2013",54,WARN,,,3 - Workforce Investment Area III,,1613,https://www.kansasworks.com/search/warn_lookups/1613
Cash Co.,"Oct 11, 2013",,Non-WARN,,,1 - Workforce Investment Area I,,1615,https://www.kansasworks.com/search/warn_lookups/1615
Atlas Aerospace,"Oct 21, 2013",,Non-WARN,,,4 - Workforce Investment Area IV,,1616,https://www.kansasworks.com/search/warn_lookups/1616
School Specialty,"Sep 16, 2013",38,Non-WARN,,,1 - Workforce Investment Area I,,1617,https://www.kansasworks.com/search/warn_lookups/1617
American Red Cross,"Oct 16, 2013",1,Non-WARN,,,4 - Workforce Investment Area IV,,1618,https://www.kansasworks.com/search/warn_lookups/1618
Boeing,"Oct 11, 2013",22,WARN,,,4 - Workforce Investment Area IV,,1619,https://www.kansasworks.com/search/warn_lookups/1619
Boeing,"Nov 01, 2013",65,WARN,,,4 - Workforce Investment Area IV,,1620,https://www.kansasworks.com/search/warn_lookups/1620
Boeing,"Nov 22, 2013",162,WARN,,,4 - Workforce Investment Area IV,,1621,https://www.kansasworks.com/search/warn_lookups/1621
American Red Cross,"Dec 06, 2013",,Non-WARN,,,4 - Workforce Investment Area IV,,1622,https://www.kansasworks.com/search/warn_lookups/1622
Mission Clay,"Nov 15, 2013",,Non-WARN,,,5 - Workforce Investment Area V,,1623,https://www.kansasworks.com/search/warn_lookups/1623
Boeing,"Dec 20, 2013",121,WARN,,,4 - Workforce Investment Area IV,,1624,https://www.kansasworks.com/search/warn_lookups/1624
K-Mart,"Dec 10, 2013",40,Non-WARN,,,3 - Workforce Investment Area III,,1625,https://www.kansasworks.com/search/warn_lookups/1625
Exide Technologies,"Nov 11, 2013",24,Non-WARN,,,3 - Workforce Investment Area III,,1626,https://www.kansasworks.com/search/warn_lookups/1626
Via Christi Hospital,"Jun 01, 2013",,WARN,,,5 - Workforce Investment Area V,,1643,https://www.kansasworks.com/search/warn_lookups/1643
Rainbows United,"Feb 07, 2011",5,Non-WARN,,,4 - Workforce Investment Area IV,,1381,https://www.kansasworks.com/search/warn_lookups/1381
Day & Zimmerman,"Feb 21, 2011",95,WARN,,,5 - Workforce Investment Area V,,1371,https://www.kansasworks.com/search/warn_lookups/1371
Central Kansas Medical Center,"Jan 03, 2011",126,WARN,,,1 - Workforce Investment Area I,,1373,https://www.kansasworks.com/search/warn_lookups/1373
Hawker Beechcraft,"Jan 07, 2011",40,WARN,,,4 - Workforce Investment Area IV,,1374,https://www.kansasworks.com/search/warn_lookups/1374
Hawker Beechcraft,"Jan 17, 2011",,WARN,,,4 - Workforce Investment Area IV,,1375,https://www.kansasworks.com/search/warn_lookups/1375
Boeing,"Jan 21, 2011",,WARN,,,4 - Workforce Investment Area IV,,1376,https://www.kansasworks.com/search/warn_lookups/1376
Wichita Eagle,"Jan 28, 2011",13,Non-WARN,,,4 - Workforce Investment Area IV,,1377,https://www.kansasworks.com/search/warn_lookups/1377
GKN Aerospace Precision Machining,"Feb 04, 2011",10,Non-WARN,,,4 - Workforce Investment Area IV,,1378,https://www.kansasworks.com/search/warn_lookups/1378
White's Foodliner,"Feb 03, 2011",30,Non-WARN,,,4 - Workforce Investment Area IV,,1379,https://www.kansasworks.com/search/warn_lookups/1379
American Red Cross,"Feb 07, 2011",,Non-WARN,,,4 - Workforce Investment Area IV,,1380,https://www.kansasworks.com/search/warn_lookups/1380
PCI,"Feb 10, 2011",20,Non-WARN,,,5 - Workforce Investment Area V,,1382,https://www.kansasworks.com/search/warn_lookups/1382
Boeing,"Feb 18, 2011",11,WARN,,,4 - Workforce Investment Area IV,,1383,https://www.kansasworks.com/search/warn_lookups/1383
Borders Books,"Feb 17, 2011",22,Non-WARN,,,4 - Workforce Investment Area IV,,1384,https://www.kansasworks.com/search/warn_lookups/1384
"Liberty Homes, Inc.","Feb 24, 2011",,WARN,,,1 - Workforce Investment Area I,,1385,https://www.kansasworks.com/search/warn_lookups/1385
Hawker Beechcraft,"Jun 30, 2011",,WARN,,,1 - Workforce Investment Area I,,1415,https://www.kansasworks.com/search/warn_lookups/1415
Hardwood Manufacturing,"Feb 22, 2011",38,Non-WARN,,,1 - Workforce Investment Area I,,1386,https://www.kansasworks.com/search/warn_lookups/1386
Crestwood,"Feb 24, 2011",15,Non-WARN,,,1 - Workforce Investment Area I,,1387,https://www.kansasworks.com/search/warn_lookups/1387
Duckwall-Alco,"Jan 06, 2011",45,Non-WARN,,,1 - Workforce Investment Area I,,1388,https://www.kansasworks.com/search/warn_lookups/1388
Ultimate Electronics,"Feb 07, 2011",,Non-WARN,,,4 - Workforce Investment Area IV,,1389,https://www.kansasworks.com/search/warn_lookups/1389
