,company_name,location,notice_date,employees_affected
102,Chef’s Pantry,Easley,3/21/2020,240.0
103,BOSCH,Charleston,7/31/2021,430.0
104,AECOM,South Carolina,3/14/2020,10.0
105,WestRock,North Charleston,3/9/2020,23.0
106,Georgia-Pacific,Darlington,4/1/2020,81.0
107,"Rockland Industries, Inc",Bamberg,2/24/2020,133.0
108,Rite Aid DistributionCenter,Spartanburg,3/19/2020,224.0
109,WestRock,North Charleston,5/8/2020,1.0
110,"Strongarm, LLC",Marion,4/1/2020,40.0
111,Kiawah Island Golf Resort,Kiawah Island,4/4/2020,1090.0
112,Go Rentals,Charleston/JohnsIsland,3/21/2020,275.0
113,EventHaus Rentals,Hanahan,3/18/2020,18.0
114,ZF Transmissions,Gray Court,3/20/2020,2300.0
115,Take 5 Change/DrivenBrands,Charleston/Columbia,3/22/2020,12.0
116,Benteler,Duncan,3/30/2020,296.0
117,ZF Chassis Systems,Duncan,3/27/2020,250.0
118,Carolina Eye Associates,Cheraw,3/20/2020,4.0
119,ALSCO,Columbia,3/20/2020,3.0
120,Halls Chophouse(Charleston),Charleston,3/18/2020,181.0
121,Collegiate Hotel Group,Columbia,3/16/2020,59.0
122,America’s Auto Auction,Greer,3/17/2020,
123,MAU,Greer,3/29/2020,315.0
124,IHG Army Hotels,Fort Jackson,4/3/2020,52.0
125,Ahern Rentals,North Charleston,3/30/2020,1.0
126,MetaCoastal,North Myrtle Beach,3/20/2020,12.0
127,C-H-Guenther & Son,Prosperity,3/27/2020,120.0
128,SCHULTE Companies,Columbia,3/16/2020,27.0
129,Advanced MechanicalServices,Columbia,3/27/2020,53.0
130,Hamrick Mills,Gaffney,3/30/2020,405.0
131,Grace Management Group,Spartanburg,3/26/2020,72.0
132,Sunshine Fitness Mgmtdba Planet Fitness,Statewide,4/5/2020,264.0
133,"Hooters of America, LLC",Statewide,3/16/2020,283.0
134,Asbury Automotive Group(JLPV),Greenville,4/3/2020,14.0
135,Asbury Automotive Groupdba Lexus of Greenville,Greenville,4/3/2020,23.0
136,Asbury Automotive GroupToyoto/Scion,Greenville,4/3/2020,36.0
137,Asbury Automotive GroupCrown Nissan,Greenville,4/3/2020,23.0
138,MAU – BMW,Greer,3/31/2020,744.0
139,MAU – BMW,Greer,4/6/2020,359.0
140,"Cinemark USA, Inc",SC,3/26/2020,118.0
141,Halls on the Beach,Folly Beach,3/18/2020,53.0
142,Halls Chophouse Columbia,Columbia,3/18/2020,150.0
143,High Cotton,Charleston,3/18/2020,81.0
144,Halls Signature Events,Charleston,3/18/2020,27.0
