,company_name,location,notice_date,employees_affected,WARN Type,Address,URL
207,GVL Poly,,"Jun 23, 2017",45.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1871
208,Cornerstones of Care,,"Aug 17, 2017",60.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1872
209,Central Credit Services LLC,Overland Park,"Sep 01, 2017",,WARN,,https://www.kansasworks.com/search/warn_lookups/1873
210,Trego Manor,,"Aug 16, 2017",22.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1874
211,Daymon Worldwide,,"Sep 11, 2017",36.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1875
212,Siemens,,"Sep 01, 2017",137.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1876
213,People's Inc.,,"Sep 18, 2017",,WARN,,https://www.kansasworks.com/search/warn_lookups/1877
214,National Flood Services,,"Jun 22, 2017",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1878
215,Treadit Tire and Wheel,,"Aug 01, 2017",15.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1879
216,SKF USA Inc.,,"Oct 24, 2017",170.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1880
217,Arconic,,"Oct 25, 2017",3.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1881
218,Golden Corral,,"Nov 02, 2017",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1882
219,Schofield Corporate,,"Oct 26, 2017",3.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1883
220,Lee Aerospace,,"Nov 06, 2017",25.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1884
221,Payless Shoesource,,"Nov 16, 2017",170.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1885
222,"Digital Ally, Inc.",,"Nov 17, 2017",,WARN,,https://www.kansasworks.com/search/warn_lookups/1886
223,CHS Inc.,,"Dec 01, 2017",78.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1887
224,AT&T,,"Oct 02, 2017",66.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1888
225,Dillard's,,"Aug 28, 2017",40.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1889
226,Sprint,,"Jan 22, 2016",829.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1780
227,Spirit AeroSystems,,"Jan 11, 2016",66.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1771
228,PCC Aerostructures - Exacta Aerospace,,"Jan 14, 2016",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1772
229,Smithfield Foods,,"Jan 18, 2016",28.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1776
230,Walmart,,"Jan 15, 2016",71.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1777
231,Walmart,,"Jan 15, 2016",70.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1778
232,Walmart,,"Jan 15, 2016",,WARN,,https://www.kansasworks.com/search/warn_lookups/1779
233,wal-Mart,,"Jan 15, 2016",32.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1781
234,Walmart,,"Jan 15, 2016",35.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1782
235,Rusty Eck Ford,,"Feb 04, 2016",4.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1783
236,QuadGraphics,,"Jan 28, 2016",95.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1784
237,PolyOne,,"Feb 03, 2016",74.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1785
238,The Salvation Army - Youth Residential Center,,"Feb 05, 2016",11.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1786
239,Spur Bar and Grill,,"Jan 21, 2016",8.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1787
240,Walmart,,"Jan 15, 2016",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1788
241,Walmart,,"Jan 15, 2016",30.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1789
242,Learjet Bombardier,,"Feb 17, 2016",120.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1790
243,Prime Concepts Group,,"Feb 29, 2016",8.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1792
244,The Wichita Eagle,,"Mar 15, 2016",,WARN,,https://www.kansasworks.com/search/warn_lookups/1793
245,Spirit Aerosystems,,"Mar 14, 2016",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1794
246,Sports Authority,,"Mar 02, 2016",20.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1795
247,Spirit Aerosystems,,"Apr 04, 2016",32.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1796
248,Western Industries,,"Mar 31, 2016",22.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1797
249,Aero-Mach Labs,,"Apr 12, 2016",5.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1798
250,Sprint,,"Apr 26, 2016",113.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1799
251,Van Rob,,"May 12, 2014",150.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1671
252,Athene,,"Jan 23, 2014",204.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1641
253,Bimbo Bakeries (Earthgrains Baking Company),,"Jan 03, 2014",,WARN,,https://www.kansasworks.com/search/warn_lookups/1627
254,"NORDAM Group, Inc.",,"Jan 10, 2014",79.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1634
255,Macys,,"Jan 08, 2014",106.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1635
256,Atlas Aerospace,,"Jan 17, 2014",6.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1636
257,Bombardier Learjet,,"Jan 21, 2014",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1637
258,Boeing,,"Jan 17, 2014",82.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1638
259,Center Industries,,"Jan 23, 2014",13.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1639
260,Boeing,,"Feb 01, 2014",18.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1645
261,Center Industries,,"Feb 03, 2014",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1646
262,Boeing,,"Feb 14, 2014",,WARN,,https://www.kansasworks.com/search/warn_lookups/1647
263,Bechtel Power Corporation,,"Feb 20, 2014",106.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1648
264,Cox Communications,,"Mar 03, 2014",160.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1651
265,General Dynamics Information Technology,,"Feb 27, 2014",137.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1652
266,"Medicalodges, Inc.",,"Feb 26, 2014",54.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1653
267,Atlas Aerospace,,"Feb 27, 2014",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1654
268,Sprint,,"Mar 18, 2014",,WARN,,https://www.kansasworks.com/search/warn_lookups/1655
269,Nation Pizza and Foods,,"Mar 18, 2014",94.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1656
270,"Southwire, LLC",,"Mar 24, 2014",181.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1657
271,Boeing,,"Mar 21, 2014",131.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1658
272,Milestone AV Technologies / DA-LITE / Advanced Pro,,"Mar 25, 2014",,WARN,,https://www.kansasworks.com/search/warn_lookups/1659
273,Harte Hanks,,"Mar 24, 2014",93.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1660
274,Boeing,,"Apr 18, 2014",38.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1661
275,BTCO,,"Apr 14, 2014",5.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1662
276,Standard Motors Inc,,"Jan 02, 2013",25.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1564
277,Youthville,,"Feb 01, 2013",189.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1565
278,Boeing,,"Jan 18, 2013",,WARN,,https://www.kansasworks.com/search/warn_lookups/1566
279,Hawker Beechcraft,,"Jan 28, 2013",8.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1567
280,Boeing,,"Feb 01, 2013",5.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1568
281,Alco,,"Feb 05, 2013",9.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1569
282,Spirit Aerosystems,,"Mar 15, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1570
283,Boeing,,"Feb 15, 2013",36.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1571
284,Kaman Composites,,"Mar 27, 2013",10.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1572
285,Boeing,,"Mar 22, 2013",70.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1573
286,Beechcraft Corp,,"Mar 22, 2013",,WARN,,https://www.kansasworks.com/search/warn_lookups/1574
287,Child Start,,"Apr 01, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1575
288,Boeing,,"Apr 19, 2013",29.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1576
289,GLMV Architecture,,"May 01, 2013",8.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1577
290,Alco,,"Apr 09, 2013",126.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1578
291,Sodexo,,"May 06, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1579
292,Wellington Family Practice,,"May 16, 2013",12.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1580
293,Butler Community College,,"May 08, 2013",10.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1581
294,Boeing,,"May 17, 2013",61.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1582
295,"ARAMARK Healthcare Support Services, LLC",,"May 28, 2013",,WARN,,https://www.kansasworks.com/search/warn_lookups/1583
296,Cessna,,"May 28, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1584
297,MWV Calmar,,"Jun 05, 2013",22.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1585
298,USD 259 Wichita Public Schools,,"May 30, 2013",20.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1586
299,Via Christi,,"Jun 21, 2013",230.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1587
300,United States Postal Service Remote Encoding Cente,,"Feb 20, 2013",360.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1588
301,Cash Savers Cost Plus Food Outlet,,"Jun 20, 2013",12.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1589
302,Boeing,,"Jun 21, 2013",40.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1590
303,Beef Belt Feeders,,"Jun 03, 2013",10.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1591
304,Larned State Hospital,,"Jun 03, 2013",14.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1592
305,Beechcraft Corp,,"Jul 12, 2013",22.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1593
306,Bombardier Learjet,,"Jul 22, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1594
307,Boeing,,"Jul 19, 2013",55.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1595
308,Spirit Aerosystems,,"Jul 25, 2013",300.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1596
309,Kansas Department for Children & Families,,"Aug 05, 2013",187.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1597
310,Holtzen Woodworking Inc,,"Aug 23, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1598
311,Boeing,,"Aug 23, 2013",,WARN,,https://www.kansasworks.com/search/warn_lookups/1599
312,SureWest,,"Mar 08, 2013",36.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1600
313,Rock Tenn,,"Jan 08, 2013",17.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1601
314,Frito-Lay,,"Jan 01, 2013",35.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1605
315,KU Medical Center,,"Jul 09, 2013",,WARN,,https://www.kansasworks.com/search/warn_lookups/1606
316,Johnson County Court,,"Jul 16, 2013",18.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1607
317,Graham Packaging Plastic Products Inc.,,"Aug 26, 2013",52.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1608
318,"AMG Service, Inc.",,"Sep 05, 2013",159.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1609
319,Spirit Aerosystems,,"Sep 12, 2013",,WARN,,https://www.kansasworks.com/search/warn_lookups/1610
320,Adjutant General,,"Aug 23, 2013",32.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1611
321,Boeing,,"Sep 20, 2013",58.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1612
322,Sprint,,"Sep 23, 2013",54.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1613
323,Cash Co.,,"Oct 11, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1615
324,Atlas Aerospace,,"Oct 21, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1616
325,School Specialty,,"Sep 16, 2013",38.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1617
326,American Red Cross,,"Oct 16, 2013",1.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1618
327,Boeing,,"Oct 11, 2013",22.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1619
328,Boeing,,"Nov 01, 2013",65.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1620
329,Boeing,,"Nov 22, 2013",162.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1621
330,American Red Cross,,"Dec 06, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1622
331,Mission Clay,,"Nov 15, 2013",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1623
332,Boeing,,"Dec 20, 2013",121.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1624
333,K-Mart,,"Dec 10, 2013",40.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1625
334,Exide Technologies,,"Nov 11, 2013",24.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1626
335,Via Christi Hospital,,"Jun 01, 2013",,WARN,,https://www.kansasworks.com/search/warn_lookups/1643
336,Rainbows United,,"Feb 07, 2011",5.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1381
337,Day & Zimmerman,,"Feb 21, 2011",95.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1371
338,Central Kansas Medical Center,,"Jan 03, 2011",126.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1373
339,Hawker Beechcraft,,"Jan 07, 2011",40.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1374
340,Hawker Beechcraft,,"Jan 17, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1375
341,Boeing,,"Jan 21, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1376
342,Wichita Eagle,,"Jan 28, 2011",13.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1377
343,GKN Aerospace Precision Machining,,"Feb 04, 2011",10.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1378
344,White's Foodliner,,"Feb 03, 2011",30.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1379
345,American Red Cross,,"Feb 07, 2011",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1380
346,PCI,,"Feb 10, 2011",20.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1382
347,Boeing,,"Feb 18, 2011",11.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1383
348,Borders Books,,"Feb 17, 2011",22.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1384
349,"Liberty Homes, Inc.",,"Feb 24, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1385
350,Hawker Beechcraft,,"Jun 30, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1415
351,Hardwood Manufacturing,,"Feb 22, 2011",38.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1386
352,Crestwood,,"Feb 24, 2011",15.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1387
353,Duckwall-Alco,,"Jan 06, 2011",45.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1388
354,Ultimate Electronics,,"Feb 07, 2011",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1389
355,Hawker Beechcraft,,"Mar 29, 2011",95.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1390
356,Aramark Education,,"Apr 11, 2011",91.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1392
357,Hawker Beechcraft,,"Apr 18, 2011",50.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1393
358,Cessna,,"Apr 15, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1394
359,South Central Mental Health Counseling Center,,"Apr 27, 2011",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1395
360,Hawker Beechcraft,,"Apr 29, 2011",172.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1396
361,Wichita Area Technical College,,"May 03, 2011",10.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1397
362,Durham School Services,,"Apr 28, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1398
363,First Student,,"May 04, 2011",163.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1399
364,Boeing,,"May 05, 2011",2.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1400
365,Wichita Public Schools USD 259,,"Mar 29, 2011",168.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1401
366,Jostens,,"May 12, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1402
367,Insight School,,"May 18, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1403
368,DCCCA,,"Apr 18, 2011",5.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1404
369,Underground Vaults and Storage,,"May 20, 2011",9.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1405
370,Center Industries,,"May 25, 2011",80.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1406
371,American Red Cross,,"Jun 01, 2011",3.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1407
372,CSC  Applied Technology Group,,"May 31, 2011",34.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1408
373,Sedgwick County,,"Apr 15, 2011",25.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1409
374,Boeing,,"Jun 03, 2011",3.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1410
375,Food Services Inc. of Gainesville,,"Jun 07, 2011",75.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1411
376,Hawker Beechcraft,,"Jun 13, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1412
377,Boeing,,"Jun 17, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1413
378,Hawker Beechcraft,,"Jun 28, 2011",65.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1414
379,Boeing,,"Jul 01, 2011",4.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1416
380,DCCCA,,"Jul 08, 2011",9.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1417
381,Hawker Beechcraft,,"Jul 12, 2011",109.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1418
382,Lodge Works,,"Jul 14, 2011",54.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1419
383,Boeing,,"Jul 22, 2011",12.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1420
384,Hawker Beechcraft,,"Jul 22, 2011",3.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1421
385,US Postal Services Remote Encoding Center,,"Aug 05, 2011",267.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1423
386,Asurion,,"Aug 04, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1424
387,McConnell Air Force Base,,"Aug 01, 2011",60.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1425
388,Center Industries,,"Aug 12, 2011",15.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1426
389,Borders Books,,"Aug 10, 2011",39.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1427
390,Curbs Plus,,"Aug 19, 2011",8.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1428
391,Boeing,,"Aug 19, 2011",6.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1429
392,Harlow Aerostructures,,"Sep 06, 2011",1.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1430
393,Boeing,,"Sep 16, 2011",10.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1431
394,Oberlin Medical Arts Clinic,,"Feb 18, 2011",13.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1432
395,AT&T Wireless,,"May 18, 2011",4.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1433
396,Hutchinson Medical Clinic,,"Apr 01, 2011",60.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1434
397,Doerr Metal Products,,"Jul 29, 2011",10.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1435
398,"Applied Computer Services, Inc",,"Aug 16, 2011",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1436
399,Youthville,,"Jul 08, 2011",15.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1437
400,Hawker Beechcraft,,"Sep 19, 2011",145.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1438
401,"Results Customer Solutions, LLC",,"Sep 22, 2011",85.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1439
402,Aeroflex,,"Sep 29, 2011",3.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1440
403,Boeing,,"Sep 30, 2011",73.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1441
404,Hawker Beechcraft,,"Sep 30, 2011",13.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1442
405,Boeing,,"Oct 14, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1443
406,Peterson Industries,,"Sep 22, 2011",35.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1444
407,"kgb USA, Inc.",,"Oct 27, 2011",126.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1445
408,Coleman Company,,"Oct 20, 2011",79.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1446
409,Hawker Beechcraft,,"Oct 31, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1447
410,Hawker Beechcraft,,"Oct 31, 2011",1.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1448
411,Boeing,,"Oct 28, 2011",1.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1449
412,Bosselman Travel Center,,"Nov 04, 2011",35.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1450
413,"Bosselman Travel Centers, Inc.",,"Nov 04, 2011",35.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1451
414,Hawker Beechcraft,,"Nov 11, 2011",300.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1452
415,Boeing,,"Nov 18, 2011",73.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1453
416,"kgb Deals, Inc",,"Dec 01, 2011",30.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1454
417,Chef Solutions,,"Nov 29, 2011",176.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1455
418,Hawker Beechcraft,,"Dec 02, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1456
419,Cargill Meat Solutions,,"Dec 07, 2011",50.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1457
420,Abengoa Bio Energy Corp (High Plains Corp),,"Dec 14, 2011",48.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1458
421,Boeing,,"Dec 16, 2011",4.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1459
422,American Family Insurance,,"Oct 18, 2011",45.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1484
423,Mountain West,,"Feb 01, 2011",30.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1549
424,"IPC, Inc.",,"Dec 01, 2011",10.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1550
425,Day & Zimmerman,,"Dec 01, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1551
426,LaFarge of North America,,"Dec 20, 2011",75.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1552
427,Kid's Creations,,"Nov 01, 2011",15.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1553
428,Via Christie,,"Aug 01, 2011",9.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1555
429,RSI Home Products,,"Jul 22, 2011",,WARN,,https://www.kansasworks.com/search/warn_lookups/1556
430,Orval Kent,,"Dec 09, 2011",200.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1557
431,Learjet,,"Jan 18, 2010",40.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1267
432,"Grede Foundries, Inc.",,"Jan 07, 2010",91.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1268
433,Hawker Beechcraft,,"Jan 11, 2010",70.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1269
434,Boeing,,"Jan 15, 2010",7.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1270
435,Workforce Alliance of South Central Kansas,,"Jan 15, 2010",6.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1271
436,Hawker Beechcraft,,"Jan 25, 2010",15.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1272
437,Cafe Cork & Canape,,"Feb 01, 2010",3.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1273
438,Boeing,,"Feb 19, 2010",22.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1281
439,Standard Motors,,"Feb 22, 2010",12.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1282
440,BlueCross BlueShield of Kansas City,,"Feb 25, 2010",10.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1283
441,First State Bank & Trust,,"Mar 15, 2010",6.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1284
442,Kaman Aerospace,,"Mar 15, 2010",16.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1285
443,CT General Life Insurance Company,,"Mar 15, 2010",,WARN,,https://www.kansasworks.com/search/warn_lookups/1286
444,Boeing,,"Mar 19, 2010",25.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1287
445,Schuff Steel Midwest,,"Mar 24, 2010",50.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1288
446,Cessna,,"Mar 26, 2010",21.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1289
447,Durham School Services,,"Mar 24, 2010",,WARN,,https://www.kansasworks.com/search/warn_lookups/1290
448,Hawker Beechcraft,,"Apr 05, 2010",10.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1291
449,"NCO Customer Management, Inc.",,"Apr 06, 2010",60.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1292
450,TECT Aerospace,,"Apr 15, 2010",5.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1293
451,Cessna Independence,,"Mar 10, 2010",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1294
452,Hawker Beechcraft,,"Apr 15, 2010",80.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1295
453,Boeing,,"Apr 16, 2010",42.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1296
