,company_name,location,notice_date,layoff_date,employees_affected,Address,Closure,Layoff,Permanent Reduction
232,Eat'n Park Hospitality Group,Homestead,04/17/2020,03/09/2020,192,*Due to COVID-19,No,Yes,No
233,The Tile Shop,Plymouth,04/15/2020,03/26/2020,12,14000 Carlson Parkway,Yes,No,No
234,Hyatt Centric,Arlington,04/13/2020,03/18/2020,79,*Due to COVID-19,No,Yes,No
235,Ames Cleaners and Formal Inc.,Hampton,04/13/2020,03/23/2020,25,*Due to COVID-19,No,Yes,No
236,The Westin Virginia Beach Town Center,Fairfax,04/10/2020,03/25/2020,115,*Due to COVID-19,No,Yes,No
237,Allied Aviation Fueling Co. ,Arlington,04/10/2020,04/10/2020,7,*Due to COVID-19,No,Yes,No
238,Utility Trailer Manufacturing Company,Glade Spring,04/09/2020,06/09/2020,326,13160 Monroe Road,No,Yes,No
239,Jim Koons Automotive Companies,Vienna,04/09/2020,03/23/2020,148,*Due to COVID-19,No,Yes,No
240,Pleasant Valley Medical Center,Virginia Beach,04/09/2020,03/25/2020,2,*Due to COVID-19,No,Yes,No
241,Sysco,Front Royal,04/08/2020,03/20/2020,111,*Due to COVID-19,No,Yes,No
242,Sysco,Front Royal,04/08/2020,03/20/2020,17,Northeast Redistribution Center,No,Yes,No
243,IGS,Richmond,04/08/2020,03/26/2020,73,*Due to COVID-19,No,Yes,No
244,Kaiser Aluminum ,Foothill Ranch ,04/08/2020,04/03/2020,78,*Due to COVID-19,No,Yes,No
245,Avianca ,Doral,04/07/2020,04/01/2020,4,*Due to COVID-19,No,Yes,No
246,G2 Secure Staff,Irving,04/07/2020,03/27/2020,66,*COVID-19,No,Yes,No
247,Washington Golf and Country Club,Arlington,04/06/2020,04/06/2020,188,*Due to COVID-19,No,Yes,No
248,Miller's Ale House,Orlando,04/06/2020,03/21/2020,73,*Due to COVID-19,No,Yes,No
249,Bear Down Logistics,Richmond,04/06/2020,04/08/2020,75,4101 Carolina Avenue,Yes,No,No
250,OneWeb,McLean,04/03/2020,03/20/2020,301,*Due to COVID-19,No,Yes,No
251,Westwood Country Club,Vienna,04/03/2020,04/06/2020,90,*Due to COVID-19,No,Yes,No
252,Asbury Automotive Group-Richmond BMW,Duluth,04/03/2020,04/03/2020,11,*Due to COVID-19,No,Yes,No
253,Asbury Automotive Group-Crown Acura,Duluth,04/03/2020,04/03/2020,8,*Due to COVID-19,No,Yes,No
254,Asbury Automotive Group-Crown MINI,Duluth,04/03/2020,04/06/2020,6,*Due to COVID-19,No,Yes,No
255,Asbury Automotive Group - Richmond BMW Midlothian ,Duluth ,04/03/2020,04/03/2020,16,*Due to COVID-19,No,Yes,No
256,Benihana National Corporation,Aventura,04/02/2020,03/17/2020,22,*Due to COVID-19,No,Yes,No
257,"Trump National Golf Club Washington, D.C., LLC",Potomac Falls,04/02/2020,04/02/2020,102,*Due to COVID-19,No,Yes,No
258,"DTI Management, LLC ",Arlington,04/01/2020,04/01/2020,70,*Due to COVID-19,No,Yes,No
259,"Scholle IPN Packaging, Inc.",Northlake ,04/01/2020,04/05/2020,128,*Due to COVID-19,No,Yes,No
260,"Roger Brown's Sports Bar & Restaurant, Inc.",Portmouth,04/01/2020,03/18/2020,46,*Due to COVID-19,No,Yes,No
261,Bartaco,Fairfax,04/01/2020,03/21/2020,175,*Due to COVID-19,No,Yes,No
262,Martin-Bower Compnay,Manassass,04/01/2020,04/01/2020,61,*Due to COVID-19,No,Yes,No
263,Jim's Formal Wear,Trenton,03/31/2020,03/20/2020,44,*Due to COVID-19,No,Yes,No
264,"OTG DCA Venture II, LLC ",North Wales ,03/31/2020,03/16/2020,121,*Due to COVID-19 ,No,Yes,No
265,Crescent Hotels & Resorts ,Tysons,03/31/2020,04/03/2020,171,*Due to COVID-19,No,Yes,No
266,Super Shoes,Greenwich,03/31/2020,03/20/2020,33,*Due to COVID-19,No,Yes,No
267,Jackson's Mighty Fine Food & Luck Lounge ,Reston,03/30/2020,03/20/2020,137,*Due to COVID-19,No,Yes,No
268,First Home Care,Portsmouth,03/30/2020,04/11/2020,43,1634 London Blvd,Yes,No,No
269,First Home Care Mental Health Services,Portsmouth ,03/30/2020,04/11/2020,18,1634 London Blvd,Yes,No,No
270,Costal Flats Tysons,McLean,03/30/2020,03/30/2020,135,*Due to COVID-19,No,Yes,No
271,The Alexandrian Hotel,Alexandria,03/28/2020,03/13/2020,115,*Due to COVID-19,No,Yes,No
272,Paper Source,Chicago,03/27/2020,03/29/2020,44,*Due to COVID-19,No,Yes,No
273,Paper Source,Chicago,03/27/2020,03/29/2020,6,*Due to COVID-19,No,Yes,No
274,Paper Source,Chicago,03/27/2020,03/29/2020,11,*Due to COVID-19,No,Yes,No
275,IHG Army Hotels,Fort Lee,03/27/2020,03/27/2020,74,*Due to COVID-19,No,Yes,No
276,Alsco,Alexandria,03/27/2020,03/19/2020,102,*Due to COVID-19,No,Yes,No
277,Alsco,Salt Lake City,03/27/2020,03/18/2020,114,*Due to COVID-19,No,Yes,No
278,Suit Supply Inc.,New York,03/26/2020,03/29/2020,19,*Due to COVID-19,No,Yes,No
279,"Cinemark USA, Inc. ",Plano,03/26/2020,03/26/2020,26,*Due to COVID-19,No,Yes,No
280,"Cinemark USA, Inc.",Plano ,03/26/2020,03/26/2020,134,"3900 Dallas Parkway, Suite 500",No,Yes,No
281,"Cinemark USA, Inc.",Plano,03/26/2020,03/26/2020,103,"3900 Dallas Parkway, Suite 500",No,Yes,No
282,"Rod M. Rodgge, D.D.S.",Virginia Beach,03/26/2020,03/30/2020,6,*Due to COVID-19,No,Yes,No
283,Alsco,Virginia Beach,03/26/2020,03/20/2020,54,*Due to COVID-19,No,Yes,No
284,Universal Companies,Abington,03/25/2020,04/01/2020,61,*Due to COVID-19,No,Yes,No
285,"Route 60 & Associates, INC DBA Captin Groovy's Grill & Raw bar",Norfolk,03/25/2020,03/17/2020,25,*Due to COVID-19,No,Yes,No
286,First Source,Toanao,03/25/2020,03/25/2020,49,*Due to COVID-19,No,Yes,No
287,Alsco,Roanoke ,03/25/2020,03/18/2020,47,*Due to COVID-19,No,Yes,No
288,"Bonums Oyster Co., Inc.",Hague,03/25/2020,03/25/2020,29,*Due to COVID-19,No,Yes,No
289,Earl's Restaurant ,Tyson's Corner,03/25/2020,03/25/2020,119,*Due to COVID-19,No,Yes,No
290,Case Architects & Remodels,Falls Church,03/25/2020,03/24/2020,24,*Due to COVID-19,No,Yes,No
291,HMS Host,Washington ,03/25/2020,03/16/2020,80,*Due to COVID-19,No,Yes,No
292,"BridgeStreet Cooprorate Housing LLC, ",Reston,03/24/2020,03/24/2020,68,*Due to COVID-19,No,Yes,No
293,"Hooters of America, LLC",Atlanta,03/23/2020,03/16/2020,45,1815 The Exchange ,No,Yes,No
294,"Hooters of America, LLC",Atlanta,03/23/2020,03/16/2020,45,1815 The Exchange,No,Yes,No
295,"Take 5 Oil Change-Driven Brands Shared Services, LLC ",Charlotte,03/23/2020,03/22/2020,42,"440 South Church Street, Suite 700",No,Yes,No
296,"A Head for Profits, LLC",Nashville,03/23/2020,03/20/2020,45,*Due to COVID-19,No,Yes,No
297,"Take 5 Oil Change-Driven Brands Shared Services, LLC ",Charlotte,03/23/2020,03/22/2020,5,"440 South Church Street, Suite 700",No,Yes,No
298,Collegiate  High Group,Louisville,03/23/2020,03/16/2020,66,*Due to COVID-19,No,Yes,No
299,Collegiate Hotel Group,Louisville,03/23/2020,03/16/2020,66,*Due COVID-19,No,Yes,No
300,"Hooters of America, LLC",Atlanta,03/23/2020,03/20/2020,21,1815 The Exchange,No,Yes,No
301,America's Auto Auction,Dallas,03/23/2020,03/23/2020,53,*Due to COVID-19,No,Yes,No
302,"Hooters of America, LLC",Atlanta,03/23/2020,03/16/2020,46,1815 The Exchange,No,Yes,No
303,"Hooters of America, LLC",Atlanta,03/23/2020,03/16/2020,10,1815 The Exchange,No,Yes,No
304,"Hooters of America, LLC",Atlanta,03/23/2020,03/16/2020,56,1815 The Exchange,No,Yes,No
305,"Hooters of America, LLC",Atlanta,03/23/2020,03/16/2020,45,1815 The Exchange,No,Yes,No
306,"Hooters of America, LLC",Atalnta,03/23/2020,03/16/2020,45,1815 The Exchange,No,Yes,No
307,Brick Anchor Brew House,Norfolk,03/22/2020,03/22/2020,28,*Due to COVID-19,No,Yes,No
308,Super Shoes,Greenwich ,03/21/2020,03/20/2020,18,*Due to COVID-19,No,Yes,No
309,Mynd Spa and Salon,Fairfax,03/20/2020,03/19/2020,64,*Due to COVID-19,No,Yes,No
310,Silverado,Annadale ,03/20/2020,03/20/2020,80,*Due to COVID-19,No,Yes,No
311,Fred's Food Group,Vienna ,03/20/2020,03/20/2020,225,*Due to COVID-19,No,Yes,No
312,Sweetwater Tavern,Centerville,03/20/2020,03/20/2020,140,*Due to COVID-19,No,Yes,No
313,Sweetwater Tavern,Falls Church,03/20/2020,03/20/2020,118,*Due to COVID-19,No,Yes,No
314,Sweetwater Taven,Sterling,03/20/2020,03/20/2020,118,*Due to COVID-19,No,Yes,No
315,Costal Flats,Fairfax,03/20/2020,03/20/2020,134,*Due to COVID-19,No,Yes,No
316,Mike's American Grill,Springfield,03/20/2020,03/20/2020,174,*Due to COVID-19,No,Yes,No
317,Patsy's Italian ,Fairfax,03/20/2020,03/20/2020,100,*Due to COVID-19,No,Yes,No
318,Go Rentals,Newport Beach,03/20/2020,03/21/2020,275,*Due to COVID-19,No,Yes,No
319,Fantastic Frizbe's Flying Food Factory,Arlington,03/20/2020,03/20/2020,128,*Due to COVID-19,No,Yes,No
320,Artie's,Fairfax,03/20/2020,03/20/2020,99,*Due to COVID-19,No,Yes,No
321,Uncle Julio’s Ballston,Irving ,03/19/2020,03/19/2020,82,*Due to COVID-19,No,Yes,No
322,Alamo Drafthouse Cinema,Winchester,03/19/2020,03/20/2020,122,*Due to COVID-19,No,Yes,No
323,"CF Management-VA, LLC (X Sport Fitness) ",Alexandria,03/19/2020,03/18/2020,115,*Due to COVID-19,No,Yes,No
324,Skyline Tent Company,Charlottesville,03/18/2020,03/23/2020,65,*Due to COVID-19,No,Yes,No
325,Bluffwalk Center,Lynchburg,03/17/2020,03/17/2020,98,*Due to COVID-19,No,Yes,No
326,Three Notch'd Brewing Company,Charlottesville,03/17/2020,03/17/2020,9,*Due to COVID-19,No,Yes,No
327,Three Notch'd Brewing Company,Charlottesville,03/17/2020,03/17/2020,14,*Due to COVID-19,No,Yes,No
328,Three Notch'd Brewing Company,Charlottesvile,03/17/2020,03/17/2020,59,*Due to COVID-19,No,Yes,No
329,Three Notch'd Brewing,Charlottesville,03/17/2020,03/17/2020,6,*Due to COVID-19,No,Yes,No
330,The Salvation Army ,Atlanta,03/09/2020,05/30/2020,38,Adult Rehibilitation Center,Yes,No,No
331,"NortonLifeLock, Inc.",Tempe,03/03/2020,03/18/2020,73,60 E. Rio Salado Parkway,No,Yes,No
332,Norfolk Southern,Norfolk,02/18/2020,04/18/2020,104,3 Commercial Place,Yes,No,No
333,The Virginian~Pilot,Norfolk,02/18/2020,04/27/2020,137,150 West Brambleton Avenue,Yes,No,No
334,Earth Fare,Fletcher,02/17/2020,02/17/2020,94,220 Continuum Drive,Yes,No,No
335,Oakwood Worldwide ,Long Beach,01/28/2020,03/30/2020,35,1 World Trade Center 24th Floor,No,No,No
336,"DynCorp International, LLC",McLean,01/19/2020,01/13/2021,58,1700 Old Meadow Road,No,Yes,No
337,AECOM,Morehead City,01/17/2020,03/14/2020,102,113 Arendell  Street,No,No,No
338,LSC Communications,Chicago,01/14/2020,03/16/2020,384,191 North Wacker Drive,Yes,No,No
339,Aramark (at VCU Health Systems),Wingate,01/13/2020,03/13/2020,572,204 East Wilson Street,No,Yes,No
340,Shoppers Food & Pharmacy Store #2346,Bowie,01/07/2020,03/07/2020,54,"16901 Melford Blvd., Suite 300",Yes,No,No
341,"DTSV, Inc. ",Newport News,12/31/2019,02/29/2020,175,"739 Thimble Shoals Blvd, Suite 101  ",No,Yes,No
342,Continental ,Newport News,12/09/2019,02/07/2020,6,"Vitesco Technologies USA, LLC",Yes,No,No
343,Shoppers Food & Pharmacy Store #2344,Bowie,12/06/2019,02/05/2020,55,"16901 Melford Blvd., Suite 300",Yes,No,No
344,Shoppers Food & Pharmacy Store #2365,Bowie,12/06/2019,02/05/2020,81,"16901 Melford Blvd., Suite 300",Yes,No,No
345,Northrop Grumman,Huntsville,12/05/2019,02/04/2020,42,Missile Defense and Protective Systems Division ,No,Yes,No
346,Volvo Trucks North America,Dublin,11/22/2019,01/20/2020,700,New River Valley Plant,No,Yes,No
347,Topgolf,Dallas,11/12/2019,01/15/2020,198,"8750 N. Central Expy., Suite 1200",Yes,No,No
348,Restaurant Associates ,New York ,11/07/2019,01/17/2020,282,31 Penn Plaza,Yes,No,No
349,Crescent Bank & Trust ,Metairie,11/05/2019,02/14/2020,187,"2121 Airline Drive, Suite 400",No,No,No
350,Lord+Taylor (Tyson's Corner Store),New York,10/31/2019,01/31/2020,117,225 Liberty  Street,Yes,No,No
351,National Express Transit (NEXT),Lisle,10/31/2019,12/31/2019,150,2601 Navistar Drive,Yes,No,No
352,Oakwood Worldwide (US) LP,Long Beach,10/29/2019,12/30/2019,23,"1 Trade Center, 24th Floor",No,No,No
353,Smithfield,Newport News,10/28/2019,12/31/2019,39,121 Harwood Drive,Yes,No,No
354,"Advanced System Development, Inc. (ASD)",Falls Church,10/16/2019,12/16/2019,54,"6400 Arlington Blvd, Suite 850",No,Yes,No
355,Ominplex ,Chantilly,10/15/2019,12/15/2019,168,"14151 Park meadow Drive, Suite 300 ",No,Yes,No
356,Berry Global,Evansville,10/15/2019,05/01/2020,23,101 Oakly Street,Yes,No,No
357,"Teva Pharmaceuticals USA, Inc. ",Parsippany,10/11/2019,11/22/2019,220,"400 Interpace Pkwy MCC III, Bldg D",No,Yes,No
358,Lord+Tyalor (Sterling Store),New York,10/08/2019,12/24/2019,79,225 Liberty Street,Yes,No,No
359,"IKEA Industry Danville, LLC",Ringgold,10/07/2019,12/13/2019,280,100 Ikea Drive,Yes,No,No
360,NetCentrics Corporation ,Herndon,10/03/2019,11/30/2019,95,"205 Van Buren St., Suite 420",No,No,No
361,"True Health Diagnostic, LLC",Richmond,09/27/2019,10/01/2019,126,"737 North 5th Street, Suite 103",Yes,No,No
362,Guest Services Inc.,Fairfax,09/27/2019,12/01/2019,358,3055 Prosperity Avenue,No,No,No
363,Blackjewel,Milton,09/23/2019,08/31/2019,214, 1051 Main Street,Yes,No,No
364,Blackjewel,Milton,09/18/2019,09/18/2019,92,1051 Main Street,Yes,No,No
365,"Premier Fixtures, LLC",Hauppauge,09/11/2019,09/13/2019,190,"400 Oser Ave., Suite 350",Yes,No,No
366,Mednax Health Solutions Partner ,Sunrise,08/27/2019,11/01/2019,61,1301 Concord Terrace,Yes,No,No
367,Kimball Hospitality,Martinsville,07/29/2019,03/31/2020,54,451 Beaver Creek Drive,Yes,No,No
368,"True Health Diagnostics, LLC",Richmond,07/29/2019,07/29/2019,399,"737 North 5th Street, Suite 103",No,No,No
369,AECOM,Morehead City,07/29/2019,09/30/2019,101,113 Arendell Street ,No,Yes,No
370,FreightCar America,Roanoke,07/22/2019,09/20/2019,200,830 Campbell Avenue SE,Yes,No,No
371,Sykes,Tampa,06/26/2019,09/03/2019,197,400 North Ashley Drive,No,Yes,No
372,Graham Packaging Company ,Lancaster,06/24/2019,09/04/2019,115,"700 Indian Springs Drive, Suite 100",Yes,Yes,No
373,Rubbermaid Commercial Products ,Winchester,06/19/2019,09/30/2019,49,3124 Valley Avenue,No,Yes,No
374,"Crothall Healthcare, Inc.",Wayne,06/12/2019,08/30/2019,113,1500 Liberty Ridge Drive ,Yes,No,No
375,"Kontoor Brands, Inc. Distribution Center",Luray,06/12/2019,08/15/2019,75,101 Blue bell Avenue,No,Yes,No
376,Walmart-store #650,Bemtonville,06/10/2019,08/16/2019,81,702 SW 8th Street,Yes,No,No
377,Goodwill Rappahannock,Fredericksburg,06/10/2019,07/01/2019,100,"4701 Market Street, Suite A",No,Yes,No
378,ZF Automotive,Atkins,06/05/2019,08/05/2019,75,222 Mountain Empire Road,No,Yes,No
379,Colortree Group,Henrico,06/03/2019,06/03/2019,240,8000 Villa Park Drive,No,Yes,No
380,Deloitte (Arcadia Group (USA) Limited) ,Springfield,05/24/2019,06/19/2019,13,SpringField Towne Center Mall - (Topshop & Topman),Yes,No,No
381,GE,Salem,05/13/2019,07/12/2019,245,1501 Roanoke Blvd.,Yes,No,No
382,Verso Corporation ,Miamisburg,05/10/2019,05/31/2019,5,8540 Gander Creek Drive,No,Yes,No
383,"Live Well Financial, Inc. ",Richmond,05/03/2019,05/03/2019,103,1011 Boulder Springs Drive,Yes,No,No
384,"MV Transportation, Inc.",Dallas,04/30/2019,06/30/2019,254,"2711 N. Haskell Avenue, Suite 1500",No,Yes,No
385,"MV Transportation, Inc. ",Dallas,04/30/2019,06/30/2019,186,"2711 N. Haskell Avenue, Suite 1500",No,Yes,No
386,"MV Transportation, Inc",Dallas ,04/30/2019,06/30/2019,256,"2711 N. Haskell Avenue, Suite 1500",No,Yes,No
387,Dianne's Fine Desserts Inc.,Ashland,04/25/2019,06/28/2019,97,10440 leadbetter Road,Yes,No,No
388,SwimWays Corporation ,Virginia Beach,04/23/2019,07/12/2019,82,5816 Ward Court,Yes,No,No
389,"Core Health & Fitness, LLC",Vancouver,04/17/2019,07/01/2019,50,"4400 NE 77th Ave, Suite 300",No,Yes,No
390,AECOM,Chantilly,04/17/2019,07/05/2019,30,4800 Westfields Boulevard,No,No,Yes
391,"Alorica, Inc.",Fredericksburg,03/26/2019,05/31/2019,311,"10300 Spotsylvania Avenue, Suite 300",Yes,No,No
392,Goodwill Central and Coastal Virginia (Goodwill Staffing Solutions),Richmond,03/19/2019,05/30/2019,74,6301 Midlothian Turnpike,Yes,No,No
393,Crowne Plaza Hotels & Resorts,Alexandria ,03/19/2019,06/04/2019,61,901 North Fairfax Street,Yes,No,No
394,OMNIPLEX World Services ,Chantilly,03/15/2019,05/09/2019,60,"14151 Park Meadow Drive, Suite 300",No,Yes,No
395,OMNIPLEX World Services,Chantilly,03/15/2019,05/09/2019,155,"14151 Park Meadow Drive, Suite 300",No,Yes,No
396,Bear Island,Ashland,03/08/2019,05/08/2019,132,10026 Old Ridge Road,Yes,No,No
397,Walmart,Bentonville,02/27/2019,05/10/2019,94,702 SW 8th Street,Yes,No,No
398,Walmart,Bentonville,02/27/2019,05/10/2019,72,702 SW 8th Street,Yes,No,No
399,Union Bank & Trust,Richmond,02/27/2019,02/28/2019,46,"1051 East Cary Street, Suite 1200",No,Yes,Yes
400,Spectrum Pharmaceuticals,Henderson,02/13/2019,03/15/2019,2,"11500 S. Eastern Avenue, Suite 240",No,Yes,Yes
401,AECOM ,Morehead City,02/07/2019,04/01/2019,96,113 Arendell Street,No,No,No
402,Phoenix Theatres Entertainment,Knoxville,01/23/2019,02/20/2019,112,"9111 Cross Park Dr., Suite E-275",No,No,No
403,LSC Communications,Chicago ,01/22/2019,03/25/2019,369,191 North Wacker Drive,Yes,No,No
404,Macy's ,New York ,01/18/2019,03/20/2019,43,112 West 34th Street,Yes,No,No
405,Signify Health,Dallas,01/18/2019,03/18/2019,132,"4055 Valley View Lane, Suite 400",Yes,No,No
406,Asheboro Elastic Corporation,Boykins,01/16/2019,05/31/2019,90,32056 East Circle,Yes,No,No
407,Southeast Services Coproporation,Knoxville,11/29/2018,01/31/2019,134,1845 Midpark,Yes,No,No
408,REO Logistics,Waynesboro,11/16/2018,01/15/2019,70,1 Solutions Way,No,No,No
409,Crothall Healthcare,Wayne,11/15/2018,01/20/2019,139,"1500 Liberty Ridge Drive, Suite 210",No,Yes,No
410,Broadcom ,San Jose,11/07/2018,01/08/2018,64,1320 Ridder Park Drive,No,Yes,No
411,"DH Leesburg Managment, LLC @ Lansdowne Resort & Spa",Leesburg,10/31/2018,12/31/2018,401,44050 Woodridge Parkway,No,Yes,No
412,Bristol Compressors,Bristol ,10/29/2018,11/05/2018,303,15185 Industrial Park Road,Yes,No,No
413,Kroger Store #536,Roanoke,10/18/2018,12/19/2018,102,P.O. Box 14002,Yes,No,No
414,NetCentrics Corporation,Herndon,10/11/2018,10/31/2018,149,"205  Van Buren Street, Suite 420",No,No,No
415,The Tides Inn,Irvington,09/26/2018,11/26/2018,170,480 King Carter Drive,No,Yes,No
416,Commonwealth Lodging Management ,Virginia Beach,08/28/2018,11/01/2018,79,"208 Golden Oak Court, Suite 100",No,No,No
417,Kmart Store #04483,Durham,08/14/2018,11/18/2018,83,1620 Guess Road,Yes,No,No
418,"DAL Global Services, LLC (DGS)",Atlanta,08/06/2018,10/31/2018,102,980 Virginia Avenue,No,Yes,No
419,"DAL Global Services, LLC (DGS)",Atlanta,08/06/2018,10/17/2018,92,980 Virginia Avenue,No,Yes,No
420,"CenseoHealth, LLC",Dallas ,07/17/2018,07/17/2018,141,"4055 Valley View Lane, Suite 400",Yes,No,No
421,Aleut,Colorado Springs ,07/16/2018,08/31/2018,126,"5540 Tech Center Drive, Suite 100",No,Yes,No
422,Advance Digestive Care,Vienna,07/03/2018,09/01/2018,40,"8300 Boone Boulevard, Suite 500",No,Yes,No
423,Advanced Digestive Care,Vienna,07/03/2018,09/01/2018,90,"8300 Boone Boulevard, Suite 500",No,Yes,No
424,Ammar's Inc-Magic Mart #363,Bluefield,07/02/2018,10/02/2018,28,710 South College Avenue,Yes,No,No
425,"Ammar's, Inc-Magic Mart #475",Bluefield,07/02/2018,10/02/2018,24,710 South College Avenue,Yes,No,No
426,"Ammar's, Inc-Magic Mart #500",Bluefield,07/02/2018,10/02/2018,26,710 South College Avenue,Yes,No,No
427,Ammar's Inc-Magic Mart #873,Bluefield,07/02/2018,10/02/2018,28,710 South College Avenue,Yes,No,No
428,"Ammar's, Inc.",Bluefield,07/02/2018,10/02/2018,97,710 South College Avenue,Yes,No,No
429,Ammar's Inc-Magic Mart #312,Bluefield,07/02/2018,10/02/2018,26,710 South College Avenue,Yes,No,No
430,"Ammar's, Inc-Magic Mart #983",Bluefield,07/01/2018,10/02/2018,30,710 South College Avenue,Yes,No,No
431,Tailored Brands,Freemont,06/29/2018,08/31/2018,64,"6100 Stevenson Blvd., Bldg A",Yes,No,No
432,"Dream Center Education Holdings, LLC","Pittsburg,",06/29/2018,08/28/2018,118,1400 Penn Avenue,Yes,No,No
433,The Corsi Group,Indianapolis,06/19/2018,08/31/2018,53,6111 Churchman Bypass,Yes,No,No
434,INOVA Health System,Falls Church,06/19/2018,08/20/2018,211,"8110 Gatehouse Road, Suite 200E",No,No,No
435,Northrop Grumman,McLean,06/14/2018,08/17/2018,348,7575 Colshire Drive,No,No,No
436,AECOM,McLean,06/08/2018,07/27/2018,173,1500 Tysons McLean Dr,No,Yes,No
437,PE Systems,Fairfax,06/08/2018,08/10/2018,68,"10201 Fairfax Blvd, Suite 200",No,Yes,No
438,ABM/GCA Vehicle Services,Tampa,05/25/2018,07/20/2018,80,5028 Tampa West Blvd,No,Yes,No
439,Bayshore Concrete Products Corporation,Cape Charles,05/11/2018,07/23/2018,35,1134 Bayshore Road,Yes,No,No
440,CACI,Arlington,05/07/2018,06/30/2018,65,1100 North Glebe Road,No,No,No
441,Kroger #403,Roanoke,04/18/2018,06/19/2018,69,P.O. Box 14002,Yes,No,No
442,Avante-Harrisonburg,Hollywood,03/28/2018,06/01/2018,79,"4601 Sheridan Street, Suite 500",No,Yes,No
443,Avante-Lynchburg,Hollywood,03/28/2018,05/31/2018,92,"4601 Sheridan Street, Suite 500",No,Yes,No
444,Avante-Roanoke,Hollywood,03/28/2018,05/31/2018,78,"4601 Sheridan Street, Suite 500",No,Yes,No
445,Avante-Waynesboro,Hollywood,03/28/2018,05/31/2018,98,"4601 Sheridan Street, Suite 500",No,Yes,No
446,Farm Fresh #6288,Virginia Beach,03/14/2018,05/14/2018,81,P.O. Box 2250,Yes,No,No
447,Farm Fresh #6293,Virginia Beach,03/14/2018,05/14/2018,94,P.O. Box 2250,Yes,No,No
448,Farm Fresh #6244,Virginia Beach ,03/14/2018,05/14/2018,82,P.O. Box 2250,Yes,No,No
449,Farm Fresh #6240,Virginia Beach,03/14/2018,05/14/2018,134,P.O. Box 2250,Yes,No,No
450,Farm Fresh #6249,Virginia Beach,03/14/2018,05/14/2018,102,P.O. Box 2250,Yes,No,No
451,Farm Fresh #6242,Virginia Beach,03/14/2018,05/14/2018,77,P.O.Box 2250,Yes,No,No
452,Farm Fresh #6257,Virginia Beach,03/14/2018,05/14/2018,111,P.O. Box 2250,Yes,No,No
453,Farm Fresh #6243,Virginia Beach,03/14/2018,05/14/2018,71,P.O. Box 2250,Yes,No,No
454,Farm Fresh #6260,Virginia Beach,03/14/2018,05/14/2018,70,P.O. Box 2250,Yes,No,No
455,Farm Fresh #6274,Virgini Beach,03/14/2018,05/14/2018,84,P.O. Box 2250,Yes,No,No
456,Farm Fresh #6247,Virignia Beach,03/14/2018,05/14/2018,86,P.O. Box 2250,Yes,No,No
457,Farm Fresh #6239,Virginia Beach,03/14/2018,05/14/2018,82,P.O. Box ,Yes,No,No
458,Farm Fresh #6275,Virginia Beach,03/14/2018,05/14/2018,100,P.O. Box 2250,Yes,No,No
459,Farm Fresh #6250,Virignia Beach,03/14/2018,05/14/2018,58,P.O. Box 2250,Yes,No,No
460,Farm Fresh #6241,Virginia Beach,03/14/2018,05/14/2018,58,P.O. Box 2250,Yes,No,No
461,Farm Fresh #6256,Virginia Beach,03/14/2018,05/14/2018,100,P.O. Box 2250,Yes,Yes,No
462,Farm Fresh #6253,Virginia Beach,03/14/2018,05/14/2018,69,P.O. Box 2250,Yes,No,No
463,Farm Fresh #6255,Virginia Beach,03/14/2018,05/14/2018,94,P.O. Box 2250,Yes,No,No
464,Farm Fresh #6280,Virginia Beach,03/14/2018,05/14/2018,77,P.O. Box 2250,Yes,No,No
465,Farm Fresh #6268,Virginia Beach,03/14/2018,05/14/2018,93,P.O. Box 2250,Yes,Yes,No
466,Farm Fresh #6266,Virignia Beach,03/14/2018,05/14/2018,71,P.O. Box 2250,Yes,No,No
467,Farm Fresh #6277,Virginia Beach,03/14/2018,05/14/2018,78,P.O. Box 6277,Yes,No,No
468,Farm Fresh #6290,Virginia Beach,03/14/2018,05/14/2018,87,P.O. Box 2250,Yes,Yes,No
469,Farm Fresh #6279,Virginia Beach,03/14/2018,05/14/2018,98,P.O. Box 2250,Yes,No,No
470,Farm Fresh #6282,Virginia Beach,03/14/2018,05/14/2018,85,P.O. Box 2250,Yes,No,No
471,Farm Fresh #6254,Virginia Beach,03/14/2018,05/14/2018,92,P.O. Box 2250,Yes,No,No
472,Farm Fresh #6289,Virginia Beach,03/14/2018,05/14/2018,92,P.O. Box 2250,Yes,No,No
473,Farm Fresh #6262,Virginia Beach,03/14/2018,05/14/2018,69,P.O. Box 2250,Yes,No,No
474,Farm Fresh #6291,Virignia Beach,03/14/2018,05/14/2018,88,P.O. Box 23455,Yes,No,No
475,Farm Fresh #6265,Virginia Beach,03/14/2018,05/14/2018,88,P.O. Box 2250,Yes,No,No
476,Farm Fresh #6258,Norfolk,03/14/2018,05/14/2018,67,P.O. Box 2250,Yes,No,No
477,Farm Fresh #6269,Virignia Beach,03/14/2018,05/14/2018,88,P.O. Box 23450,Yes,No,No
478,Farm Fresh #6246,Virginia Beach,03/14/2018,05/14/2018,104,P.O. Box 2250,Yes,No,No
479,Farm Fresh #6276,Virignia Beach,03/14/2018,05/14/2018,80,P.O. Box 2250,Yes,No,No
480,Farm Fresh #6270,Virginia Beach,03/14/2018,05/14/2018,65,P.O. Box 2250,Yes,No,No
481,Farm Fresh #6238,Virginia Beach ,03/14/2018,05/14/2018,95,P.O. Box 2250,Yes,No,No
