,company_name,location,notice_date,layoff_date,employees_affected,Type (Closing/Layoff)
179,FRAS-LE NORTH AMERICA,Prattville,12/07/2015,02/21/2016,50.0,Layoff *
180,AAR AEROSTRUCTURES & INTERIORS,Huntsville,12/07/2015,12/16/2015,72.0,Closing *
181,FAURECIA INTERIOR SYSTEMS - TUSCALOOSA PLANT,Tuscaloosa,10/18/2015,12/18/2015,138.0,Layoff *
182,LISTERHILL TMC,Muscle Shoals,10/13/2015,10/07/2015,134.0,Closing *
183,BBVA COMPASS,Birmingham,04/17/2014,06/24/2014,90.0,Layoff *
184,MACLEAN POWER SYSTEMS,Birmingham,09/03/2014,10/31/2014,75.0,Closing *
185,LABCORP,Birmingham,08/13/2014,10/15/2014,57.0,Layoff *
186,HARSCO METALS & MINERALS,Birmingham,08/04/2014,09/30/2014,51.0,Closing *
187,ATHENAHEALTH,Birmingham,05/28/2014,08/01/2014,63.0,Closing *
188,HEXPOL - ROBBINS LLC.,Muscle Shoals,12/08/2014,12/16/2014,61.0,Layoff *
189,"JOHNSTON TEXTILES, INC.",Phenix City,12/08/2014,12/10/2014,140.0,Closing *
190,KBR (CONTRACTOR AT BP CHEMICAL PLANT),Decatur,11/04/2014,11/30/2014,131.0,Layoff *
191,ALERIS - NICHOLS ALUMINUM ALABAMA LLC,Decatur,10/14/2014,12/19/2014,100.0,Closing *
192,IZZY+,Florence,07/31/2014,10/01/2014,204.0,Closing *
193,HEWLETT-PACKARD COMPANY,Montgomery,05/20/2014,05/16/2014,99.0,Layoff *
194,THE HON COMPANY,Florence,05/14/2014,08/18/2014,188.0,Closing *
195,HILLSHIRE BRANDS,Florence,04/08/2014,06/06/2014,1100.0,Closing *
196,"WAYNE FARMS, LLC",Dothan,04/02/2014,06/08/2014,560.0,Layoff *
197,"TYONEK SERVICES GROUP, INC.",Madison,03/17/2014,05/04/2014,161.0,Layoff *
198,"NAVISTAR DIESEL OF AL, LLC",Huntsville,03/05/2014,06/26/2014,220.0,Layoff *
199,BELLE FOODS-STORE 310 (MOBILE),Mobile,08/20/2013,10/06/2013,59.0,Closing *
200,MILLARD REFRIGERATED SERVICES,Theodore,04/16/2013,06/11/2013,100.0,Layoff *
201,WEST ASSET MANAGEMENT,Mobile,04/08/2013,05/31/2013,140.0,Layoff *
202,STEELSCAPE,Fairfield,11/05/2013,12/20/2013,62.0,Closing *
203,"ROCK MOUNTAIN MINING, LLC",Birmingham,09/17/2013,11/11/2013,53.0,Layoff *
204,WELLS FARGO,Homewood,08/23/2013,10/20/2013,841.0,Layoff *
205,BELLE FOODS-STORE 51 (HOOVER),Hoover,08/20/2013,10/06/2013,60.0,Closing *
206,BIRMINGHAM LOGISTICS (BELLE FOODS),Birmingham,07/01/2013,08/28/2013,203.0,Closing *
207,BIRMINGHAM LOGISTICS (ROUSE'S ENTERPRISES),Birmingham,06/28/2013,07/07/2013,182.0,Layoff *
208,"FAIRFIELD NURSING AND REHABILITATION CENTER, LLC",Fairfield,03/21/2013,05/19/2013,201.0,Closing *
209,AT&T ALABAMA,Birmingham,03/15/2013,05/15/2013,67.0,Layoff *
210,ATHENAHEALTH,Birmingham,01/07/2013,03/06/2013,36.0,Layoff *
211,PILGRIM'S PRIDE,Boaz,11/26/2013,01/24/2014,1154.0,Closing *
212,KBR,Selma,11/04/2013,11/30/2013,73.0,Layoff *
213,ALABAMA PAIN CENTER,Huntsville,10/22/2013,12/06/2013,80.0,Layoff *
214,JC'S 5 STAR OUTLET,Decatur,10/01/2013,12/18/2013,41.0,Closing *
215,"TWIN PINES, LLC",Jasper,09/17/2013,11/11/2013,60.0,Closing *
216,INTERNATIONAL PAPER-COURTLAND MILL,Courtland,09/11/2013,12/04/2013,1100.0,Closing *
217,BELLE FOODS-STORE 84 (TUSCALOOSA),Tuscaloosa,08/20/2013,10/06/2013,50.0,Closing *
218,COOPER LIGHTING,Eufaula,06/14/2013,10/01/2013,285.0,Closing *
219,PREFERRED HEALTH HOLDINGS (@RIDGEWOOD HEALTH CARE),Jasper,07/31/2013,09/29/2013,141.0,Closing *
