,company_name,location,notice_date,layoff_date,employees_affected,Type (Closing/Layoff)
386,"ABITIBIBOWATER, INC.",Albertville,09/18/2009,11/15/2009,86.0,Closing *
387,"MOORE-HANDLEY, INC.",Pelham,09/10/2009,10/01/2009,200.0,Closing *
388,MORGAN RESEARCH CORPORATION,Huntsville,09/09/2009,02/01/2009,135.0,Closing *
389,"CONTINENTAL AUTOMOTIVE SYSTEMS US, INC.",Huntsville,08/31/2009,10/30/2009,1281.0,Closing *
390,"TELEDYNE BROWN ENGINEERING, INC.",Tanner,08/20/2009,10/16/2009,140.0,Layoff *
391,"REGAL EMPLOYMENT, INC.",Hartselle,08/17/2009,10/13/2009,104.0,Layoff *
392,CARGILL,Decatur,02/09/2009,04/20/2009,107.0,Closing *
393,"FAIRFIELD SOUTHERN COMPANY, INC.",Fairfield,01/28/2009,12/01/2008,12.0,Layoff *
394,WEYERHAEUSER CORP.,Pine Hill,02/06/2009,02/05/2009,300.0,Closing *
395,ELWOOD STAFFING/NEW SOUTH EXPRESS,Lincoln,02/05/2009,04/06/2009,86.0,Layoff *
396,BASF CORPORATION,Decatur,02/03/2009,03/31/2009,115.0,Closing *
397,ELWOOD STAFFING/HONDA PLANT,Lincoln,01/26/2009,03/27/2009,706.0,Layoff *
398,NORBORD,Lanett,01/22/2009,03/21/2009,127.0,Closing *
399,CUMMINGS SIGNS INC.,Fort Deposit,01/16/2009,01/31/2009,51.0,Closing *
400,CR COMPRESSORS LLC,Hartselle,08/17/2009,10/14/2009,186.0,Layoff *
401,"VANITY FAIR BRANDS, ADMIN.",Monroeville,08/06/2009,10/01/2009,61.0,Closing *
402,"RUSSELL CORP., ADMIN. & CORPORATE",Alexander City,08/06/2009,09/30/2009,218.0,Layoff *
403,WINSTON FURNITURE COMPANY,Haleyville,07/17/2009,09/15/2009,108.0,Layoff *
404,PILGRIM'S PRIDE,Athens,07/24/2009,09/22/2009,640.0,Closing *
405,NORFOLK SOUTHERN CORPORATION,Muscle Shoals,07/17/2009,09/13/2009,64.0,Layoff *
406,"TELEDYNE BROWN ENGINEERING, INC.",Huntsville,07/14/2009,09/22/2009,78.0,Layoff *
407,"CHAPMAN FOREST PRODUCTS, INC.",Chapman,06/16/2009,06/15/2009,263.0,Closing *
408,KMART CORPORATION STORE #7362,Rainbow City,06/11/2009,10/11/2009,71.0,Closing *
409,"WOODLAND (CULLMAN COUNTY MEDICAL CLINIC, INC.)",Cullman,06/04/2009,07/15/2009,150.0,Closing *
410,TATE & LYLE SUCRALOSE LLC,McIntosh,05/28/2009,07/31/2009,126.0,Closing *
411,HAGER COMPANIES,Oxford,05/20/2009,10/30/2009,93.0,Closing *
412,PACE INDUSTRIES,Auburn,05/22/2009,07/20/2009,147.0,Closing *
413,VANITY FAIR BRANDS-KNITTING FACILITY,Jackson,05/20/2009,07/14/2009,69.0,Closing *
414,VANITY FAIR BRANDS-DYE/FINISH FACILITY,Monroeville,05/19/2009,07/14/2009,141.0,Closing *
415,ACCELLENT,Huntsville,05/11/2009,11/06/2009,78.0,Closing *
416,RIGID BUILDING SYSTEMS,Gadsden,05/07/2009,06/26/2009,73.0,Closing *
417,RUSSELL CORP. (WOVEN FABRICS PLANT),Alexander City,04/13/2009,07/01/2009,252.0,Closing *
418,SCIENCE APPLICATIONS INTERNATIONAL CORP.,Anniston,04/10/2009,04/30/2009,90.0,Layoff *
419,FOOD WORLD,Dora,03/16/2009,05/17/2009,47.0,Closing *
420,ADVANCED FEDERAL SERVICES CORPORATION,Madison,04/01/2009,04/30/2009,69.0,Closing *
421,ALABAMA RIVER NEWSPRINT MILL,Perdue Hill,04/01/2009,06/05/2009,167.0,Closing *
422,JACK HUGHSTON MEMORIAL HOSPITAL,Phenix City,03/30/2009,03/31/2009,80.0,Layoff *
423,BRUNO'S SUPERMARKETS,Tuscaloosa,03/16/2009,05/17/2009,103.0,Closing *
424,BRUNO'S SUPERMARKETS,Alabaster,03/16/2009,05/17/2009,54.0,Closing *
425,BRUNO'S SUPERMARKETS,Tuscaloosa,03/16/2009,05/17/2009,106.0,Closing *
426,BRUNO'S SUPERMARKETS,Montgomery,03/16/2009,05/17/2009,58.0,Closing *
427,BRUNO'S SUPERMARKETS,Montgomery,03/16/2009,05/17/2009,60.0,Closing *
428,BRUNO'S SUPERMARKETS,Orange Beach,03/16/2009,05/17/2009,40.0,Closing *
429,BRUNO'S SUPERMARKETS,Spanish Fort,03/16/2009,05/17/2009,68.0,Closing *
430,BRUNO'S SUPERMARKETS,Gulf Shores,03/16/2009,05/17/2009,63.0,Closing *
431,BRUNO'S SUPERMARKETS,Fairhope,03/16/2009,05/17/2009,93.0,Closing *
432,FOOD WORLD,Moody,03/16/2009,05/17/2009,62.0,Closing *
433,FOOD WORLD,Tuscaloosa,03/16/2009,05/17/2009,72.0,Closing *
434,FOOD WORLD,Prattville,03/16/2009,05/17/2009,51.0,Closing *
435,FOOD WORLD,Tuscaloosa,03/16/2009,05/17/2009,55.0,Closing *
436,FOOD WORLD,Jasper,03/16/2009,05/17/2009,67.0,Closing *
437,FOOD WORLD,Monroeville,03/16/2009,05/17/2009,64.0,Closing *
438,FOOD WORLD,Demopolis,03/16/2009,05/17/2009,62.0,Closing *
439,FOOD WORLD,Gadsden,03/16/2009,05/17/2009,40.0,Closing *
440,FOOD WORLD,Sylacauga,03/16/2009,05/17/2009,64.0,Closing *
441,FOOD WORLD,Pell City,03/16/2009,05/17/2009,56.0,Closing *
442,FOOD WORLD,Pelham,03/16/2009,05/17/2009,45.0,Closing *
443,FOOD WORLD,Rainbow City,03/16/2009,05/17/2009,48.0,Closing *
444,FOOD WORLD,Gadsden,03/16/2009,05/17/2009,35.0,Closing *
445,FOOD WORLD,Tuscaloosa,03/16/2009,05/17/2009,64.0,Closing *
446,FOOD WORLD,Cullman,03/16/2009,05/17/2009,49.0,Closing *
447,FOOD MAX,Oxford,03/16/2009,05/17/2009,50.0,Closing *
448,FOOD MAX,Northport,03/16/2009,05/17/2009,58.0,Closing *
449,"GRAPHIC PACKAGING INTERNATIONAL, INC.",Tuscaloosa,02/16/2009,05/15/2009,87.0,Closing *
450,"RUSSELL CORP., COOSA RIVER YARN PLANT",Wetumpka,02/25/2009,02/26/2009,138.0,Closing *
451,"WEYERHAEUSER CO., CASTLEBERRY",Castleberry,02/25/2009,02/23/2009,71.0,Closing *
452,GERBER CHILDRENSWEAR LLC,Evergreen,02/20/2009,05/22/2009,77.0,Closing *
453,LOPAREX LLC,Cullman,02/19/2009,04/20/2009,78.0,Closing *
454,SCOTCH LUMBER COMPANY,Fulton,02/17/2009,04/17/2009,143.0,Layoff *
455,WEST FRASER-CITRONELLE LUMBER MILL,Citronelle,11/20/2008,12/01/2008,102.0,Closing *
456,INTERNATIONAL CODE COUNCIL,Birmingham,12/02/2008,11/21/2008,6.0,Closing *
457,CERTAINTEED CORPORATION,Birmingham,11/05/2008,01/23/2009,50.0,Closing *
458,PHYSICIAN'S MEDICAL CENTER,Birmingham,10/20/2008,10/20/2008,1000.0,Closing *
459,"BORAL BRICKS, INC.",Bessemer,05/02/2008,07/01/2008,39.0,Layoff *
460,TELETECH,Fairfield,04/25/2008,06/27/2008,272.0,Closing *
461,CARDINAL HEALTH,Bessemer,04/24/2008,09/01/2008,100.0,Closing *
462,FIRST AMERICAN BANK,Birmingham,04/09/2008,06/15/2008,78.0,Closing *
463,SKYWEST AIRLINES,Birmingham,02/05/2008,04/01/2008,23.0,Closing *
464,EDS,Birmingham,02/04/2008,04/01/2008,261.0,Layoff *
465,"W.Y. SHUGART & SONS, INC.",Fort Payne,12/15/2008,02/11/2009,60.0,Closing *
466,"PATRIOT HOMES, INC. (AKA SOUTHRIDGE HOMES)",Hamilton,12/12/2008,12/12/2008,125.0,Closing *
467,GILDAN,Fort Payne,12/12/2008,02/27/2009,738.0,Closing *
468,"W.Y. SHUGART & SONS, INC.",Fort Payne,12/15/2008,02/11/2008,60.0,Layoff *
469,VERTIS COMMUNICATIONS INC.,Sylacauga,12/09/2008,02/07/2009,283.0,Closing *
470,BERRY PLASTICS CORP. COVALENCE SPECIALTY ADHESIVES,Albertville,11/19/2008,01/20/2009,96.0,Layoff *
471,UNITED INDUSTRIAL (SPECTRUM BRANDS),Sylacauga,11/14/2008,01/15/2009,107.0,Closing *
472,LOUISIANA-PACIFIC CORP.,Thomasville,11/17/2008,01/12/2009,129.0,Closing *
473,PINKERTON GOVERNMENT SERVICES,Athens,11/05/2008,03/20/2008,194.0,Closing *
474,"FPMI SOLUTIONS, INC.",Arab,10/14/2008,12/29/2008,89.0,Closing *
475,"BILL HEARD CHEVROLET, INC.",Huntsville,09/25/2008,09/24/2008,158.0,Closing *
476,"ALTADIS USA, INC. (SELMA CIGAR FACTORY)",Selma,09/30/2008,11/14/2008,213.0,Closing *
477,BAE SYSTEMS (SECOND CHANCE BODY ARMOR),Geneva,09/10/2008,09/11/2008,194.0,Closing *
478,ADVANCED FEDERAL,Anniston,07/02/2008,04/30/2009,69.0,Closing *
479,FRONTIER YARNS-LAFAYETTE,Lafayette,06/17/2008,06/26/2008,129.0,Closing *
480,KNAUF INSULATION,Lanett,01/22/2008,03/17/2008,75.0,Layoff *
481,ALBANY INTERNATIONAL-APPLETON WIRE DIVISION,Montgomery,01/09/2008,02/15/2008,96.0,Closing *
482,STANDARD FURNITURE MFG. CO.,Frisco City,01/04/2008,03/04/2008,192.0,Layoff *
483,"HERFF JONES, INC.",Montgomery,06/12/2008,08/10/2008,43.0,Layoff *
484,"RUSSELL CORP., COOSA RIVER TEXTILES",Wetumpka,06/03/2008,06/10/2008,550.0,Layoff *
485,OCCIDENTAL CHEMICAL CORPORATION,Muscle Shoals,06/03/2008,08/19/2008,47.0,Closing *
486,SHAW INDUSTRIES,Stevenson,05/29/2008,07/31/2008,418.0,Closing *
487,"GEORGIA-PACIFIC CORP., MONROEVILLE",Peterman,11/12/2008,01/10/2009,319.0,Closing *
488,DILLARD'S,Tuscaloosa,03/27/2008,06/01/2008,130.0,Closing *
489,PERFORMANCE FIBERS,Winfield,03/25/2008,05/23/2008,93.0,Closing *
490,GEORGIA PACIFIC WOOD PRODUCTS-TALLADEGA,Talladega,03/20/2008,05/18/2008,380.0,Closing *
491,DELTA AIR LINES,Huntsville,03/12/2008,05/17/2008,183.0,Closing *
492,"WESTPOINT HOME, INC. FAIRFAX DISTRIBUTION CENTER",Valley,03/10/2008,05/05/2008,315.0,Closing *
493,GAF MATERIALS CORP.,Mobile,10/01/2007,11/30/2007,97.0,Layoff *
494,"MEADOWCRAFT, INC.",Birmingham,12/28/2007,02/29/2008,246.0,Closing *
495,"PEMCO AEROPLEX, INC.",Birmingham,09/25/2007,09/01/2007,300.0,Layoff *
496,SPRING AIR COMPANY,Birmingham,09/14/2007,09/28/2007,67.0,Closing *
497,"T&WA OF BIRMINGHAM, LLC",Birmingham,04/30/2007,06/29/2007,51.0,Closing *
498,"ARAMARK MANAGEMENT SERVICES, LTD. PARTNERSHIP",Birmingham,04/12/2007,05/14/2007,232.0,Closing *
499,PLEASANT GROVE NURSING AND REHABILITATION CTR. LLC,Pleasant Grove,02/13/2007,02/19/2007,175.0,Closing *
500,KOCH FOODS OF ALABAMA-SYLACAUGA,Sylacauga,04/24/2007,06/22/2007,243.0,Closing *
501,WEHADKEE YARN MILLS,Talladega,04/19/2007,06/20/2007,85.0,Closing *
502,"TYSON FOODS, INC. (HEFLIN)",Heflin,04/04/2007,06/04/2007,21.0,Closing *
503,AC FABRICATED PRODUCTS (JACKSON),Jackson,03/23/2007,10/01/2010,65.0,Closing *
504,"TYSON FOODS, INC. (GADSDEN)",Gadsden,03/22/2007,05/21/2007,400.0,Layoff *
505,"SOUTHERN PRIDE CATFISH, LLC",Demopolis,02/20/2007,03/31/2007,150.0,Closing *
506,TRIANA INDUSTRIES,Triana,03/13/2007,05/12/2007,150.0,Layoff *
507,LP BUILDING PRODUCTS-SELMA,Selma,03/05/2007,04/13/2007,107.0,Closing *
508,"RUSSELL CORP., PLANT NO. 10",Alexander City,03/01/2007,03/12/2007,425.0,Closing *
509,PENDA DALEVILLE (TRI-GLAS INDUSTRIES),Daleville,02/23/2007,04/27/2007,70.0,Closing *
510,ALUTIIQ-WACKENHUT SECURITY SERVICES,Redstone Arsenal,02/05/2007,04/01/2007,99.0,Closing *
511,ELASTIC CORPORATION,Columbiana,01/19/2007,03/24/2007,233.0,Closing *
512,"WESTPOINT HOME, INC., TRANSPORTATION CENTER",Valley,01/16/2007,03/14/2007,60.0,Closing *
513,"VANITY FAIR BRANDS, LP",Monroeville,05/08/2007,09/01/2007,210.0,Closing *
514,WESTPOINT HOME-FAIRFAX MILL,Valley,05/04/2007,06/29/2007,30.0,Closing *
515,DIXIE-PACIFIC MFG. COMPANY,Gadsden,12/19/2007,02/08/2008,172.0,Closing *
516,WESTPOINT HOME-FAIRFAX FINISHING PLANT,Valley,12/10/2007,02/07/2008,200.0,Closing *
517,WESTPOINT HOME-FAIRFAX FABRICATION PLANT,Valley,12/10/2007,02/07/2008,650.0,Closing *
518,SPRINGS GLOBAL,Piedmont,12/10/2007,04/30/2008,325.0,Closing *
519,PARKDALE MILLS,Rockford,11/20/2007,01/13/2007,100.0,Closing *
520,WELLSTONE MILLS-PLANT 2,Eufaula,12/04/2007,12/04/2007,117.0,Closing *
521,CHAMPION HOME BUILDERS (GATEWAY HOMES),Guin,11/27/2007,01/31/2008,196.0,Closing *
522,HALDEX BRAKE PRODUCTS CORP.,Prattville,11/15/2007,01/24/2008,85.0,Layoff *
523,GENERAL CASUALTY INSURANCE,Montgomery,10/30/2007,01/01/2008,87.0,Closing *
524,"WOLVERINE TUBE, INC.",Decatur,11/08/2007,01/06/2008,464.0,Closing *
525,DELPHI STEERING SYSTEMS,Athens,10/31/2007,12/03/2007,1020.0,Closing *
526,BEAULIEU OF AMERICA,Boaz,10/03/2007,12/03/2007,140.0,Closing *
527,WESTPOINT HOME-CARTER PLANT,Valley,10/02/2007,11/29/2007,350.0,Closing *
528,CONTINENTAL EAGLE CORP.,Prattville,08/28/2007,11/20/2007,150.0,Closing *
529,REGIONS FINANCIAL CORP.,Montgomery,09/05/2007,06/01/2008,625.0,Layoff *
530,WISE ALLOYS LLC,Muscle Shoals,08/31/2007,11/02/2007,301.0,Layoff *
531,SMURFIT-STONE CONTAINER,Brewton,08/10/2007,10/06/2007,75.0,Layoff *
532,WESTPOINT HOME-LANIER PLANT,Valley,07/26/2007,09/24/2007,300.0,Closing *
533,WELLSTONE MILLS-PLANT 1,Eufaula,07/27/2007,07/31/2007,125.0,Closing *
534,"DELTA APPAREL, INC.",Fayette,07/17/2007,09/14/2007,109.0,Closing *
535,SARA LEE BAKERY GROUP,Dothan,06/01/2007,07/28/2007,99.0,Layoff *
536,WESTPOINT HOME-ABBEVILLE,Abbeville,05/29/2007,07/27/2007,700.0,Closing *
537,WESTPOINT HOME-GRIFFTEX CHEMICAL PLANT,Opelika,05/29/2007,07/27/2007,13.0,Closing *
538,WESTPOINT HOME-OPELIKA FINISHING PLANT,Opelika,05/29/2007,07/27/2007,350.0,Closing *
539,SENTINEL CONSUMER PRODUCTS,Anniston,05/08/2007,05/31/2007,73.0,Closing *
540,MASONITE INTERNATIONAL CORP.,Mobile,01/25/2006,05/16/2008,260.0,Closing *
541,"SAKS, INC.",Birmingham,11/09/2006,01/31/2007,90.0,Layoff *
542,PARISIAN CORPORATE HEADQUARTER (BELK #953),Birmingham,11/06/2006,03/15/2007,414.0,Closing *
543,SODEXHO HEALTH CARE SERVICE-D/B/A CARRAWAY MED CTR,Birmingham,10/26/2006,11/08/2006,132.0,Closing *
544,"DRUMMOND COMPANY, INC.",Adger,10/05/2006,12/06/2006,475.0,Layoff *
545,"SOUTHERN FAMILY MARKETS, LLC",Birmingham,08/29/2006,09/25/2006,278.0,Layoff *
546,CARDINAL HEALTH,Birmingham,08/08/2006,10/06/2006,49.0,Layoff *
547,"VESTA INSURANCE GROUP, INC.",Birmingham,11/17/2006,12/29/2006,74.0,Closing *
548,FEDERAL RESERVE OF ATLANTA,Birmingham,07/26/2006,09/29/2006,54.0,Layoff *
549,HOUSING AUTHORITY OF THE BIRMINGHAM DISTRICT,Birmingham,05/10/2006,06/10/2006,143.0,Layoff *
550,KRAFT FOODS,Hoover,02/07/2006,04/23/2006,61.0,Closing *
551,MCRAE'S,Birmingham,01/04/2006,03/31/2006,87.0,Closing *
552,JOHNS MANVILLE COMPANY,Phenix City,12/06/2006,12/31/2006,150.0,Closing *
553,"RENFRO-CHARLESTON HOSIERY, LLC",Fort Payne,12/07/2006,02/05/2007,174.0,Closing *
554,PARISIAN DISTRIBUTION CENTER-BELK #741,Steele,12/01/2006,03/15/2007,84.0,Closing *
555,"WAVERLEE HOMES, INC.",Tuscumbia,11/20/2006,01/10/2007,92.0,Closing *
556,IMPERIAL MANUFACTURING,Montgomery,11/02/2006,12/31/2006,30.0,Closing *
557,SCHNEIDER NATIONAL CARRIERS,Evergreen,11/01/2006,12/31/2006,52.0,Closing *
558,"SHAW INDUSTRIES GROUP, INC.",Stevenson,10/25/2006,12/22/2006,236.0,Layoff *
559,"THE ALAN WHITE COMPANY, INC.",Sulligent,10/25/2006,12/24/2006,124.0,Closing *
560,"CREATIVE ENGINEERED POLYMER PRODUCTS, LLC.",Tuscaloosa,10/16/2006,12/06/2006,145.0,Closing *
561,PERFORMANCE FIBERS,Scottsboro,10/04/2006,12/29/2006,139.0,Closing *
562,"LEAR SIEGLER SERVICES, INC.",Fort Rucker,09/22/2006,10/31/2006,421.0,Closing *
563,ALATECH HEALTHCARE PRODUCTS,Eufaula,09/15/2006,11/15/2006,50.0,Layoff *
564,ALATECH HEALTHCARE PRODUCTS,Slocomb,09/15/2006,11/15/2006,100.0,Layoff *
565,AC FABRICATED PRODUCTS-CHATOM,Chatom,09/07/2006,10/31/2006,146.0,Closing *
566,WESTPOINT HOME-LANETT,Lanett,09/05/2006,11/04/2006,370.0,Closing *
567,WESTPOINT HOME-OPELIKA,Opelika,09/05/2006,11/04/2006,325.0,Closing *
568,"BF GOODRICH TIRE MFG., OPELIKA",Opelika,07/11/2006,07/01/2009,1350.0,Closing *
569,ACE PRODUCTS,Lineville,07/05/2006,11/30/2006,102.0,Closing *
570,PALM HARBOR HOMES,Boaz,06/30/2006,08/29/2006,215.0,Closing *
571,INDIES HOUSE,Hackleburg,06/16/2006,05/24/2006,356.0,Closing *
572,COOPER HAND TOOLS,Cullman,03/08/2006,08/18/2006,52.0,Layoff *
573,"DELTA AIRLINES, INC.",Montgomery,06/12/2006,09/01/2006,150.0,Closing *
574,NORTHROP GRUMMAN CORPORATION,Redstone Arsenal,06/06/2006,06/09/2006,97.0,Layoff *
575,JOHNSON CONTROLS,Montgomery,06/02/2006,05/09/2008,213.0,Closing *
576,"AVONDALE MILLS INC., PELL CITY",Pell City,05/22/2006,07/25/2006,255.0,Closing *
577,"AVONDALE MILLS, INC., SYLACAUGA",Sylacauga,05/22/2006,07/25/2006,1023.0,Closing *
578,"WESTPOINT HOME, INC.",Columbia,03/28/2006,05/26/2006,110.0,Closing *
579,PHILLIPS-VAN HEUSEN,Ozark,03/07/2006,04/17/2006,538.0,Closing *
580,GLOBE METALLURGICAL INC.,Selma,02/22/2006,03/22/2009,60.0,Closing *
581,"3D LABS, INC.",Madison,03/02/2006,04/23/2006,84.0,Layoff *
582,AC FABRICATED PRODUCTS,Silas,02/10/2006,04/06/2006,50.0,Closing *
583,DESOTO MILLS (RUSSELL CORPORATION),Fort Payne,01/24/2006,01/12/2007,220.0,Layoff *
584,DESOTO MILLS (RUSSELL CORPORATION),Fort Payne,01/24/2006,03/01/2010,104.0,Layoff *
585,"FISHKING PROCESSORS, INC.",Bayou La Batre,08/24/2005,09/19/2005,90.0,Closing *
586,PARISIAN,Birmingham,01/26/2005,01/31/2005,102.0,Closing *
587,"SIEMANS LOGISTICS AND ASSEMBLY SYSTEMS, INC.",Birmingham,01/21/2005,03/08/2005,83.0,Closing *
588,"BRUNO'S SUPERMARKETS, INC.",Birmingham,01/11/2005,03/11/2005,175.0,Layoff *
589,"FUJICOLOR PROCESSING, INC.",Birmingham,01/07/2005,01/23/2005,89.0,Closing *
590,ACCENTURE LLP,Hoover,12/05/2005,01/31/2006,125.0,Layoff *
591,ACCENTURE LLP,Birmingham,11/30/2005,01/31/2006,54.0,Layoff *
592,"WINN DIXIE FOODS, INC. STORE NO. 532",Vestavia Hills,06/21/2005,08/20/2005,75.0,Closing *
593,"SERVICE TRANSPORT, INC.",Birmingham,05/12/2005,05/05/2005,26.0,Closing *
594,DEL MONTE FOODS,Birmingham,03/24/2005,05/25/2005,80.0,Closing *
595,HEALTHSOUTH CORPORATION,Birmingham,03/21/2005,04/30/2005,111.0,Closing *
596,FEDERAL RESERVE BANK OF ATLANTA-BIRMINGHAM BRANCH,Birmingham,01/31/2005,03/31/2005,70.0,Layoff *
597,PARISIAN,Fairfield,01/26/2005,03/15/2005,87.0,Closing *
598,"JOHNSTON TEXTILES, INC.",Phenix City,08/01/2005,10/01/2005,170.0,Layoff *
599,"WINN DIXIE FOODS, INC. STORE NO. 0519",Greenville,06/21/2005,08/20/2005,70.0,Closing *
600,"WINN DIXIE FOODS, INC. STORE NO. 0529",Alabaster,06/21/2005,08/20/2005,75.0,Closing *
601,"WINN DIXIEFOODS, INC. STORE NO. 1914",Madison,06/21/2005,08/20/2005,89.0,Closing *
602,WINN DIXIE GROCERY DISTRIBUTION CENTER,Montgomery,06/21/2005,09/16/2005,154.0,Closing *
603,"SWEET SUE KITCHENS, INC.",Athens,05/23/2005,06/03/2005,161.0,Closing *
604,"SERVICE TRANSPORT, INC.",Montgomery,05/12/2005,05/05/2005,15.0,Closing *
605,"SERVICE TRANSPORT, INC.",Decatur,05/12/2005,05/05/2005,25.0,Closing *
606,GULF STATES PAPER CORPORATION,Tuscaloosa,04/29/2005,06/26/2005,80.0,Layoff *
607,CONAGRA FOODS,Montgomery,03/24/2005,03/24/2005,365.0,Closing *
608,RUSSELL CORP. (ALEX CITY),Alexander City,12/13/2005,01/29/2006,747.0,Layoff *
609,RUSSELL CORP. (PLANT #7-BLEACHERY),Alexander City,12/13/2005,01/29/2006,180.0,Closing *
610,"WRIGHT-K TECHNOLOGY, INC.",Madison,12/08/2005,02/13/2006,150.0,Closing *
611,CITATION-SOUTHERN ALUMINUM,Bay Minette,11/15/2005,11/22/2006,124.0,Layoff *
612,"WESTPOINT HOME, INC. (FAIRVIEW PLANT)",Valley,11/01/2005,12/30/2005,285.0,Closing *
613,HEALTHSOUTH,Pelham,10/06/2005,12/02/2005,70.0,Closing *
614,CARGILL,Decatur,10/06/2005,12/05/2005,106.0,Closing *
615,"BAE SYSTEMS, 10TH ST. FORGE FACILITY",Anniston,09/27/2005,12/15/2008,222.0,Layoff *
616,COMMSCOPE,Scottsboro,09/14/2005,03/31/2006,180.0,Closing *
617,"GETRONICS ENTERPRISE MANAGED SEVICES, LLC",Hartselle,09/19/2005,11/15/2005,5.0,Layoff *
618,NATIONAL LINEN AND UNIFORM SERVICE,Montgomery,09/16/2005,11/14/2005,102.0,Closing *
619,"KAPPLER, INC.",Guntersville,09/06/2005,11/05/2005,169.0,Layoff *
620,"WINN DIXIE FOODS, INC.",Florence,08/19/2005,09/02/2005,76.0,Closing *
621,"MUNDY MAINTENANCE AND SERVICES, LLC",Decatur,02/15/2005,04/15/2005,224.0,Layoff *
622,SOLUTIA,Decatur,02/14/2005,04/15/2005,208.0,Layoff *
623,TEE JAYS,Florence,02/07/2005,02/07/2005,220.0,Closing *
624,"THE BRIDGE, INC., EUFAULA YOUTH CENTER",Clayton,02/02/2005,09/30/2005,91.0,Closing *
625,BREDERO SHAW,Theodore,11/04/2004,03/15/2005,220.0,Closing *
626,AMERISOURCE BERGEN CORPORATION,Mobile,10/01/2004,12/03/2004,46.0,Closing *
627,"SYNGENTA CROP PROTECTION, INC.",Bucks,02/20/2004,03/31/2004,160.0,Closing *
628,WACHOVIA CORPORATION,Birmingham,11/24/2004,11/01/2004,1714.0,Closing *
629,"CENTRAL LAUNDRY SERVICES (SODEXHO, INC.)",Birmingham,09/30/2004,11/12/2004,63.0,Closing *
630,ELECTRONIC DATA SYSTEMS,Birmingham,09/08/2004,12/06/2004,24.0,Layoff *
631,WILLIAMS BRIDGE COMPANY,Bessemer,07/30/2004,08/08/2004,39.0,Closing *
632,HEALTHSOUTH METRO WEST HOSPITAL,Fairfield,07/02/2004,09/02/2004,506.0,Closing *
633,RICH'S-MACY'S CENTURY PLAZA STORE,Birmingham,01/20/2004,03/16/2004,75.0,Closing *
634,WACHOVIA CORPORATION,Montgomery,11/24/2004,01/30/2005,50.0,Closing *
635,CHAMPION HOMES OF BOAZ (CHANDELEUR HOMES),Boaz,12/29/2004,01/03/2005,180.0,Closing *
636,"THE BRIDGE, INC.",Decatur,12/03/2004,12/31/2004,3.0,Closing *
637,"MEDLINE INDUSTRIES, INC.",Monroeville,10/12/2004,12/30/2004,134.0,Closing *
638,BERWICK OFFRAY,Anniston,10/05/2004,01/01/2005,89.0,Closing *
639,DOZIER MANUFACTURING,Dozier,10/02/2004,12/04/2004,130.0,Closing *
640,WEST TELEMARKETING CORPORATION,Huntsville,08/20/2004,10/18/2004,1081.0,Closing *
641,"THE BRIDGE, INC. (HANDS HOME)",Decatur,08/20/2004,09/30/2004,11.0,Closing *
642,AMERISOURCEBERGEN,Montgomery,07/28/2004,10/22/2004,60.0,Closing *
643,"REGIONS FINANCIAL CORP., MORTGAGE DEPT.",Montgomery,04/28/2004,09/30/2004,341.0,Closing *
644,WAL-MART CHECK COLLECTION CENTER,Tuscaloosa,07/19/2004,09/16/2004,87.0,Layoff *
645,WEST CORPORATION,Dothan,07/09/2004,09/07/2004,200.0,Closing *
646,UNION PLANTERS BANK,Montgomery,07/07/2004,09/30/2004,74.0,Closing *
647,EMPIRE COKE COMPANY,Holt,06/30/2004,06/30/2004,141.0,Closing *
648,"USA HEALTHCARE, INC.",Cullman,06/25/2004,06/29/2004,700.0,Closing *
649,ROYAL HARVEST FOODS,Marion,05/19/2004,07/17/2004,95.0,Closing *
650,WEHADKEE YARN MILLS-ROCK MILLS DIVISION,Roanoke,04/27/2004,05/07/2004,45.0,Closing *
651,"DESIGNER CHECKS, INC.",Anniston,04/08/2004,10/15/2004,182.0,Closing *
652,MONESSEN HEARTH SYSTEMS,Athens,04/01/2004,06/01/2004,63.0,Closing *
653,M&H VALVE COMPANY,Anniston,03/29/2004,05/28/2004,64.0,Layoff *
654,DELPHI PACKARD,Gadsden,03/19/2004,05/17/2004,118.0,Layoff *
655,"USA HEALTHCARE, LLC",Cullman,03/01/2004,04/30/2004,700.0,Closing *
656,VERIZON WIRELESS,Dothan,02/20/2004,04/30/2004,50.0,Closing *
657,WERNER COMPANY,Anniston,02/17/2004,04/30/2004,530.0,Closing *
658,"JIM WALTER RESOURCES, INC.",Brookwood,02/05/2004,12/02/2004,320.0,Closing *
659,ADVANCE AUTO PARTS DISTRIBUTION CENTER,Gadsden,01/16/2004,03/15/2004,140.0,Closing *
660,AAA PLUMBING POTTERY CO.,Attalla,01/13/2004,02/23/2004,226.0,Closing *
661,WESTPOINT STEVENS (FAIRFAX GREIGE PLANT),Valley,01/09/2004,07/16/2004,300.0,Closing *
662,WEST CORPORATION,Mobile,09/03/2003,10/29/2003,395.0,Closing *
663,BE & K INDUSTRIAL SERVICES (DUPONT PLANT),Axis,08/27/2003,09/21/2003,85.0,Closing *
664,KELLOGG BROWN & ROOT,Mobile,06/19/2003,08/22/2003,140.0,Closing *
665,KERR-MCGEE CHEMICAL LLC,Theodore,01/15/2003,06/05/2003,139.0,Closing *
