,company_name,location,notice_date
214,Reverse Mortgage Funding LLC,Mid-Hudson,12/5/2022
215,IEH Auto Parts LLC d/b/a Auto Plus,Mid-Hudson,12/2/2022
216,"Housing Works, Inc.",New York City,12/2/2022
217,BlockFi Inc.,New York City,12/1/2022
218,"City Carting of Westchester, Inc.",Mid-Hudson,11/29/2022
219,"Candy Digital, Inc.",New York City,11/28/2022
220,"Volunteers of America-Greater New York, Inc.- VOA-GNY (Grasslands Homeless Shelter)",Mid-Hudson,11/23/2022
221,"American Grill Investor LLC., d/b/a Hudson Yards Grill",New York City,11/22/2022
222,"Meta Platforms, Inc. (formerly Facebook, Inc.)",New York City,11/15/2022
223,Exodus Transitional Community,New York City,11/10/2022
224,"Twitter, Inc.",New York City,11/8/2022
225,"Better Holdco, Inc. d/b/a Better.com",New York City,11/8/2022
226,"Pioneer Credit Recovery, Inc., Gila LLC, Navient B.P.O., LLC, Navient Solutions, LLC, or Asset Performance Group, LLC",Finger Lakes / Southern,11/7/2022
227,"Avon Products, Inc. (Avon Global Innovation Center)",Mid-Hudson,11/4/2022
228,"Total Fire Protection, Inc.",New York City,11/3/2022
229,IKEA US RETAIL LLC,New York City,11/2/2022
230,"Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC",Mid-Hudson,11/1/2022
231,"Strides Pharma, Inc.",Mid-Hudson,11/1/2022
232,"Exceeding Expectations, Inc. dba Longfellows",Capital,10/31/2022
233,"Radienz Living, LLC",Long Island,10/24/2022
234,"Starry, Inc.",New York City,10/21/2022
235,Corning Pharmaceutical Technologies,Southern,10/18/2022
236,"Johnson and Johnson Services, Inc.",New York City,10/17/2022
237,ABB/Con-Cise Optical Group LLC,Mid-Hudson,10/14/2022
238,"Take-Two Interactive Software, Inc.",New York City,10/13/2022
239,"Radienz Living, LLC",Long Island,10/13/2022
240,"HHC 33 Peck Slip Holdings, LLC",New York City,10/13/2022
241,"Patina BBG, LLC",New York City,10/6/2022
242,HMS Host,New York City,10/6/2022
243,Intergrow Greenhouses Inc. d/b/a Fillmore Greenhouses,Finger Lakes,10/6/2022
244,Sheltering Arms Children Family Services,New York City,10/6/2022
245,Exodus Transitional Community,New York City,10/6/2022
246,Mermaid 88 LLC d/b/a The Mermaid Inn,New York City,10/6/2022
247,D.V.V.A. Carle Place Restaurant LLC d/b/a Chateau Briand,Long Island,10/5/2022
248,Dylan’s Candy Bar,New York City,10/5/2022
249,"ImmunityBio, Inc.",Western,10/5/2022
250,"Pioneer Credit Recovery, Inc., Gila LLC, Navient B.P.O., LLC, Navient Solutions, LLC, or Asset Performance Group, LLC",Finger Lakes / Southern,10/4/2022
251,"Amneal Pharmaceuticals, LLC",Long Island,10/4/2022
252,GlobalFoundries U.S. 2 LLC,Mid-Hudson,9/30/2022
253,The First Republic Corporation of America DBA Ramada by Wyndham,Central,9/27/2022
254,Mercer Kitchen LLC dba Mercer Kitchen (Jean-Georges Management),New York City,9/22/2022
255,"Wells Enterprises, Inc. (Dunkirk Ice Cream Plant)",Western,9/20/2022
256,IKE Logistics LLC,New York City,9/19/2022
257,"Sanzo Beverage Company, Inc.",Western,9/16/2022
258,"Wild Ink, Restaurant dba Hudson Yards by Rhubarb LLC",New York City,9/16/2022
259,Medly Health Inc. (Headquarters & Pharmacy),New York City,9/2/2022
260,RoundPoint Mortgage Servicing Corporation,Long Island,9/2/2022
261,Voyant Beauty LLC,Central,8/30/2022
262,"Key Food CS 2 LLC, dba Food Universe",New York City,8/25/2022
263,Stafkings of Binghamton Inc.,Central,8/25/2022
264,"Packable Holdings, LLC",New York City,8/24/2022
265,"Packable Holdings, LLC",Long Island,8/24/2022
266,Ultra Seal Corporation,Mid-Hudson,8/18/2022
267,"Cable News Network, Inc., CNN America, Inc., WarnerMedia, LLC., Discovery Communications, LLC, and Turner Services Inc. (CNN+)",New York City,8/15/2022
268,Garnet Health Doctors - Hudson Valley Region,Hudson Valley,8/10/2022
269,Research Foundation of The City University of New York - Resource Navigator Corps (at the CUNY Graduate School of Public Health & Health Policy),New York City,8/9/2022
270,"Gimme Dat Money, LLC (Desus & Mero Show)",New York City,8/9/2022
271,RoundPoint Mortgage Servicing Corporation,Long Island,8/1/2022
272,"Signify Health, LLC (Episodes of Care Services Operations)",New York City,7/29/2022
273,PMI Global Services Inc. & Philip Morris Global Brands Inc.,New York City,7/21/2022
274,Prevost Car (US) Inc.,North Country,7/21/2022
275,"Central Park Boat House, LLC",New York City,7/19/2022
276,"Freshly, Inc.",New York City,7/14/2022
277,The Stewart Hotel,New York City,7/7/2022
278,"AQ Wiring Systems NY, Inc.",North Country,7/5/2022
279,"Sodexo, Inc. (at SUNY Polytechnic Institute)",Mohawk Valley,6/30/2022
280,PharMerica Corporation (Pharmacy),Western,6/29/2022
281,"VSP Optical Group, Inc. (VSPOne)",Long Island,6/29/2022
282,"Preferred Meal Systems, Inc./The Maramont Corporation",New York City,6/24/2022
283,Far-Go Logistics LLC,Western,6/24/2022
284,"Berenberg Capital Markets, LLC",New York City,6/9/2022
285,"Coram, CVS Specialty Infusion Services",Capital,6/7/2022
286,"Coram, CVS Specialty Infusion Services",New York City,6/7/2022
287,"City Carting of Westchester, Inc.",Mid-Hudson,6/3/2022
288,Silgan Containers Manufacturing Corporation,Finger Lakes,6/3/2022
289,Deli-Boy Inc.,Central,6/2/2022
290,The Research Foundation for the State University of New York at Downtown Health Sciences University - ICLC,New York City,5/26/2022
291,"Preferred Meal Systems, Inc./The Maramont Corporation",New York City,5/19/2022
292,"Advance Local Media, LLC",Central,5/17/2022
293,"RHS Wine, LLC (at WSNYC, WS New York Tavern & WS Lifestyle Club)",New York City,5/13/2022
294,"Ben Elias Industries, Corp. and Kenco Retail Inc.",Long Island,5/13/2022
295,"Ben Elias Industries, Corp. and Kenco Retail Inc.",New York City,5/13/2022
296,Applegreen,Mohawk Valley / Finger Lakes,5/9/2022
297,"The Avo Shopping Company, Inc.",New York City,4/28/2022
298,CEVA Logistics,New York City,4/27/2022
299,"Envision Physician Services, LLC & Richmond Emergency Medical Association, PLLC (at Richmond University Medical Center)",New York City,4/20/2022
300,Applegreen,Mohawk Valley / Finger Lakes,4/19/2022
301,Housing Works Inc. (at Holiday Inn & Marriot Towne Suites),New York City,4/19/2022
302,"Aclara Smart Grid Solutions, LLC",New York City,4/15/2022
303,"City Carting of Westchester, Inc.",Mid-Hudson,4/13/2022
304,Elmira Savings Bank,Southern,4/6/2022
305,"Amazon (Amazon 4-star, Books, and Pop Up stores)",New York City,4/5/2022
306,Weiss Instruments LLC,Long Island,4/5/2022
307,New York Air Brake,North Country,4/5/2022
308,Slant/Fin Corporation,Long Island,4/4/2022
309,"G2 Secure Staff, LLC",New York City,4/4/2022
310,MC Packaging Corporation,Long Island,4/4/2022
311,"Sanofi US (Kadmon Holdings, Inc.)",New York City,4/4/2022
312,"Devachan Hair and Spa, Inc.",New York City,4/1/2022
313,Research Foundation of The City University of New York - Resource Navigator Corps (at the CUNY Graduate School of Public Health & Health Policy),New York City,4/1/2022
314,"Aclara Smart Grid Solutions, LLC",New York City,3/31/2022
315,Fridge No More Inc.,New York City,3/16/2022
316,"Ready Responders, Inc.",New York City,3/16/2022
317,Portmore Delivery Service Corp.,New York City,3/15/2022
318,Slant/Fin Corporation,Long Island,3/11/2022
319,"Key Food CS 3 LLC, dba Food Universe",New York City,3/8/2022
320,NYC Health + Hospitals,New York City,3/8/2022
321,"Aclara Smart Grid Solutions, LLC",New York City,3/4/2022
322,Applegreen,Mohawk Valley / Finger Lakes,3/2/2022
323,WB Frozen US LLC (formerly Weston Foods US LLC) Frankfort Bakery,Mohawk Valley,2/23/2022
324,Peloton Interactive Inc.,Mid-Hudson,2/11/2022
325,"Aclara Smart Grid Solutions, LLC",New York City,2/11/2022
326,Peloton Interactive Inc.,Long Island,2/11/2022
327,The Fund for the City of New York,Central,2/3/2022
328,"Transit Management of Dutchess County (subsidiary of First Transit, Inc.)",Hudson Valley,2/2/2022
329,The Fund for the City of New York,New York City,2/2/2022
330,The Fund for the City of New York,Long Island,2/2/2022
331,The Fund for the City of New York,Mid-Hudson,2/2/2022
332,Slantco Manufacturing Co. Inc.,Long Island,1/31/2022
333,Slant/Fin Corporation,Long Island,1/28/2022
334,Easter Seals NY Monticello site Project Excel,Mid-Hudson,1/27/2022
335,"City Carting of Westchester, Inc.",Mid-Hudson,1/26/2022
336,"Brooklyn Food & Arts, LLC (at The Norm Restaurant inside the Brooklyn Museum)",New York City,1/20/2022
337,Hillside Children’s Center - Stillwater Campus,Southern,1/13/2022
338,"Transportation Insight, LLC (Phase 3)",Western,1/7/2022
339,"Transportation Insight, LLC (Phase 2)",Western,1/7/2022
340,Credit Suisse Securities (USA) LLC,New York City,1/3/2022
341,"Aclara Smart Grid Solutions, LLC and Aclara Technologies LLC",New York City,12/31/2021
342,"Somos Healthcare Providers, Inc.",New York City,12/31/2021
343,Slant/Fin Corporation,Long Island,12/24/2021
344,"Transportation Insight, LLC",Western,12/23/2021
345,"Transportation Insight, LLC",Western,12/23/2021
346,New York Air Brake,North Country,12/22/2021
347,"Silarx Pharmaceuticals, Inc., a Lannett Company",Mid-Hudson,12/9/2021
348,"Aclara Smart Grid Solutions, LLC",New York City,12/9/2021
349,ACCO Brands USA LLC,North Country,12/9/2021
350,"North Shore Linen, Inc.",Long Island,12/3/2021
351,The Princeton Club of New York,New York City,12/1/2021
352,Occidental Chemical Corporation,Western,11/30/2021
353,"North Shore Linen, Inc.",Long Island,11/29/2021
354,"CBA Insert Distribution System, Inc.",New York City,11/24/2021
355,"Jewish Board of Family & Children's Services, Inc.",Mid-Hudson,11/23/2021
356,"Jewish Board of Family & Children's Services, Inc.",New York City,11/23/2021
357,"Jewish Board of Family & Children's Services, Inc.",Mid-Hudson,11/23/2021
358,Concordia College,Mid-Hudson,11/23/2021
359,ACCO Brands USA LLC,North Country,11/23/2021
360,"Aclara Smart Grid Solutions, LLC",New York City,11/23/2021
361,N26 Inc.,New York City,11/19/2021
362,Michael Page International Inc.,New York City,11/16/2021
363,C'Ville Yoghurt d/b/a Byrne Hollow Farms,Central,11/10/2021
364,Columbia University Irving Medical Center,New York City,11/9/2021
365,Weill Cornell Medicine,New York City,11/9/2021
366,"C & S Wholesale Grocers, Inc.",Mid-Hudson,11/4/2021
367,"A.B.C. Carpet Co., Inc. (3 NYC sites)",New York City,11/2/2021
368,"A.B.C. Home Furnishings, Inc. (3 NYC sites)",New York City,11/2/2021
369,Michael Page International Inc.,New York City,11/2/2021
370,"DSW Shoe Warehouse, Inc.",New York City,11/2/2021
371,Concordia College (Phase 6),Mid-Hudson,10/27/2021
372,Concordia College (Phase 4),Mid-Hudson,10/27/2021
373,"Flying Food Group, LLC (JFK International Airport)",New York City,10/27/2021
374,"Packard Pacifica, Inc. (at Holiday Inn LaGuardia Hotel)",New York City,10/27/2021
375,EmblemHealth,New York City,10/18/2021
376,Michael Page International Inc.,New York City,10/15/2021
377,"C & S Wholesale Grocers, Inc.",Mid-Hudson,10/13/2021
