,company_name,location,notice_date
476,Endo Par Pharmaceutical,Mid-Hudson,4/9/2021
477,Concordia College,Mid-Hudson,4/2/2021
478,"1661, Inc. dba GOAT and Flight Club New York, LLC",New York City,4/2/2021
479,Concordia College,Mid-Hudson,4/2/2021
480,"Durham School Services, L.P.",Central,4/1/2021
481,"Catholic Charities Neighborhood Services, Inc. - New York City Region",New York City,4/1/2021
482,The Plaza - Sahara Plaza LLC,New York City,3/31/2021
483,The Sofitel New York - Normandy LLC,New York City,3/31/2021
484,Genex Cooperative,Southern,3/31/2021
485,St. Christopher School,Long Island,3/30/2021
486,St. Raymond School,Long Island,3/30/2021
487,Michael Page International Inc.,New York City,3/30/2021
488,"BCS Automotive Interface Solutions U.S., LLC",Central ,3/30/2021
489,Republic Airways Inc.,New York City,3/30/2021
490,Hebrew Academy for Special Children,New York City,3/25/2021
491,"Empire Stat Group, LLC",New York City,3/23/2021 
492,"Paragon Sports, LLC",New York City,3/22/2021
493,"Crestview Management, LLC (at Albany Marriott)",Capital,3/22/2021
494,"Crestview Management, LLC (at Melville Marriott)",Long Island,3/22/2021
495,St. Thomas the Apostle School,Long Island,3/22/2021
496,"Somos Healthcare Providers, Inc.",New York City,3/22/2021
497,"GEO Secure Services, LLC (fka GEO Corrections & Detention LLC)",New York City,3/18/2021
498,Nordstrom Rack,Long Island,3/18/2021
499,"WeWork Companies, Inc.",New York City,3/17/2021
500,"WeWork Companies, Inc.",New York City,3/17/2021
501,"WeWork Companies, Inc.",New York City,3/17/2021
502,"WeWork Companies, Inc.",New York City,3/17/2021
503,Michael Page International Inc.,New York City,3/15/2021
504,NYU Grossman School of Medicine,New York City,3/8/2021
505,MBJ Cafeteria Corp. (at CUNY John Jay College of Criminal Justice),New York City,3/5/2021
506,Pret A Manger (USA) Ltd. (Multiple Locations),New York City / Mid-Hudson,3/4/2021
507,Becca Inc.,New York City,3/3/2021
508,Concordia College,Mid-Hudson,3/3/2021
509,Concordia College,Mid-Hudson,3/2/2021
510,"Fred C. Gloeckner & Company, Inc.",Mid-Hudson,3/1/2021
511,"Seven Seas Union Square LLC, dba The Food Emporium",New York City,3/1/2021
512,Michael Page International Inc.,New York City,2/26/2021
513,Endo Par Pharmaceutical,Mid-Hudson,2/26/2021
514,American Steamship Company (ASC),Western,2/25/2021
515,The YMCA of Greater Rochester,Finger Lakes / Mohawk Valley / Southern,2/23/2021
516,"Flying Food Group, LLC (JFK International Airport)",New York City,2/18/2021
517,"Maryhaven Center of Hope, Inc. (Angel Guardian Home)",Long Island,2/16/2021
518,Michael Page International Inc.,New York City,2/16/2021
519,"Norwegian Air Resources US (formerly OSM Aviation, Inc.)",New York City,2/16/2021
520,"Acitrezza, LLC (Agata & Valentina store)",New York City,2/16/2021
521,"American Airlines, Inc.",New York City,2 /12 /2021
522,"Entergy Nuclear Operations, Inc.; Entergy Services, LLCIndian Point Energy Center (IPEC) (owned by Entergy Nuclear Indian Point 2, LLC & Entergy Nuclear Indian Point 3, LLC)",Mid-Hudson,2/12/2021
523,"Rochester Drug Co-Operative, Inc.",Finger Lakes,2/11/2021
524,"Hawkfish, LLC",New York City,2/10/2021
525,Envoy Air Inc.,New York City,2/8/2021
526,CBRE,Mid-Hudson,2/8/2021
527,The YMCA of Greater Rochester,Finger Lakes / Mohawk Valley / Southern,2/5/2021
