,company_name,location,notice_date,layoff_date,employees_affected,Closure or Layoff,Type of Layoff
289,"HDI Landing Gear USA, Inc",Everett,5/5/2020,5/5/2020,3,Layoff,Permanent
290,"Crescent Hotels & Resorts, LLC",Bellevue,5/4/2020,3/11/2020,42,Layoff,Temporary
291,"Cosmo Specialty Fibers, Inc",Cosmopolis,5/1/2020,5/1/2020,132,Layoff,Temporary
292,Regal Cinemas,Mountlake Terrace,4/29/2020,3/16/2020,84,Layoff,Temporary
293,Karcher North America,Camas,4/29/2020,5/29/2020,95,Closure,Permanent
294,IVI Hotel Management of Washington,Various locations in Washington,4/29/2020,3/20/2020,337,Layoff,Permanent
295,IVI Hotel Management of Washington,Various locations in Washington,4/29/2020,3/20/2020,20,Layoff,Temporary
296,Alcoa Intalco Works,Ferndale,4/29/2020,6/21/2020,700,Layoff,Permanent
297,The Hertz Corporation,Seattle,4/28/2020,4/14/2020,111,Layoff,Permanent
298,"Magic Leap, Inc",Seattle,4/27/2020,6/21/2020,39,Closure,Permanent
299,"Northwest Aerospace Technologies, Inc",Everett,4/24/2020,4/24/2020,10,Layoff,Permanent
300,"Safran Cabin Bellingham, Inc",Bellingham,4/23/2020,4/23/2020,314,Layoff,Permanent
301,"Hard Rock Cafe International STP, Inc",Seattle,4/22/2020,4/13/2020,62,Layoff,Temporary
302,Seattle Tennis Club,Seattle,4/21/2020,5/1/2020,112,Layoff,Temporary
303,Hexcel Corporation,Burlington,4/20/2020,4/20/2020,128,Layoff,Permanent
304,Hexcel Corporation,Kent,4/20/2020,4/20/2020,160,Layoff,Permanent
305,"G2 Secure Staff, LLC",Seattle,4/17/2020,3/27/2020,232,Layoff,Temporary
306,"IKO Pacific, Inc",Sumas,4/17/2020,4/6/2020,37,Layoff,Temporary
307,"Pier 1 Imports, Inc",DuPont,4/15/2020,6/1/2020,49,Closure,Permanent
308,"Guess, Inc",Tulalip,4/14/2020,4/2/2020,30,Layoff,Temporary
309,FS US Services Limited,Seattle,4/14/2020,4/13/2020,2,Layoff,Permanent
310,"Leggett & Platt, Inc",Kirkland,4/13/2020,4/13/2020,50,Layoff,Temporary
311,"PSF Mechanical, Inc",Seattle,4/13/2020,3/25/2020,124,Layoff,Temporary
312,"Warwick Corp, dba Warwick Seattle Hotel",Seattle,4/13/2020,4/6/2020,106,Layoff,Temporary
313,Spokane Eye Clinic,Spokane,4/10/2020,3/23/2020,1,Layoff,Temporary
314,"Integrated Technologies, Inc dba LMI Aerospace",Everett,4/10/2020,4/13/2020,25,Layoff,Temporary
315,"Leonard's Metal Inc, dba LMI Aerospace",Auburn,4/10/2020,4/13/2020,74,Layoff,Temporary
316,"Soundair Repair Group, LLC",Snohomish,4/10/2020,4/12/2020,51,Layoff,Temporary
317,Prospect International Airport Services Corp,Seattle,4/9/2020,3/21/2020,125,Layoff,Temporary
318,Oki Developments Inc,Various locations in Washington,4/9/2020,3/17/2020,416,Layoff,Temporary
319,"Toray Composite Materials America, Inc",Tacoma,4/9/2020,4/9/2020,361,Layoff,Temporary
320,"Superior Linen Service, Inc",,4/9/2020,4/9/2020,57,Layoff,Temporary
321,Tool Gauge and Machine Works,Tacoma,4/9/2020,4/16/2020,1,Layoff,Temporary
322,Pacific Northwest Ballet,Seattle,4/9/2020,4/6/2020,733,Layoff,Temporary
323,VSPOne Olympia,Lacey,4/9/2020,4/10/2020,78,Layoff,Temporary
324,Olympic Sports & Spine,King and Pierce Counties,4/9/2020,4/13/2020,100,Layoff,Temporary
325,Sellen Construction,Seattle,4/8/2020,4/8/2020,262,Layoff,Temporary
326,Suit Supply (USA),Bellevue,4/8/2020,3/29/2020,18,Layoff,Temporary
327,"Avis Budget Car Rental, LLC","Seattle, Tukwila",4/8/2020,3/10/2020,173,Layoff,Temporary
328,"Renaissance Marine Group, Inc",Clarkston,4/8/2020,4/13/2020,97,Layoff,Temporary
329,"Foushee and Associates Company, Inc",Bellevue,4/8/2020,4/8/2020,83,Layoff,Temporary
330,Seattle Goodwill Industries,Western Washington,4/8/2020,4/3/2020,2192,Layoff,Temporary
331,"Cinemark USA, Inc","Federal Way, Olympia, Tacoma, Walla Walla, and Bellevue",4/7/2020,3/26/2020,303,Closure,Permanent
332,Spokane Industries,Spokane Valley,4/7/2020,4/8/2020,113,Layoff,Temporary
333,YMCA of Greater Seattle,Seattle,4/7/2020,3/28/2020,2222,Layoff,Temporary
334,"Northwest Aerospace Technologies, Inc",Everett,4/6/2020,4/6/2020,92,Layoff,Temporary
335,"Universal Aerospace Co, Inc",Arlington,4/3/2020,3/27/2020,150,Layoff,Temporary
336,"Pac-12 Enterprises, dba Pac-12 Networks","Seattle, Pullman",4/3/2020,3/14/2020,531,Layoff,Temporary
337,"Riverence Brood, LLC",Rochester,4/3/2020,4/3/2020,5,Layoff,Temporary
338,Wendle Motors Incorporated,Spokane,4/2/2020,3/20/2020,59,Layoff,Temporary
339,"Western Tile & Marble Contractors, Inc",Redmond,4/2/2020,3/26/2020,157,Layoff,Temporary
340,Rover.com,Seattle,4/2/2020,4/1/2020,163,Layoff,Permanent
341,King & Prince Seafood,Bellingham,4/1/2020,4/6/2020,31,Layoff,Temporary
342,Open Square LLC,Seattle,4/1/2020,4/1/2020,70,Layoff,Temporary
343,Rebound Orthopedics & Neurosurgery,Vancouver,4/1/2020,2/25/2020,163,Layoff,Temporary
344,Bethlehem Construction,Cashmere,3/31/2020,3/25/2020,67,Layoff,Temporary
345,"Northwest Aerospace Technologies, Inc",Everett,3/31/2020,3/30/2020,73,Layoff,Permanent
346,"Eye Associates Northwest, PC","Seattle, Kirkland",3/31/2020,3/21/2020,106,Layoff,Temporary
347,YMCA of Snohomish County,Everett,3/31/2020,3/30/2020,38,Layoff,Temporary
348,"ALSCO, Inc",Kent,3/30/2020,3/23/2020,84,Layoff,Temporary
349,"Collegiate Hotel Group, LLC",Seattle,3/30/2020,3/16/2020,45,Layoff,Temporary
350,RL Hotel Olympia,Olympia,3/30/2020,3/12/2020,35,Layoff,Temporary
351,"Big Al's, Inc",Vancouver,3/30/2020,3/18/2020,117,Layoff,Temporary
352,Paper Source,"Seattle, Bellevue",3/30/2020,3/29/2020,52,Layoff,Temporary
353,"Kirkland Automotive Holdings I, LLC",Kirkland,3/30/2020,3/25/2020,46,Layoff,Temporary
354,"Kirkland Automotive Holdings II, LLC",Kirkland,3/30/2020,3/25/2020,75,Layoff,Temporary
355,"Gee Automotive Liberty Lake, LLC",Liberty Lake,3/30/2020,3/25/2020,97,Layoff,Temporary
356,"Ahern Rentals, Inc","Arlington, Fife",3/30/2020,3/30/2020,2,Layoff,Permanent
357,"365 Hospitality Associates, LLC",Seattle,3/27/2020,3/16/2020,84,Layoff,Temporary
358,"National Products, Inc",Seattle,3/27/2020,3/27/2020,169,Layoff,Permanent
359,King & Prince Seafood,Redmond,3/27/2020,3/30/2020,116,Layoff,Temporary
360,Electronic Recyclers International Inc,Sumner,3/27/2020,3/23/2020,15,Layoff,Temporary
361,"Earl's Restaurants USA, Inc",Bellevue,3/26/2020,3/25/2020,114,Layoff,Permanent
362,YMCA of the Inland Northwest,Spokane,3/26/2020,3/29/2020,509,Layoff,Temporary
363,"Contemporary Home Services, Inc",Auburn,3/26/2020,3/26/2020,124,Layoff,Permanent
364,SHG Hotel SPE LLC,Seattle,3/26/2020,3/18/2020,310,Layoff,Temporary
365,Ascend Hospitality Group,"Everett, Tukwila, Tacoma, Bellevue, Seattle",3/26/2020,3/12/2020,401,Layoff,Temporary
366,Quarry Tile Company,Spokane,3/25/2020,3/25/2020,116,Layoff,Temporary
367,Pineapple Hospitality Company,Seattle,3/25/2020,3/15/2020,156,Layoff,Temporary
368,HMSHost,Spokane,3/24/2020,3/18/2020,71,Layoff,Temporary
369,HMSHost,SeaTac,3/24/2020,3/18/2020,354,Layoff,Temporary
370,Four Points by Sheraton,Des Moines,3/24/2020,3/23/2020,60,Layoff,Temporary
371,"onni Properties, LLC",Seattle,3/24/2020,3/31/2020,7,Layoff,Permanent
372,Leafly Holdings Inc,Seattle,3/23/2020,3/23/2020,71,Layoff,Permanent
373,"Westport, LLC","Westport, Port Angeles, Seattle",3/23/2020,3/23/2020,335,Layoff,Permanent
374,Edgewater Hotel,Seattle,3/23/2020,3/22/2020,227,Layoff,Temporary
375,"Feast Restaurants, LLC","Wenatchee, Spokane, Sunnyside",3/20/2020,3/17/2020,147,Layoff,Temporary
376,Service Linen,Renton,3/20/2020,3/20/2020,106,Layoff,Temporary
377,Harbor Foodservice of Seattle LLC,Kent,3/20/2020,3/22/2020,200,Layoff,Temporary
378,Crowne Plaza,Seattle,3/19/2020,3/19/2020,70,Layoff,Temporary
379,Schwartz Brothers Restaurants,"Seattle, Bellevue",3/18/2020,3/11/2020,297,Layoff,Temporary
380,"Elmer's Restaurants, Inc","Vancouver, Tacoma, Poulsbo",3/18/2020,3/17/2020,83,Layoff,Temporary
381,Amentum,Whidbey Island,3/13/2020,5/12/2020,13,Layoff,Permanent
382,Oakwood Worldwide (US) LP,Tukwila,3/5/2020,5/4/2020,8,Layoff,Permanent
383,"Compass Airlines, LLC","Seattle, WA",3/4/2020,5/1/2020,197,Closure,Permanent
384,"Expedia, Inc.","Seattle, Bellevue",2/27/2020,5/1/2020,442,Layoff,Permanent
385,Saalex Solutions Inc,Keyport,2/25/2020,4/30/2020,59,Layoff,Permanent
386,Dash Delivery LLC,King and Snohomish Counties,2/24/2020,4/23/2020,106,Closure,Permanent
387,"Transportation Brokerage Specialists, Inc","King, Pierce, and Snohomish Counties",2/18/2020,4/16/2020,230,Layoff,Permanent
388,Delivery Force,King and Snohomish Counties,2/14/2020,4/16/2020,272,Layoff,Permanent
389,Senior Aerospace AMT,Arlington,2/4/2020,4/7/2020,72,Layoff,Permanent
390,Dynacraft,Algona,2/4/2020,5/1/2020,140,Closure,Permanent
391,Oakwood Worldwide (US) LP,Tukwila,1/29/2020,3/30/2020,8,Layoff,Permanent
392,Comcast,Puyallup,1/21/2020,4/3/2020,52,Closure,Permanent
393,AECOM,Pacific Beach and Whidbey Island,1/17/2020,3/14/2020,11,Layoff,Permanent
394,Astria Regional Medical Center,Yakima,1/8/2020,1/13/2020,463,Closure,Permanent
395,"Zume, Inc",Seattle,1/8/2020,3/13/2020,78,Closure,Permanent
396,Macy's,Burlington,1/6/2020,3/17/2020,114,Closure,Permanent
397,Seattle Times - North Creek,Bothell,12/31/2019,3/2/2020,42,Closure,Permanent
398,"Northwestern Industries, Inc",Seattle,12/30/2019,2/28/2020,133,Closure,Permanent
399,"VICIS, Inc",Seattle,12/30/2019,12/20/2019,84,Layoff,Permanent
400,Macy's,Seattle,12/17/2019,2/16/2020,236,Closure,Permanent
401,"Vanguard Int'l Group, dba Pride Packing Co LLC",Wapato,12/17/2019,1/31/2020,201,Closure,Permanent
402,CEVA Logistics,Auburn,11/22/2019,2/28/2020,13,Layoff,Permanent
403,Honeywell Aerospace,Renton,11/18/2019,1/24/2020,82,Closure,Permanent
404,Ida Culver House Broadview,Seattle,11/7/2019,1/5/2020,148,Layoff,Permanent
405,"Merchant e-Solutions, Inc",Spokane Valley,11/6/2019,1/8/2020,71,Closure,Permanent
406,CXT / LB Foster Company,Spokane,11/4/2019,12/31/2019,77,Closure,Permanent
407,Clarisonic (aka Pacific Bioscience Laboratories and Pacific Bioscience Laboratories Products Inc),Redmond,10/29/2019,12/31/2019,92,Closure,Permanent
408,"MV Transportation, Inc",Spokane Valley,10/29/2019,12/31/2019,59,Closure,Permanent
409,Oakwood Worldwide (US) LP,Tukwila,10/29/2019,12/30/2019,7,Layoff,Permanent
410,Backflip Studios,Renton,10/23/2019,12/23/2019,1,Closure,Permanent
411,Applus Technologies Inc,Statewide,10/23/2019,12/31/2019,118,Layoff,Permanent
412,School Specialty Inc / Premier Agendas LLC,Bellingham,10/15/2019,12/31/2019,40,Closure,Permanent
413,Zirkle Fruit Company,Prosser,10/11/2019,12/6/2019,164,Layoff,Permanent
414,Katerra,Seattle,10/10/2019,10/9/2019,58,Layoff,Permanent
415,FleetPride,Tacoma,10/7/2019,12/6/2019,7,Closure,Permanent
416,Wyndham Vacation Clubs,Redmond,10/3/2019,12/6/2019,103,Closure,Permanent
417,CHI Franciscan Health,Burien,9/30/2019,12/31/2019,86,Closure,Permanent
418,Trident Seafoods Corporation,Seattle,9/16/2019,11/15/2019,63,Closure,Permanent
419,Food Services of America,Kent,9/13/2019,10/14/2019,200,Closure,Permanent
420,Northwest Hardwoods,Mount Vernon,9/12/2019,11/11/2019,66,Layoff,Permanent
421,Univar Solutions,Redmond,9/11/2019,11/15/2019,65,Layoff,Permanent
422,Premier XD,Everett,9/11/2019,9/11/2019,99,Closure,Permanent
423,Premier XD,Everett,9/11/2019,9/11/2019,7,Closure,Permanent
424,"Transdev Services, Inc",Kent,9/3/2019,10/31/2019,340,Layoff,Permanent
425,Brinderson,Anacortes,8/29/2019,9/5/2019,61,Closure,Permanent
426,First Transit,Seattle,8/22/2019,10/25/2019,86,Closure,Permanent
427,Zirkle Fruit Company,Prosser,8/16/2019,10/17/2019,95,Layoff,Permanent
428,Nestle,Kent,8/16/2019,10/18/2019,67,Closure,Permanent
429,Conifer,Tacoma,8/14/2019,11/15/2019,169,Closure,Permanent
430,Seneca Foods Corporation,Yakima,8/6/2019,10/5/2019,300,Closure,Permanent
431,United Natural Foods/SUPERVALU,Tacoma,8/2/2019,9/28/2019,280,Closure,Permanent
432,AECOM,Pacific Beach and Whidbey Island,7/31/2019,9/30/2019,10,Layoff,Permanent
433,HMS Host,SeaTac,7/30/2019,9/30/2019,21,Closure,Permanent
434,Futurewei,Bellevue,7/23/2019,9/23/2019,41,Closure,Permanent
435,Salvation Army,Seattle,7/23/2019,9/27/2019,58,Closure,Permanent
436,Sky Chefs,Seattle,7/16/2019,9/15/2019,49,Closure,Permanent
437,"REC Silicon, Inc.",Moses Lake,7/16/2019,7/15/2019,100,Closure,Temporary
438,United Natural Foods/SUPERVALU,Auburn,7/15/2019,9/8/2019,116,Closure,Permanent
439,Community Psychiatric Clinic,Seattle,7/3/2019,8/31/2019,26,Closure,Permanent
440,Keiro Northwest,Seattle,6/28/2019,10/1/2019,259,Closure,Permanent
441,Capital One,Seattle,6/26/2019,9/1/2019,146,Closure,Permanent
442,Whole Foods Market,Vancouver,6/21/2019,8/18/2019,121,Closure,Permanent
443,Kindred Hospital,Seattle,6/13/2019,8/9/2019,166,Closure,Permanent
444,Nordstrom,Seattle,6/10/2019,8/9/2019,167,Closure,Permanent
445,Ostrom's Mushroom Farms,Olympia,6/3/2019,8/5/2019,239,Closure,Permanent
446,Teck,Metaline Falls,5/30/2019,7/31/2019,210,Layoff,Temporary
447,Macy's,Seattle,5/28/2019,7/23/2019,134,Closure,Permanent
448,"Security Industry Specialists, Inc.",Seattle,5/28/2019,7/26/2019,1066,Layoff,Permanent
449,idX West,Puyallup,4/16/2019,6/14/2019,61,Closure,Permanent
450,McKesson,Everett,4/3/2019,6/7/2019,67,Closure,Permanent
451,Web.com,Spokane,3/29/2019,6/1/2019,64,Layoff,Permanent
452,Walmart,"Vancouver, Washington",3/25/2019,4/19/2019,80,Closure,Permanent
453,"ABM Aviation, Inc.",SeaTac,3/8/2019,5/13/2019,176,Layoff,Permanent
454,Brooks,Sumner,3/5/2019,5/3/2019,67,Closure,Permanent
455,JCPenney,Seattle,3/1/2019,5/3/2019,113,Closure,Permanent
456,Lowes,KIRKLAND,2/27/2019,4/27/2019,175,Closure,Permanent
457,ArenaNet,Bellevue,2/25/2019,3/1/2019,143,Layoff,Permanent
458,"Legacy Fruit Packers, LLC",Wapato,2/6/2019,2/6/2019,199,Closure,Permanent
459,"Larson Orchard Management, Inc.",Selah,2/6/2019,2/6/2019,807,Closure,Permanent
460,"Valley Fruit III, LLC",Wapato,2/6/2019,2/6/2019,1009,Closure,Permanent
461,HMS Host,SeaTac,2/1/2019,3/31/2019,202,Layoff,Permanent
462,JELD WEN,Yakima,2/1/2019,4/5/2019,179,Closure,Permanent
463,Skagit Bank,Burlington,1/22/2019,3/1/2019,60,Closure,Permanent
464,Julep Beauty,"Seattle, Bellevue",12/21/2018,12/19/2018,102,Closure,Permanent
465,Employee Transportation Services,Everett and Renton,12/18/2018,2/28/2019,75,Layoff,Permanent
466,Thomson Reuters,Bellevue,12/6/2018,2/8/2019,58,Closure,Permanent
467,Providence,Lacey,12/3/2018,2/25/2019,26,Closure,Permanent
468,Tacoma News Tribune,Tacoma,11/29/2018,2/3/2019,67,Layoff,Permanent
469,QualChoice Health Plan Services,Federal Way,10/31/2018,12/31/2018,164,Closure,Permanent
470,ZymoGenetics,Seattle,10/31/2018,12/31/2018,63,Closure,Permanent
471,"Twin City Foods, Inc.",Stanwood,10/4/2018,12/1/2018,65,Closure,Permanent
472,Vertafore,Bothell,9/21/2018,12/31/2018,53,Closure,Permanent
473,State Farm,Tacoma,9/5/2018,10/31/2018,269,Closure,Permanent
474,Arvato,Yakima,7/12/2018,9/28/2018,168,Closure,Permanent
475,Conduent,Federal Way,6/1/2018,7/31/2018,304,Closure,Permanent
476,Wargaming (Seattle) Inc.,Redmond,5/24/2018,7/22/2018,155,Closure,Permanent
477,Menzies Aviation,SeaTac,5/11/2018,7/8/2018,63,Layoff,Permanent
478,Sears,Redmond,4/25/2018,7/8/2018,68,Closure,Permanent
479,Jorgensen Forge,Tukwila,4/20/2018,6/18/2018,101,Closure,Permanent
480,A.O. Smith,Renton,4/13/2018,6/15/2018,57,Closure,Permanent
481,Lionbridge,Vancouver,4/6/2018,6/10/2018,119,Layoff,Permanent
482,Flow International,Kent,3/29/2018,6/30/2018,110,Closure,Permanent
483,CHI Franciscan Health,Tacoma,3/20/2018,5/27/2018,51,Closure,Permanent
484,"Twin City Foods, Inc.",Stanwood,3/20/2018,5/18/2018,92,Closure,Permanent
485,Hitachi,Bellevue,3/2/2018,5/1/2018,61,Closure,Permanent
486,Pacific Seafood,Federal Way,2/26/2018,4/30/2018,69,Closure,Permanent
487,Marine View Beverage,Port Angeles,2/22/2018,4/27/2018,5,Closure,Permanent
488,Marine View Beverage,Poulsbo,2/22/2018,4/27/2018,70,Closure,Permanent
489,Marine View Beverage,Sumner,2/22/2018,4/27/2018,138,Closure,Permanent
490,Marine View Beverage,Sumner,2/22/2018,4/27/2018,9,Closure,Permanent
491,Marine View Beverage,Tumwater,2/22/2018,4/27/2018,56,Closure,Permanent
492,Cenveo Corporation,Kent,2/21/2018,2/21/2018,62,Layoff,Permanent
493,ASM Research,Lakewood,2/1/2018,3/27/2018,7,Layoff,Permanent
494,Georgia Pacific Corporation,Camas,1/30/2018,5/1/2018,243,Closure,Permanent
495,Sam's Club,Auburn,1/11/2018,3/16/2018,168,Closure,Permanent
496,Sam's Club,Renton,1/11/2018,3/16/2018,179,Closure,Permanent
497,Sam's Club,Seattle,1/11/2018,3/16/2018,148,Closure,Permanent
498,Northrop Grumman,Lakewood,11/14/2017,1/12/2018,43,Closure,Permanent
499,"ABM Aviation, Inc.",SeaTac,11/9/2017,1/1/2018,171,Closure,Permanent
500,Zenith Education Group,Everett,11/7/2017,1/8/2018,29,Layoff,Permanent
501,Zenith Education Group,Tacoma,11/7/2017,1/8/2018,45,Layoff,Permanent
502,Boeing,Puget Sound Area,11/2/2017,1/1/2018,2,Layoff,Permanent
503,The Hacker Group,Seattle,11/1/2017,12/31/2017,17,Layoff,Permanent
504,The Hacker Group,Seattle,10/31/2017,12/4/2017,65,Layoff,Permanent
505,"Northwest Trustee Services, Inc.",Bellevue,10/13/2017,12/12/2017,25,Layoff,Permanent
506,"Foreclosure Expeditors Initiators, LLC",Bellevue,10/13/2017,12/12/2017,4,Layoff,Permanent
507,"RCO Legal, PS",Bellevue,10/13/2017,12/12/2017,12,Layoff,Permanent
508,"Realty in Motion, LLC",Bellevue,10/13/2017,12/12/2017,27,Layoff,Permanent
509,Providence Medical Center,Everett,10/10/2017,12/8/2017,62,Layoff,Permanent
510,"Associated Materials, Inc.",Bothell,9/26/2017,11/27/2017,87,Closure,Permanent
511,Boeing,Puget Sound Area,9/18/2017,11/17/2017,18,Layoff,Permanent
512,Boeing,Puget Sound Area,8/24/2017,10/20/2017,74,Layoff,Permanent
513,Wells Fargo Home Mortgage Servicing,Vancouver,8/10/2017,10/9/2017,72,Closure,Permanent
514,Boeing,Puget Sound,7/27/2017,9/22/2017,220,Layoff,Permanent
515,APM Terminals,Tacoma,7/25/2017,9/22/2017,12,Closure,Permanent
516,Le Eco,Bellevue,7/24/2017,9/18/2017,25,Closure,Permanent
517,Vertafore,"Bothell, WA",7/17/2017,10/1/2017,121,Layoff,Permanent
518,"KIK Tacoma, Inc.","Tacoma, WA",7/12/2017,8/11/2017,20,Closure,Permanent
519,Boeing,Puget Sound Area,6/30/2017,8/25/2017,89,Layoff,Permanent
520,K-Mart,Tacoma,6/29/2017,9/10/2017,67,Closure,Permanent
521,Adventist Health,Walla Walla,6/21/2017,8/24/2017,371,Closure,Permanent
522,Space Needle,Seattle,6/15/2017,9/5/2017,153,Closure,Permanent
523,Boeing,Puget Sound Area,5/23/2017,7/21/2017,337,Layoff,Permanent
524,Electronic Arts Inc,"Seattle, WA",5/8/2017,7/3/2017,45,Layoff,Permanent
525,Boeing,Puget Sound Area,5/8/2017,6/23/2017,580,Layoff,Permanent
526,Spectrum Glass Company,Woodinville,5/1/2017,6/30/2017,14,Closure,Permanent
527,Railex,"Burbank, WA",4/12/2017,6/30/2017,88,Layoff,Permanent
528,Caradigm LLC,"Bellevue, WA",4/12/2017,6/14/2017,39,Layoff,Permanent
529,Ostrom's Mushroom Farms,Everson,3/30/2017,6/1/2017,65,Layoff,Permanent
530,Boeing,Puget Sound Area,3/23/2017,5/19/2017,245,Layoff,Permanent
531,"Nippon Paper Indsutries USA, Co. Ltd.",Port Angeles,3/6/2017,3/6/2017,151,Layoff,Permanent
532,Menzies Aviation,SeaTac,3/3/2017,5/1/2017,949,Layoff,Permanent
533,Harman (Harman International Industries),"Cheney, WA",3/2/2017,5/4/2017,86,Closure,Permanent
534,PeaceHealth,Various locations in Washington,2/16/2017,4/30/2017,142,Layoff,Permanent
535,Crown Resources Corporation/Echo Bay Minerals Company (KRB),Ferry and Okanogan Counties,2/10/2017,4/10/2017,95,Closure,Permanent
536,Hearth and Home Technologies,Colville,2/9/2017,5/18/2017,90,Closure,Permanent
537,BAE Systems,"Keyport, WA",1/31/2017,3/31/2017,59,Layoff,Permanent
538,Glu Mobile Washington Inc.,"Bellevue, WA",1/10/2017,3/11/2017,58,Layoff,Permanent
539,Macy's,Everett,1/5/2017,3/6/2017,135,Closure,Permanent
540,Voicebox Technologies Corporation,Bellevue,1/5/2017,1/5/2017,115,Layoff,Permanent
541,Spectrum Health Systems Inc,Nineteen locations across Washington State,1/3/2017,12/31/2016,79,Closure,Permanent
542,Seattle Sportservice Inc,Seattle,12/16/2016,2/14/2017,761,Closure,Permanent
543,Omak Wood Products,Omak,12/8/2016,1/29/2017,217,Closure,Permanent
544,Garco,Airway Heights,11/15/2016,1/14/2017,112,Closure,Permanent
545,Intel Corporation,DuPont,11/15/2016,12/31/2016,77,Closure,Permanent
546,"Ocean Beauty Seafoods, Inc",Seattle,10/31/2016,12/30/2016,69,Closure,Permanent
547,Hearthstone Cottages,Ellensburg,10/31/2016,11/30/2016,48,Closure,Permanent
548,Hearthstone Cottages,East Wenatchee,10/31/2016,11/30/2016,36,Closure,Permanent
549,Colonial Vista Retirement Centers,Wenatchee,10/31/2016,11/30/2016,70,Closure,Permanent
550,Colonial Vista Retirement Centers,Wenatchee,10/31/2016,11/30/2016,149,Closure,Permanent
551,"Healthy Options, LLC",Wenatchee,10/28/2016,1/1/2017,66,Closure,Permanent
552,"Healthways SC, LLC",Bellevue,10/18/2016,12/31/2016,68,Closure,Permanent
553,Boeing,Puget Sound,10/18/2016,12/16/2016,56,Layoff,Permanent
554,Jorgensen Forge,Tukwila,10/14/2016,10/31/2016,111,Closure,Permanent
555,"Hollander Investments, Inc.",Everett,10/12/2016,12/5/2016,84,Layoff,Temporary
556,"Capital One Investing, LLC",Seattle,10/3/2016,10/1/2016,239,Layoff,Permanent
557,Spectrum Glass Company,Woodinville,9/26/2016,11/14/2016,7,Closure,Permanent
558,L'Oreal USA,Redmond & Kent,9/20/2016,11/21/2016,120,Layoff,Permanent
559,Disney Social Games,Bellevue,9/14/2016,12/20/2016,61,Closure,Permanent
560,W.G. Cells,Bellevue,8/24/2016,10/22/2016,64,Closure,Permanent
561,Boeing,Puget Sound,8/24/2016,10/21/2016,116,Layoff,Permanent
562,Spectrum Glass Company,Woodinville,7/18/2016,9/14/2016,6,Closure,Permanent
563,Trading Company Stores,Cheney,7/13/2016,9/10/2016,53,Closure,Permanent
564,Trading Company Stores,Spokane Valley,7/13/2016,9/10/2016,76,Closure,Permanent
565,Trading Company Stores,Spokane,7/13/2016,9/10/2016,83,Closure,Permanent
566,Triumph Structures-Everett,Everett,7/11/2016,9/30/2016,99,Closure,Permanent
567,DCS Facility Services,Statewide,7/1/2016,8/31/2016,220,Closure,Permanent
568,Minerallac,Seattle,6/23/2016,9/1/2016,9,Closure,Permanent
569,Boeing,Puget Sound,6/22/2016,8/19/2016,99,Layoff,Permanent
570,Boeing,Puget Sound,6/1/2016,7/22/2016,211,Layoff,Permanent
571,Forever 21 Retail,Tacoma,5/25/2016,6/22/2016,70,Closure,Permanent
572,Olympic Panel Products,Shelton,5/23/2016,7/22/2016,217,Closure,Permanent
573,Broadspectrum,Anacortes,5/20/2016,6/9/2016,57,Closure,Permanent
574,Summit Management Company,Winlock,5/18/2016,7/14/2016,3,Layoff,Permanent
575,Spectrum Glass Company,Woodinville,5/18/2016,7/14/2016,124,Closure,Permanent
576,CRF Frozen Foods,Pasco,5/12/2016,5/3/2016,250,Closure,Temporary
577,Washington Closure Hanford,Richland,5/10/2016,7/1/2016,435,Closure,Permanent
578,Cablecraft Motion Controls,Tacoma,4/21/2016,6/16/2016,38,Layoff,Permanent
579,Cascade Valley Hospital & Clinics,Arlington,4/1/2016,5/31/2016,418,Closure,Permanent
580,Xerox Commercial Solutioins,Kent,4/1/2016,5/31/2016,98,Layoff,Permanent
581,Mycom North America,Redmond,3/22/2016,3/31/2016,2,Closure,Permanent
582,Wells Fargo Home Mortgage Servicing,Vancouver,3/17/2016,4/3/2016,1,Layoff,Permanent
583,Sterling Life Insurance Company,Bellingham,3/16/2016,5/11/2016,55,Closure,Permanent
584,Haggen Food & Pharmacy,Puyallup,3/11/2016,5/10/2016,78,Closure,Permanent
585,Haggen Food & Pharmacy,Port Angeles,3/11/2016,5/10/2016,67,Closure,Permanent
586,Haggen Food & Pharmacy,Federal Way,3/9/2016,5/9/2016,71,Closure,Permanent
587,Haggen Food & Pharmacy,Burien,3/9/2016,5/9/2016,54,Closure,Permanent
588,Locating Inc.,Lakewood,3/8/2016,5/1/2016,60,Closure,Permanent
589,Xerox Commercial Solutioins,Redmond,3/7/2016,5/6/2016,325,Closure,Permanent
590,Albertson's LLC,Bellingham,3/7/2016,5/7/2016,65,Closure,Permanent
591,University of Phoenix,Seattle,3/2/2016,4/29/2016,4,Closure,Permanent
592,"Apollo Education Group, Inc. (AEG)",Seattle,3/2/2016,4/29/2016,72,Closure,Permanent
593,Maslow Media Group,Seattle,2/26/2016,4/30/2016,8,Closure,Permanent
594,Concentrix,Bremerton,2/3/2016,3/4/2016,520,Closure,Permanent
595,Wells Fargo Home Mortgage Servicing,Vancouver,2/3/2016,4/3/2016,59,Closure,Permanent
596,Cardinal Health,Auburn,2/1/2016,3/31/2016,59,Layoff,Permanent
597,Haggen Food & Pharmacy,Puyallup,1/8/2016,3/8/2016,87,Closure,Permanent
598,Macy's,Spokane,1/7/2016,3/14/2016,94,Closure,Permanent
