,company_name,location,notice_date,employees_affected,URL
52,"Thriveworks Administrative Services, LLC",Phoenix,"Sep 15, 2023",78.0,https://www.azjobconnection.gov/search/warn_lookups/737
53,Levy Premium Foodservice Limited Partnership,Chicago,"Jun 26, 2023",335.0,https://www.azjobconnection.gov/search/warn_lookups/713
54,Sunrun (Broadway Rd.  Phoenix),Phoenix,"Jun 30, 2023",,https://www.azjobconnection.gov/search/warn_lookups/714
55,Sunrun (Mesa),Mesa,"Jun 30, 2023",80.0,https://www.azjobconnection.gov/search/warn_lookups/715
56,Sunrun (19th Ave. Phoenix),Phoenix,"Jun 30, 2023",75.0,https://www.azjobconnection.gov/search/warn_lookups/716
57,Sunrun (Sweetwater Ave. Phoenix),Phoenix,"Jun 30, 2023",117.0,https://www.azjobconnection.gov/search/warn_lookups/717
58,"PBS West, LLC",Reno,"Jul 07, 2023",,https://www.azjobconnection.gov/search/warn_lookups/718
59,Owens Corning,Eloy,"Jul 19, 2023",63.0,https://www.azjobconnection.gov/search/warn_lookups/720
60,BMO Harris Bank N.A.,Tempe,"Jul 10, 2023",81.0,https://www.azjobconnection.gov/search/warn_lookups/719
61,TransDev Services (Valley Metro Phoenix Paratransit 549),Phoenix,"Jul 25, 2023",135.0,https://www.azjobconnection.gov/search/warn_lookups/721
62,TD SYNNEX,Chandler,"Sep 18, 2023",,https://www.azjobconnection.gov/search/warn_lookups/738
63,Bank of the West - BMO Bank,Tempe,"Sep 19, 2023",112.0,https://www.azjobconnection.gov/search/warn_lookups/740
64,Novemball USA Inc,Peoria,"Jul 28, 2023",100.0,https://www.azjobconnection.gov/search/warn_lookups/722
65,Shaw Industries Group Inc.,Dalton,"Sep 19, 2023",250.0,https://www.azjobconnection.gov/search/warn_lookups/739
66,First Savings Bank,Jeffersonville,"Sep 29, 2023",,https://www.azjobconnection.gov/search/warn_lookups/741
67,Hyatt Corporation,Scottsdale,"Jan 13, 2022",152.0,https://www.azjobconnection.gov/search/warn_lookups/652
68,Bed Bath Beyond California Limited,Yuma,"Jan 26, 2022",17.0,https://www.azjobconnection.gov/search/warn_lookups/653
69,Peloton,New York,"Feb 08, 2022",52.0,https://www.azjobconnection.gov/search/warn_lookups/655
70,Habitat for Humanity - ReStore,Yuma,"Feb 28, 2022",3.0,https://www.azjobconnection.gov/search/warn_lookups/656
71,Jordan Manufacturing,Yuma,"Jun 14, 2022",33.0,https://www.azjobconnection.gov/search/warn_lookups/657
72,Honeywell Chandler,Chandler,"May 13, 2022",40.0,https://www.azjobconnection.gov/search/warn_lookups/658
73,Kirkland's Home,Yuma,"Jun 22, 2022",6.0,https://www.azjobconnection.gov/search/warn_lookups/660
74,Hunter Douglas,Phoenix,"Feb 03, 2022",111.0,https://www.azjobconnection.gov/search/warn_lookups/654
75,Home Point Financial Corporation d/b/a Homepoint,Chandler,"Nov 17, 2022",,https://www.azjobconnection.gov/search/warn_lookups/673
76,Santa Cruz Valley Regional Hospital (SCVRH),Green Valley,"Jun 20, 2022",315.0,https://www.azjobconnection.gov/search/warn_lookups/661
77,Ross Innovative Employment Solutions Corp.,Yuma,"Jun 28, 2022",1.0,https://www.azjobconnection.gov/search/warn_lookups/663
78,Factory 2U (Fallas Paredes),San Luis,"Jun 30, 2022",9.0,https://www.azjobconnection.gov/search/warn_lookups/664
79,"AMMA Investment Group, LLC",Amado,"Aug 18, 2022",103.0,https://www.azjobconnection.gov/search/warn_lookups/670
80,Community Health Associates,Yuma,"Dec 19, 2022",11.0,https://www.azjobconnection.gov/search/warn_lookups/676
81,Davis Custom Welding & Steel Supply,Yuma,"Aug 01, 2022",5.0,https://www.azjobconnection.gov/search/warn_lookups/666
82,"Robinhood Markets, Inc",Tempe,"Aug 03, 2022",,https://www.azjobconnection.gov/search/warn_lookups/667
83,eegee’s LLC,Tucson,"Aug 09, 2022",23.0,https://www.azjobconnection.gov/search/warn_lookups/668
84,Ball Corp.,Phoenix,"Aug 03, 2022",120.0,https://www.azjobconnection.gov/search/warn_lookups/669
85,"Holsum Bakery, Inc.",Phoenix,"Sep 01, 2022",213.0,https://www.azjobconnection.gov/search/warn_lookups/672
86,Home Point Financial Corporation d/b/a Homepoint,Chandler,"Sep 01, 2022",113.0,https://www.azjobconnection.gov/search/warn_lookups/671
87,Honeywell Phoenix (Buckeye),Phoenix,"Jul 14, 2022",133.0,https://www.azjobconnection.gov/search/warn_lookups/665
88,Cardenas Markets LLC,Tucson,"Dec 16, 2022",63.0,https://www.azjobconnection.gov/search/warn_lookups/675
89,"Freshly, LLC.",Phoenix,"Dec 05, 2022",500.0,https://www.azjobconnection.gov/search/warn_lookups/674
90,"NE AZ LWDB Show Low, AZ: Native Wings Complex Fire",Show Low,"Feb 04, 2022",60.0,https://www.azjobconnection.gov/search/warn_lookups/659
91,"TuSimple, Inc.",Tucson,"Dec 22, 2022",135.0,https://www.azjobconnection.gov/search/warn_lookups/677
92,Bed Bath & Beyond,Tucson,"Sep 22, 2022",120.0,https://www.azjobconnection.gov/search/warn_lookups/683
93,EQUUS Workforce Solutions,Yuma,"Jun 27, 2022",4.0,https://www.azjobconnection.gov/search/warn_lookups/662
94,XPO Logistics,Phoenix,"Jan 29, 2021",85.0,https://www.azjobconnection.gov/search/warn_lookups/635
95,XPO Logistics,Phoenix,"Jan 29, 2021",85.0,https://www.azjobconnection.gov/search/warn_lookups/636
96,AeroGuard,,"Feb 12, 2021",92.0,https://www.azjobconnection.gov/search/warn_lookups/637
97,Collins Aerospace,Phoenix,"Mar 15, 2021",95.0,https://www.azjobconnection.gov/search/warn_lookups/638
98,Chapel Haven Schleifer Center,Tucson,"Mar 12, 2021",,https://www.azjobconnection.gov/search/warn_lookups/639
99,SPS N95 Manufacturing,Phoenix,"May 26, 2021",727.0,https://www.azjobconnection.gov/search/warn_lookups/640
100,Farmers Investment Co / The Green Valley Pecan Company,Sahuarita,"Sep 24, 2021",137.0,https://www.azjobconnection.gov/search/warn_lookups/645
101,"Toca Madera Management LLC dba/aka The Madera Group, LLC",Scottsdale,"Sep 09, 2021",153.0,https://www.azjobconnection.gov/search/warn_lookups/646
102,National Education Partners,Scottsdale,"Nov 04, 2021",423.0,https://www.azjobconnection.gov/search/warn_lookups/648
103,Katerra Inc.,Scottsdale,"Jun 01, 2021",251.0,https://www.azjobconnection.gov/search/warn_lookups/641
104,"Central Freight Lines, Inc.",Phoenix,"Dec 14, 2021",100.0,https://www.azjobconnection.gov/search/warn_lookups/649
105,"Monitronics International, Inc. d/b/a Brinks Home",Phoenix,"Dec 17, 2021",,https://www.azjobconnection.gov/search/warn_lookups/650
106,EQUUS Workforce Solutions,Yuma,"Jun 02, 2021",9.0,https://www.azjobconnection.gov/search/warn_lookups/643
107,Ironwood Assisted Living,Yuma,"Jun 02, 2021",10.0,https://www.azjobconnection.gov/search/warn_lookups/642
108,Honeywell,Chandler,"Nov 17, 2021",81.0,https://www.azjobconnection.gov/search/warn_lookups/651
109,"Centurion Detention Health Services, LLC",Tucson,"Aug 17, 2021",,https://www.azjobconnection.gov/search/warn_lookups/644
