,company_name,location,notice_date,layoff_date,employees_affected,Formal Name,City,State,Zip
1518,"Atwood Industries, Inc.",807 W PINES ROAD ,5/19/1997,,66,ATWOOD INDUSTRIES,OREGON,IL,61061
1519,SRAM CORPORATION,2801 CARL BLVD ,6/12/1997,1996-11-04 00:00:00,108,SRAM CORPORATION,ELK GROVE VILLGE,IL,60007
1520,Oxford International Ltd,4237 W. 42nd Place ,2/15/1999,,60,OXFORD INTERNATIONAL LTD,CHICAGO,IL,60632
1521,Oxford International Ltd,4237 W. 42nd Place ,6/17/1997,,63,OXFORD INTERNATIONAL LTD,CHICAGO,IL,60632
1522,RYDER INTEGRATED LOGISTICS,2380 DIEHL ROAD ,6/13/1997,,60,RYDER INTEGRATED LOGISTICS,AURORA,IL,60504
1523,NORWEST,3200 ROBBINS ROAD ,6/17/1997,,90,NORWEST,SPRINGFIELD,IL,62704
1524,HP INC.,19731 U S ROUTE 20 WEST ,7/3/1997,,133,HP INC.,EAST DUBUQUE,IL,61025
1525,MONTGOMERY WARD LLC,4620 SOUTH DAMEN ,1/12/2001,,167,MONTGOMERY WARD & COMPANY,CHICAGO,IL,60609
1526,Star-Kist Foods Inc,1551 E Willow St ,6/30/1997,,348,STAR-KIST FOODS DISTRIBUTION CENTER,Kankakee,IL,60901-2629
1527,PENSKE DEDICATED LOGISTICS INC,317 W LAKE STREET ,6/25/1997,,81,PENSKE DEDICATED LOGISTICS INC,NORTHLAKE,IL,60164
1528,"Pioneer Financial Services, Inc. (del)",1750 E Golf Rd ,7/3/1997,,70,PIONEER FINANCIAL SERVICES,Schaumburg,IL,60173-5835
1529,PARKER HANNIFLIN CORP/HYDRAULIC VALVE DIV.,6565 HOWARD STREET ,9/3/1997,,58,PARKER HANNIFLIN CORP/HYDRAULIC VALVE DI,NILES,IL,60648
1530,PARKER HANNIFLIN CORP/HYDRAULIC VALVE DIV.,6565 HOWARD STREET ,7/2/1997,1997-06-25 00:00:00,83,PARKER HANNIFLIN CORP/HYDRAULIC VALVE DI,NILES,IL,60648
1531,OLD BEN COAL SPARTAN MINE,P O BOX 1 ,7/2/1997,,172,OLD BEN COAL SPARTAN MINE,SPARTA,IL,62286
1532,SCHERING-PLOUGH ANIMAL HEALTH,421 E HAWLEY ST ,7/11/1997,,216,SCHERING-PLOUGH ANIMAL HEALTH,MUNDELEIN,IL,60060-2418
1533,MONTGOMERY WARD ELECTRIC AVENUE & MORE STORE,6260 E STATE STREET ,8/1/1997,,60,MONTGOMERY WARD ELECTRIC AVENUE & MORE S,ROCKFORD,IL,61108
1534,SOLOPAK MEDICAL PRODUCTS INC,541 COUNTY LINE ROAD ,8/7/1997,,93,SOLOPAK MEDICAL PRODUCTS INC,FRANKLIN PARK,IL,60131
1535,AMERICAN HAWAII CRUISES,2 NORTH RIVERSIDE PLAZA ,6/30/1997,,53,AMERICAN HAWAII CRUISES,CHICAGO,IL,60606
1536,ADT SECURITY SERVICES INC.,455 W LAKE STREET ,8/5/1997,,59,ADT SECURITY SERVICES INC,ELMHURST,IL,60126
1537,ADT SECURITY SERVICES INC.,455 W LAKE STREET ,1/16/2002,,58,ADT SECURITY SERVICES INC,ELMHURST,IL,60126
1538,SIMKINS INDUSTRIES INC,5170 W OGDEN AVENUE ,3/7/2000,,51,SIMKINS INDUSTRIES INC,CICERO,IL,60650
1539,SIMKINS INDUSTRIES INC,5170 W OGDEN AVENUE ,8/15/1997,,50,SIMKINS INDUSTRIES INC,CICERO,IL,60650
1540,"Keck, Mahin and Cate",77 W Wacker Dr 42ND FL ,8/22/1997,,100,"KECK, MAHIN & CATE",Chicago,IL,60601-1604
1541,TOMMY ARMOUR GOLF,8350 N LEHIGH AVENUE ,8/25/1997,,92,,MORTON GROVE,IL,60053
1542,TOMMY ARMOUR GOLF,8350 N LEHIGH AVENUE ,7/1/2001,,73,,MORTON GROVE,IL,60053
1543,PEERLESS-PREMIER APPLIANCE COMPANY,119 S 14TH STREET ,10/4/2004,2004-02-01 00:00:00,100,PEERLESS-PREMIER APPLIANCE COMPANY,BELLEVILLE,IL,62222
1544,HILLSBORO GLASS COMPANY,P. O. BOX 430 ,8/22/1997,1996-09-02 00:00:00,237,HILLSBORO GLASS COMPANY,HILLSBORO,IL,62049
1545,"MONTGOMERY WARD & CO, INC.",4501 N WAR MEMORIAL DR ,9/4/1997,,104,"MONTGOMERY WARD & CO, INC.",PEORIA,IL,61613
1546,Dolton Aluminum Company Inc,14200 Cottage Grove Ave ,9/25/2000,,215,EASCO CORP,Dolton,IL,60419-1074
1547,Dolton Aluminum Company Inc,14200 Cottage Grove Ave ,9/10/1997,,100,EASCO CORP,Dolton,IL,60419-1074
1548,TRUSERV DISTRIBUTION CENTER,815 REASOR ROAD ,9/19/1997,,115,TRUSERV DISTRIBUTION CENTER,CHARLESTON,IL,61920-0825
1549,WESTERN DIVERSIFIED,510 LAKE COOK ROAD ,9/29/1997,,58,WESTERN DIVERSIFIED,DEERFIELD,IL,60015
1550,NORFORGE AND MACHINING INC.,195 N DEAN STREET ,10/8/1997,,145,NORFORGE AND MACHINING INC.,BUSHNELL,IL,61422
1551,MONTGOMERY WARD LLC,999 ELMHURST ROAD ,1/12/2001,,156,MONTGOMERY WARD & COMPANY,MOUNT PROSPECT,IL,60056
1552,"MONTGOMERY WARD & CO., INC.",16771 TORRENCE AVENUE ,10/10/1997,,92,"MONTGOMERY WARD & CO., INC.",LANSING,IL,60438
1553,"MONTGOMERY WARD & CO., INC.",221 LAKEHURST ROAD ,10/10/1997,,108,"MONTGOMERY WARD & CO., INC.",WAUKEGAN,IL,60085
1554,"K-L INDUSTRIES, INC",1801 N CENTRAL PARK AVENUE ,10/14/1997,,65,"K-L INDUSTRIES, INC",CHICAGO,IL,60647
1555,"MONTGOMERY WARD & CO., INC.",301 SOUTH VETERANS PKWAY ,10/10/1997,,65,"MONTGOMERY WARD & CO., INC.",NORMAL,IL,61761
1556,"GC SERVICES, EDUCATION OFFICE","300 N MARTINGALE RD, SUITE 670 ",10/17/1997,,65,"GC SERVICES, EDUCATION OFFICE",SCHAUMBURG,IL,60173
1557,Fischer Imaging Corporation,2301 W Windsor Ct ,10/10/1997,,70,FISCHER IMAGING CORPORATION,Addison,IL,60101-1460
1558,Hyman Freightways Inc.,4300 W 72ND St ,10/17/1997,,45,HYMAN FREIGHTWAYS INC,Chicago,IL,60629-5804
1559,"Gold Standard Baking, LLC",3700 S Kedzie Ave ,10/8/1997,,64,GOLD STANDARD,Chicago,IL,60632-2768
1560,Transamerica Leasing Inc,1800 W 43RD St ,10/24/1997,,65,TRANSAMERICA LEASING INC.,Chicago,IL,60609-3111
1561,"Evron Industries Ltd, (inc)",2159 W Pershing Rd ,10/22/1997,,94,"EVRON INDUSTRIES, INC",Chicago,IL,60609-2207
1562,SPARTON ENGINEERED PRODUCTS,WEST SPRING STREET ,10/30/1997,,80,SPARTON ENGINEERED PRODUCTS,GRAYVILLE,IL,62844
1563,CENTURY II STAFFING/CALUMET AUTO/TRUCK PLAZA,159TH AND CALUMET EXPRESSWAY ,10/31/1997,,59,CENTURY II STAFFING/CALUMET AUTO/TRUCK P,SOUTH HOLLAND,IL,60473
1564,Danly Machine LP,2115 S 54TH Ave ,10/30/1997,,131,DANLY MACHINE LP,Cicero,IL,60804-2209
1565,AETNA/US HEALTHCARE,1235 NORTH MULFORD ROAD ,10/27/1997,,95,AETNA/US HEALTHCARE,ROCKFORD,IL,61107
1566,PRUDENTIAL HELATHCARE GROUP,4601 SAUK TRAIL ,10/30/1997,,350,PRUDENTIAL HELATHCARE GROUP,RICHTON PARK,IL,60471
1567,TNT SKYPAK INC,4309 TRANS WORLD ROAD ,11/6/1997,,58,TNT SKYPAK INC,SCHILLER PARK,IL,60176
1568,BUILDERS SQUARE STORE #1399,1000 WINSTON PLAZA DR ,11/17/1997,,77,HOME QUARTERS,MELROSE PARK,IL,60160
1569,BUILDERS SQUARE STORE #1386,1325 MEACHAM ROAD ,11/17/1997,,77,HOME QUARTERS,SCHAUMBURG,IL,60173
1570,BUILDERS SQUARE STORE #1003,6640 EAST STATE STREET ,11/17/1997,,69,HOME QUARTERS,ROCKFORD,IL,61108
1571,WILTON TOOL GROUP,9525 IRVING PARK ROAD ,11/5/1997,,80,WILTON TOOL GROUP,SCHILLER PARK,IL,60176-1923
1572,HOME INNOVATIONS INC.,650 N CHURCH STREET ,11/14/1997,,265,HOME INNOVATIONS INC.,LAKE ZURICH,IL,60047
1573,Sportmart Inc,1400 S Wolf Rd Ste 200 ,12/2/1997,,200,"SPORTMART, INC.",Wheeling,IL,60090-6524
1574,Clark Distribution Services Inc,7525 S Sayre Ave ,12/1/1997,,200,CLARK DISTRIBUTION SERVICES INC,Bedford Park,IL,60638-5935
1575,PROFESSIONAL SOFTWARE INC.,"1 PSI PLAZA, BOX 1348 ",12/1/1997,,130,PROFESSIONAL SOFTWARE INC.,EFFINGHAM,IL,62401
1576,"ELGIN, JOLIET AND EASTERN RAILWAY COMPANY",1141 MAPLE ROAD ,12/5/1997,,52,"ELGIN, JOLIET AND EASTERN RAILWAY COMPAN",JOLIET,IL,60432
1577,Penn Daniels Inc,505 N 24TH St ,12/5/1997,,130,"PENN-DANIELS, INC",Quincy,IL,62301-3221
1578,"USA Flex, Inc",471 Brighton Ct ,12/12/1997,,55,USA FLEX,Bloomingdale,IL,60108-3102
1579,LONGVIEW FIBRE COMPANY CENTRAL CONTAINER DIV,1818 ELMWOOD ROAD ,12/8/1997,,50,LONGVIEW FIBRE COMPANY CENTRAL CONTAINER,ROCKFORD,IL,61102
1580,SHAPE MIDWEST DIVISION,3055 MACARTHUR BLVD ,12/9/1997,,103,SHAPE MIDWEST DIVISION,NORTHBROOK,IL,60062
1581,AMERICAN MEDICAL RESPONSE-MIDWEST DIVISION,29870 ROUTE 41 ,12/11/1997,,81,AMERICAN MEDICAL RESPONSE-MIDWEST DIVISI,LAKE BLUFF,IL,60044
1582,AMERICAN MEDICAL RESPONSE-MIDWEST DIVISION,555 HIGH GROVE BLVD ,12/11/1997,,172,AMERICAN MEDICAL RESPONSE-MIDWEST DIVISI,GLENDALE HEIGHTS,IL,60139
1583,AMERICAN MEDICAL RESPONSE-MIDWEST DIVISION,9913 SOUTH 78TH AVENUE ,12/11/1997,,169,AMERICAN MEDICAL RESPONSE-MIDWEST DIVISI,HICKORY HILLS,IL,60457
1584,AMERICAN MEDICAL RESPONSE-MIDWEST DIVISION,5640 WEST HOWARD ,12/11/1997,,121,AMERICAN MEDICAL RESPONSE-MIDWEST DIVISI,SKOKIE,IL,60077
1585,BORDON FOODS CORPORATION,"2301 SHERMER RD, BOX 3011 ",12/19/1997,,124,BORDON FOODS CORPORATION,NORTHBROOK,IL,60065
1586,NEW YORK CARPET WORLD,8636 S CICERO AVENUE ,12/18/1997,,96,"SHAW INDUSTRIES, INC.",BURBANK,IL,60459
