,company_name,location,notice_date,employees_affected,Incident Type
322,P.F. Changs China Bistro,Lansing,9/21/2020,75,Mass Layoff
323,P.F. Changs China Bistro,Livonia,9/21/2020,75,Mass Layoff
324,P.F. Changs China Bistro,Dearborn,9/21/2020,75,Mass Layoff
325,Federal Mogul - Tenneco,Sparta,9/17/2020,121,Plant Closing
326,Kroger Food Stores,Sturgis,10/2/2020,73,Plant Closing
327,Select Specialty Hospital,Muskegon,10/6/2020,80,Plant Closing
328,Lansing Entertainment and Public Facilities,Lansing,10/6/2020,24,Mass Layoff
329,Le Tote Inc.,Novi,10/1/2020,46,Plant Closing
330,TPL Transition Services/Globe Fire Sprinkler Corp.,Standish,11/4/2020,154,Plant Closing
331,Eastman Chemical Company,Trenton,11/16/2020,75,Plant Closing
332,"Eurest (Compass Group USA, INC)",Auburn Hills,11/16/2020,98,Mass Layoff
333,Keihin Michigan Manufacturing,Capac,11/23/2020,4,Plant Closing
334,Bartech Staffing,Southfield,12/7/2020,70,Mass Layoff
335,"Cameron Mitchell Restaurants, LLC",Troy,12/7/2020,76,Mass Layoff
336,Allied Universal,Statewide,12/8/2020,664,Mass Layoff
337,Tech Mahindra Americas Inc.,Lansing,12/15/2020,81,Mass Layoff
338,Rusty Bucket Restaurant & Tavern,Various,12/15/2020,74,Mass Layoff
339,Booking.com,Grand Rapids,9/21/2020,63,Mass Layoff
340,NBHX Trim Corporation,Comstock Park,12/22/2020,76,Mass Layoff
341,Reprise Media,Birmingham,1/10/2019,92,Mass Layoff
342,Universal McCann Worldwide Inc,Birmingham,1/10/2019,116,Mass Layoff
343,Mediabrands Worldwide Inc,Birmingham,1/10/2019,5,Mass Layoff
344,WE Energies,Marquette,1/19/2019,89,Plant Closing
345,Tribus Services,Lansing,1/29/2019,87,Plant Closing
346,Tribus Services,Waterford,1/29/2019,97,Plant Closing
347,Trinity Health Senior Communities,Ypsilanti,1/29/2019,115,Plant Closing
348,Harsco Rail,Ludington,2/1/2019,151,Plant Closing
349,Ford Motor Co. - Flat Rock,Flat Rock,2/4/2019,"3,100",Mass Layoff
350,Monroe Bank & Trust,Monroe,2/4/2019,93,Mass Layoff
351,PPG Coating Services,Livonia,2/4/2019,46,Plant Closing
352,General Motors - Technical Center,Warren,2/5/2019,"1,298",Mass Layoff
353,"Dorma USA, Inc",Madison Heights,2/6/2019,103,Plant Closing
