,company_name,location,notice_date,layoff_date,employees_affected,Layoff Type
278,NortonLifeLock Inc - Springfield,Springfield,2019-11-19 00:00:00,2020-04-24 00:00:00,2.0,Reduction
279,NortonLifeLock Inc - Springfield,Springfield,2019-11-19 00:00:00,2020-03-18 00:00:00,33.0,Reduction
280,NortonLifeLock Inc - Springfield,Springfield,2019-11-19 00:00:00,2020-02-14 00:00:00,1.0,Reduction
281,NortonLifeLock Inc - Springfield,Springfield,2019-11-19 00:00:00,2020-02-13 00:00:00,3.0,Reduction
282,NortonLifeLock Inc - Springfield,Springfield,2019-11-19 00:00:00,2020-01-17 00:00:00,46.0,Reduction
283,NORPAC FOODS - Salem Repack,Salem,2019-11-13 00:00:00,2020-01-12 00:00:00,458.0,Large Layoff - 10 or more workers
284,NORPAC FOODS INC - Brooks Plant,Salem,2019-11-13 00:00:00,2019-11-15 00:00:00,466.0,Permanent closure
285,Republic Services,Oregon City,2019-11-08 00:00:00,2019-12-31 00:00:00,40.0,Permanent closure
286,Owens-Brockway Glass Container Inc. - P,Portland,2019-10-29 00:00:00,2019-12-30 00:00:00,93.0,Reduction
287,Oakwood Portland,Portland,2019-10-29 00:00:00,2020-03-30 00:00:00,1.0,Permanent closure
288,Oakwood Portland,Portland,2019-10-29 00:00:00,2019-12-30 00:00:00,1.0,Reduction
289,"Sightbox, Inc.",Portland,2019-10-28 00:00:00,2020-03-20 00:00:00,7.0,Reduction
290,"Sightbox, Inc.",Portland,2019-10-28 00:00:00,2019-12-27 00:00:00,50.0,Reduction
291,Pacifica Beauty,Portland,2019-10-22 00:00:00,2020-01-01 00:00:00,75.0,Large Layoff - 10 or more workers
292,"McAfee, LLC",Hillsboro,2019-10-17 00:00:00,2019-12-31 00:00:00,107.0,Reduction
293,Cerner,Portland,2019-10-01 00:00:00,2019-12-01 00:00:00,4.0,Permanent closure
294,Schenker Inc,"Chesapeake, VA",2019-09-24 00:00:00,2019-12-04 00:00:00,220.0,Large Layoff - 10 or more workers
295,NORPAC FOODS INC - Stayton Plant,Stayton,2019-08-30 00:00:00,2019-10-31 00:00:00,485.0,Permanent closure
296,Nestle - Portland,Portland,2019-09-02 00:00:00,2019-11-01 00:00:00,53.0,Permanent closure
297,EVG Holdings,Grass Valley,2019-08-29 00:00:00,2019-09-04 00:00:00,90.0,Temporary Layoff
298,Symantec Corporation - Springfield,Springfield,2019-08-20 00:00:00,2019-10-15 00:00:00,24.0,Reduction
299,Symantec Corporation - Springfield,Springfield,2019-08-20 00:00:00,2019-09-25 00:00:00,5.0,Reduction
300,"welocalize, Inc.",Portland,2019-08-16 00:00:00,2019-08-16 00:00:00,73.0,Permanent closure
301,Stanley Black & Decker,Portland,2019-08-08 00:00:00,2019-11-14 00:00:00,20.0,Permanent closure
302,Adult Rehabilitation Center (ARC),Portland,2019-07-29 00:00:00,2019-09-27 00:00:00,72.0,Permanent closure
303,iQor US Inc dba TechFive LLC,Klamath Falls,2019-06-12 00:00:00,2019-08-16 00:00:00,303.0,Permanent closure
304,Harry's Fresh Foods,Portland,2019-05-31 00:00:00,2019-08-09 00:00:00,195.0,Permanent closure
305,Union Pacific,Portland,2019-05-21 00:00:00,2019-05-21 00:00:00,195.0,Reduction
306,ERGOTRON,Tualatin,2019-04-15 00:00:00,2019-08-30 00:00:00,23.0,Permanent closure
307,ERGOTRON,Tualatin,2019-04-15 00:00:00,2019-06-28 00:00:00,76.0,Permanent closure
308,Georgia - Pacific,Coos Bay,2019-04-11 00:00:00,2019-06-10 00:00:00,111.0,Permanent closure
309,Winnebago Ind,Junction City,2019-02-04 00:00:00,2019-06-14 00:00:00,45.0,Permanent closure
310,Winnebago Ind,Junction City,2019-02-04 00:00:00,2019-05-10 00:00:00,49.0,Permanent closure
311,Winnebago Ind,Junction City,2019-02-04 00:00:00,2019-04-19 00:00:00,22.0,Permanent closure
312,Winnebago Ind,Junction City,2019-02-04 00:00:00,2019-04-05 00:00:00,22.0,Permanent closure
313,Lost Valley Farm,Lexington,2019-01-15 00:00:00,2019-04-15 00:00:00,9.0,Permanent closure
314,Lost Valley Farm,Lexington,2019-01-15 00:00:00,2019-03-31 00:00:00,33.0,Permanent closure
315,Lost Valley Farm,Lexington,2019-01-15 00:00:00,2019-03-21 00:00:00,33.0,Permanent closure
316,Thomson Reuters,Lake Oswego,2018-12-04 00:00:00,2019-09-27 00:00:00,10.0,Permanent closure
317,Thomson Reuters,Lake Oswego,2018-12-04 00:00:00,2019-08-30 00:00:00,1.0,Permanent closure
318,Thomson Reuters,Lake Oswego,2018-12-04 00:00:00,2019-07-01 00:00:00,49.0,Permanent closure
319,Thomson Reuters,Lake Oswego,2018-12-04 00:00:00,2019-03-29 00:00:00,35.0,Permanent closure
320,Thomson Reuters,Lake Oswego,2018-12-04 00:00:00,2019-02-08 00:00:00,3.0,Permanent closure
321,"Ergotron, Inc",Tualatin,2018-11-16 00:00:00,2019-06-30 00:00:00,86.0,Permanent closure
322,"Ergotron, Inc",Tualatin,2018-11-16 00:00:00,2019-03-29 00:00:00,13.0,Permanent closure
323,First Transit - GridWorks,Clackamas,2018-11-01 00:00:00,2019-01-02 00:00:00,60.0,Permanent closure
324,Western Health Resources dba Adventist ,Portland,2018-10-22 00:00:00,2018-12-20 00:00:00,92.0,Permanent closure
325,Sears Store Auto Center #06009,Portland,2018-10-15 00:00:00,2018-12-31 00:00:00,8.0,Permanent closure
326,Sears Store #01079,Portland,2018-10-15 00:00:00,2018-12-31 00:00:00,64.0,Permanent closure
327,Schmidt's Deodorant Company LLC,Portland,2018-09-07 00:00:00,2018-10-31 00:00:00,52.0,Permanent closure
328,"Orchard Supply Company, LLC",Tigard,2018-10-20 00:00:00,2018-10-20 00:00:00,112.0,Permanent closure
329,Kah Nee Ta,Warm Springs,2018-06-06 00:00:00,2018-09-05 00:00:00,146.0,Permanent closure
330,Acara Solutions dba Superior Talent Res,Tualatin,2018-06-13 00:00:00,2018-06-14 00:00:00,112.0,Reduction
331,Sunshine Dairy,Portland,2018-06-12 00:00:00,2018-07-15 00:00:00,9.0,Permanent closure
332,Sunshine Dairy,Portland,2018-06-12 00:00:00,2018-06-30 00:00:00,1.0,Permanent closure
333,Sunshine Dairy,Portland,2018-06-12 00:00:00,2018-06-29 00:00:00,3.0,Permanent closure
334,Sunshine Dairy,Portland,2018-06-12 00:00:00,2018-06-22 00:00:00,7.0,Permanent closure
335,Sunshine Dairy,Portland,2018-06-12 00:00:00,2018-06-15 00:00:00,3.0,Permanent closure
336,Sunshine Dairy,Portland,2018-06-12 00:00:00,2018-06-08 00:00:00,23.0,Permanent closure
337,BOISE CASCADE ELGIN SAWMILL        ,Elgin,2018-05-16 00:00:00,2018-07-15 00:00:00,90.0,Large Layoff - 10 or more workers
338,Armstrong World Industries - St Helens ,Saint Helens,2018-03-19 00:00:00,2018-05-31 00:00:00,136.0,Permanent closure
339,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-09-28 00:00:00,1.0,Permanent closure
340,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-09-28 00:00:00,16.0,Permanent closure
341,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-09-14 00:00:00,4.0,Permanent closure
342,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-09-07 00:00:00,3.0,Permanent closure
343,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-09-07 00:00:00,6.0,Permanent closure
344,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-08-31 00:00:00,20.0,Permanent closure
345,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-08-31 00:00:00,15.0,Permanent closure
346,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-08-03 00:00:00,3.0,Permanent closure
347,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-07-31 00:00:00,8.0,Permanent closure
348,Boyd Coffee Company - Eugene,Eugene,2018-03-20 00:00:00,2018-05-23 00:00:00,72.0,Permanent closure
349,Boyd's Coffee,Portland,2018-03-20 00:00:00,2018-04-30 00:00:00,4.0,Permanent closure
350,Bartels Packing Inc,Eugene,2018-03-16 00:00:00,2018-03-16 00:00:00,142.0,Permanent closure
351,Vectrus Corporation - Hillsboro,Hillsboro,2018-02-21 00:00:00,2018-04-26 00:00:00,54.0,Large Layoff - 10 or more workers
352,Nordstrom Salem Center Store (Store 23),Salem,2018-02-01 00:00:00,2018-04-06 00:00:00,137.0,Permanent closure
353,Adventist Medical Center,Portland,2018-01-19 00:00:00,2018-04-01 00:00:00,157.0,Large Layoff - 10 or more workers
354,General Distributors Inc,Oregon City,2018-01-29 00:00:00,2018-03-31 00:00:00,165.0,Permanent closure
355,Convergys,Wilsonville,2018-01-02 00:00:00,2018-03-31 00:00:00,117.0,Permanent closure
356,Convergys,Wilsonville,2018-01-02 00:00:00,2018-03-03 00:00:00,91.0,Permanent closure
357,FamilyCare Health,Portland,2017-12-15 00:00:00,2018-03-15 00:00:00,72.0,Permanent closure
358,FamilyCare Health,Portland,2017-12-15 00:00:00,2018-01-05 00:00:00,250.0,Permanent closure
359,Symantec Corporation,Springfield,2017-11-29 00:00:00,2018-10-03 00:00:00,2.0,Large Layoff - 10 or more workers
360,Symantec Corporation,Springfield,2017-11-29 00:00:00,2018-09-01 00:00:00,1.0,Large Layoff - 10 or more workers
361,Symantec Corporation,Springfield,2017-11-29 00:00:00,2018-07-27 00:00:00,6.0,Large Layoff - 10 or more workers
362,Symantec Corporation,Springfield,2017-11-29 00:00:00,2018-07-13 00:00:00,2.0,Large Layoff - 10 or more workers
363,Symantec Corporation,Springfield,2017-11-29 00:00:00,2018-06-29 00:00:00,90.0,Large Layoff - 10 or more workers
364,Symantec Corporation,Springfield,2017-11-29 00:00:00,2018-04-25 00:00:00,29.0,Large Layoff - 10 or more workers
365,Symantec Corporation,Springfield,2017-11-29 00:00:00,2018-03-30 00:00:00,1.0,Large Layoff - 10 or more workers
366,Symantec Corporation,Springfield,2017-11-29 00:00:00,2018-01-26 00:00:00,2.0,Large Layoff - 10 or more workers
367,Symantec Corporation,Springfield,2017-11-29 00:00:00,2018-01-17 00:00:00,64.0,Large Layoff - 10 or more workers
368,Everest Institute - Tigard,Tigard,2017-11-03 00:00:00,2018-01-08 00:00:00,29.0,Permanent closure
369,"SureID, Inc - dba. Fortior Solutions",Hillsboro,2017-11-07 00:00:00,2017-11-08 00:00:00,25.0,Large Layoff - 10 or more workers
370,Microsoft - Wilsonville Facility,Wilsonville,2017-11-06 00:00:00,2018-03-23 00:00:00,7.0,Large Layoff - 10 or more workers
371,Microsoft - Wilsonville Facility,Wilsonville,2017-11-06 00:00:00,2018-01-22 00:00:00,8.0,Large Layoff - 10 or more workers
372,Microsoft - Wilsonville Facility,Wilsonville,2017-11-06 00:00:00,2017-12-05 00:00:00,6.0,Large Layoff - 10 or more workers
373,Microsoft - Wilsonville Facility,Wilsonville,2017-11-06 00:00:00,2017-11-06 00:00:00,50.0,Large Layoff - 10 or more workers
374,jive,Portland,2017-11-01 00:00:00,2017-12-31 00:00:00,18.0,Large Layoff - 10 or more workers
375,West Linn Paper Co,West Linn,2017-10-16 00:00:00,2017-10-16 00:00:00,277.0,Permanent closure
376,Pacific Crest Transformers,Medford,2017-09-14 00:00:00,2017-11-13 00:00:00,110.0,Large Layoff - 10 or more workers
377,Hermiston Foods Plant,Hermiston,2017-09-13 00:00:00,2017-11-13 00:00:00,199.0,Permanent closure
378,Sykes Eugene Site,Eugene,2017-08-30 00:00:00,2017-10-31 00:00:00,181.0,Permanent closure
379,"Panasonic Eco Solutions Solar America, ",Salem,2017-09-06 00:00:00,2017-11-06 00:00:00,92.0,Permanent closure
380,Nike,Beaverton,2017-08-31 00:00:00,2017-09-30 00:00:00,490.0,Large Layoff - 10 or more workers
381,Nike,Beaverton,2017-08-31 00:00:00,2017-07-31 00:00:00,255.0,Large Layoff - 10 or more workers
382,Asurion,Klamath Falls,2017-07-18 00:00:00,2017-09-17 00:00:00,53.0,Large Layoff - 10 or more workers
383,Western Graphics & Data/Travel Tags Inc,Portland,2017-07-11 00:00:00,2018-03-31 00:00:00,3.0,Permanent closure
384,Western Graphics & Data/Travel Tags Inc,Portland,2017-07-11 00:00:00,2018-03-28 00:00:00,1.0,Large Layoff - 10 or more workers
385,Western Graphics & Data/Travel Tags Inc,Portland,2017-07-11 00:00:00,2018-01-26 00:00:00,4.0,Large Layoff - 10 or more workers
386,Western Graphics & Data/Travel Tags Inc,Portland,2017-07-11 00:00:00,2017-12-29 00:00:00,6.0,Large Layoff - 10 or more workers
387,Western Graphics & Data/Travel Tags Inc,Portland,2017-07-11 00:00:00,2017-12-15 00:00:00,7.0,Large Layoff - 10 or more workers
388,Western Graphics & Data/Travel Tags Inc,Portland,2017-07-11 00:00:00,2017-12-01 00:00:00,49.0,Large Layoff - 10 or more workers
389,Western Graphics & Data/Travel Tags Inc,Portland,2017-07-11 00:00:00,2017-10-06 00:00:00,12.0,Large Layoff - 10 or more workers
390,Microsoft Wilsonville OR Facility ,Wilsonville,2017-07-10 00:00:00,2017-11-06 00:00:00,63.0,Permanent closure
391,Microsoft Wilsonville OR Facility ,Wilsonville,2017-07-10 00:00:00,2017-09-08 00:00:00,61.0,Large Layoff - 10 or more workers
392,NORPAC FOODS,Salem,2017-06-30 00:00:00,2017-08-31 00:00:00,199.0,Permanent closure
393,NORPAC FOODS,Salem,2017-06-30 00:00:00,2017-08-31 00:00:00,24.0,Permanent closure
394,SureID,Hillsboro,2017-06-19 00:00:00,2017-08-14 00:00:00,79.0,Large Layoff - 10 or more workers
395,SureID,Hillsboro,2017-06-19 00:00:00,2017-06-26 00:00:00,17.0,Large Layoff - 10 or more workers
396,SureID,Hillsboro,2017-06-19 00:00:00,2017-06-19 00:00:00,80.0,Large Layoff - 10 or more workers
397,SureID,Hillsboro,2017-06-19 00:00:00,2017-05-08 00:00:00,200.0,Large Layoff - 10 or more workers
398,Special Mobility Services/RideSource,Eugene,2017-05-26 00:00:00,2017-09-18 00:00:00,95.0,Permanent closure
399,Special Mobility Services,Oakridge,2017-05-26 00:00:00,2017-09-18 00:00:00,6.0,Permanent closure
400,SolarWorld,Hillsboro,2017-05-19 00:00:00,2017-07-18 00:00:00,360.0,Large Layoff - 10 or more workers
401,Holiday Retirement,Lake Oswego,2017-04-26 00:00:00,2017-06-30 00:00:00,186.0,Permanent closure
402,Portland State University - Aramark,Portland,2017-04-28 00:00:00,2017-06-30 00:00:00,121.0,Permanent closure
403,Portland Willamette,Portland,2017-03-17 00:00:00,2017-05-20 00:00:00,62.0,Permanent closure
404,Convergys,Wilsonville,2017-02-15 00:00:00,2017-05-05 00:00:00,143.0,Large Layoff - 10 or more workers
405,Riverbend Annex,Springfield,2017-02-16 00:00:00,2017-05-28 00:00:00,85.0,Large Layoff - 10 or more workers
406,Riverbend Annex,Springfield,2017-02-16 00:00:00,2017-04-30 00:00:00,186.0,Large Layoff - 10 or more workers
407,Frontier Communications,Beaverton,2017-02-10 00:00:00,2017-04-11 00:00:00,57.0,Permanent closure
408,Cenveo,Portland,2017-01-31 00:00:00,2017-01-30 00:00:00,91.0,Permanent closure
409,SIS Inc - Facebook Site,Prineville,2017-01-09 00:00:00,2017-01-31 00:00:00,85.0,Large Layoff - 10 or more workers
410,Macy's,Portland,2017-01-05 00:00:00,2017-03-06 00:00:00,96.0,Permanent closure
411,Commercial Aircraft Painting Services L,Portland,2016-12-05 00:00:00,2017-01-31 00:00:00,186.0,Permanent closure
412,UTI,Portland,2016-11-16 00:00:00,2016-12-31 00:00:00,96.0,Large Layoff - 10 or more workers
413,Experience Works Inc,"Arlington, VA",2016-11-07 00:00:00,2016-11-07 00:00:00,8.0,Large Layoff - 10 or more workers
414,ESCO,Portland,2016-10-31 00:00:00,2016-11-01 00:00:00,168.0,Permanent closure
415,Farmers Insurance,Hillsboro,2016-10-24 00:00:00,2016-12-30 00:00:00,50.0,Reduction
416,Sykes - Eugene,Eugene,2016-08-31 00:00:00,2016-10-30 00:00:00,418.0,Permanent closure
417,Portland International Airport,Portland,2016-08-22 00:00:00,2016-10-19 00:00:00,186.0,Large Layoff - 10 or more workers
418,Safeway,Clackamas,2016-08-16 00:00:00,2016-10-16 00:00:00,57.0,Permanent closure
419,Upper Columbia Mill,Boardman,2016-07-21 00:00:00,2016-09-19 00:00:00,67.0,Permanent closure
420,"Zelenka Farms - BFN Operations, LLC","Irving, TX",2016-07-14 00:00:00,2016-09-09 00:00:00,50.0,Permanent closure
421,Bank of America,Hillsboro,2016-07-11 00:00:00,2016-09-04 00:00:00,102.0,Reduction
422,WinCo Foods #03,Corvallis,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
423,WinCo Foods #13,Portland,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
424,WinCo Foods #15,Portland,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
425,WinCo Foods #20,Salem,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
426,WinCo Foods #28,Hillsboro,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
427,WinCo Foods #38,Independence,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
428,WinCo Foods #40,Hillsboro,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
429,WinCo Foods #44,Medford,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
430,WinCo Foods #132,Portland,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
431,WinCo Foods #09,Happy Valley,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
432,WinCo Foods #14,Beaverton,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
433,WinCo Foods #18,Salem,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
434,WinCo Foods #23,Tigard,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
435,WinCo Foods #34,Springfield,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
436,WinCo Foods #39,Eugene,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
437,WinCo Foods #41,Mcminnville,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
438,WinCo Foods #47,Gresham,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
439,WinCo Foods #138,Grants Pass,2016-06-30 00:00:00,2016-08-31 00:00:00,11.0,Large Layoff - 10 or more workers
440,Durham School Services,Roseburg,2016-06-27 00:00:00,2016-08-30 00:00:00,67.0,Permanent closure
441,"Norm Thompson Outfitters, Inc.",Hillsboro,2016-05-24 00:00:00,2016-07-22 00:00:00,82.0,Permanent closure
442,Veritas,Springfield,2016-04-18 00:00:00,2016-06-15 00:00:00,50.0,Large Layoff - 10 or more workers
443,RR Donnelley,Portland,2016-05-27 00:00:00,2016-08-01 00:00:00,113.0,Permanent closure
444,Intel,"Santa Clara, CA",2016-04-25 00:00:00,2016-05-31 00:00:00,784.0,Large Layoff - 10 or more workers
445,Lund International,Portland,2016-03-29 00:00:00,2016-05-27 00:00:00,156.0,Permanent closure
446,"Firstsource Group USA, Inc.",Eugene,2016-03-22 00:00:00,2016-05-19 00:00:00,275.0,Permanent closure
447,Mycom North America,Portland,2016-03-22 00:00:00,2016-03-22 00:00:00,2.0,Permanent closure
448,Haggen Food & Pharmacy,Oregon City,2016-03-11 00:00:00,2016-05-11 00:00:00,70.0,Permanent closure
449,Haggen Food & Pharmacy,West Linn,2016-03-09 00:00:00,2016-05-09 00:00:00,68.0,Permanent closure
450,Haggen Food & Pharmacy,Clackamas,2016-03-09 00:00:00,2016-05-09 00:00:00,70.0,Permanent closure
451,Pinnacle Workforce Logistics,Clackamas,2016-03-03 00:00:00,2016-04-03 00:00:00,190.0,Large Layoff - 10 or more workers
452,Aequitas Capital,Lake Oswego,2016-02-16 00:00:00,2016-02-15 00:00:00,80.0,Large Layoff - 10 or more workers
453,"Panasonic Eco Solutions Solar America, ",Salem,2016-02-15 00:00:00,2016-04-15 00:00:00,50.0,Large Layoff - 10 or more workers
454,EVRAZ,Portland,2016-02-09 00:00:00,2016-04-09 00:00:00,230.0,Large Layoff - 10 or more workers
455,UTi,Portland,2016-02-02 00:00:00,2016-03-29 00:00:00,41.0,Large Layoff - 10 or more workers
456,Global Partners LP (Global) Columbia Pa,Clatskanie,2016-01-26 00:00:00,2016-01-27 00:00:00,50.0,Large Layoff - 10 or more workers
457,Walmart,Lake Oswego,2016-01-20 00:00:00,2016-04-15 00:00:00,64.0,Permanent closure
458,Walmart,Portland,2016-01-20 00:00:00,2016-04-15 00:00:00,39.0,Permanent closure
459,"Youth Villages, Christie Campus",Lake Oswego,2015-12-30 00:00:00,2016-03-01 00:00:00,74.0,Reduction
460,"A-List, Inc. and H-List, Inc. dba Kitso",Portland,2015-12-28 00:00:00,2016-01-04 00:00:00,9.0,Permanent closure
461,"Pacific States Plywood, Inc.",Springfield,2015-12-18 00:00:00,2016-02-15 00:00:00,39.0,Large Layoff - 10 or more workers
462,Greatbatch,Beaverton,2015-11-06 00:00:00,2016-01-01 00:00:00,140.0,Reduction
463,Woodgrain Millwork,Prineville,2015-10-23 00:00:00,2015-12-28 00:00:00,55.0,Permanent closure
464,WestRock,Newberg,2015-10-20 00:00:00,2015-11-15 00:00:00,171.0,Permanent closure
465,Haggen Food & Pharmacy,"Bellingham, WA",2015-09-25 00:00:00,2015-11-24 00:00:00,416.0,Permanent closure
466,Haggen Food and Pharmacy,"Bellingham, WA",2015-08-14 00:00:00,2015-10-14 00:00:00,331.0,Permanent closure
467,Capital One,Portland,2015-07-24 00:00:00,2016-01-01 00:00:00,4.0,Permanent closure
468,Capital One,Portland,2015-07-24 00:00:00,2015-12-07 00:00:00,818.0,Permanent closure
469,Capital One,Portland,2015-07-24 00:00:00,2015-11-01 00:00:00,22.0,Permanent closure
470,Capital One,Portland,2015-07-24 00:00:00,2015-10-01 00:00:00,2.0,Permanent closure
471,MAG Retail Group,Medford,2015-07-02 00:00:00,2015-09-04 00:00:00,114.0,Permanent closure
472,Netflix Inc,Hillsboro,2015-04-02 00:00:00,2015-05-31 00:00:00,68.0,Permanent closure
473,CP Medical Corporation,Portland,2015-03-04 00:00:00,2016-07-01 00:00:00,5.0,Large Layoff - 10 or more workers
474,CP Medical Corporation,Portland,2015-03-04 00:00:00,2015-12-31 00:00:00,30.0,Large Layoff - 10 or more workers
475,CP Medical Corporation,Portland,2015-03-04 00:00:00,2015-11-30 00:00:00,8.0,Large Layoff - 10 or more workers
476,CP Medical Corporation,Portland,2015-03-04 00:00:00,2015-10-30 00:00:00,31.0,Large Layoff - 10 or more workers
477,CP Medical Corporation,Portland,2015-03-04 00:00:00,2015-09-30 00:00:00,14.0,Large Layoff - 10 or more workers
478,Ambassadors Programs Inc.,"Spokane, WA",2015-02-25 00:00:00,2015-04-27 00:00:00,1.0,Large Layoff - 10 or more workers
479,Safeway Inc.,Clackamas,2015-01-29 00:00:00,2015-03-31 00:00:00,91.0,Permanent closure
480,Kaiser Permanente,Portland,2015-01-19 00:00:00,2015-06-01 00:00:00,100.0,Large Layoff - 10 or more workers
481,Cover Oregon,Durham,2015-01-08 00:00:00,2015-03-10 00:00:00,62.0,Large Layoff - 10 or more workers
482,Woodgrain Millwork,Prineville,2014-11-28 00:00:00,2014-11-25 00:00:00,133.0,Large Layoff - 10 or more workers
483,Lloyd Center Nordstrom,Portland,2014-10-29 00:00:00,2015-01-10 00:00:00,172.0,Permanent closure
484,Ringside Steakhouse,Portland,2014-10-28 00:00:00,2015-01-01 00:00:00,57.0,Small Layoff  1 – 10 workers
485,Umatilla Chemical Agent-URS,Hermiston,2014-08-08 00:00:00,2014-10-09 00:00:00,26.0,Permanent closure
486,Elks Rehab System,Ontario,2014-07-31 00:00:00,2014-07-31 00:00:00,5.0,Temporary Layoff
487,BFN Operations LLC,Cornelius,2014-06-30 00:00:00,2014-09-30 00:00:00,100.0,Permanent closure
488,Kmart Corporation,Albany,2014-06-12 00:00:00,2014-09-14 00:00:00,64.0,Permanent closure
489,"LAIKA, LLC",Hillsboro,2014-05-19 00:00:00,2014-07-19 00:00:00,76.0,Permanent closure
490,URS-Umatilla Chemical Agent Disposal,Hermiston,2014-05-14 00:00:00,2014-07-17 00:00:00,25.0,Large Layoff - 10 or more workers
491,Commercial Vehicle Group Inc.,Tigard,2014-05-09 00:00:00,2015-04-30 00:00:00,120.0,Permanent closure
492,Commercial Vehicle Group Inc.,Tigard,2014-05-09 00:00:00,2015-01-26 00:00:00,117.0,Permanent closure
493,Welch Allyn,Beaverton,2014-04-01 00:00:00,2015-03-27 00:00:00,9.0,Large Layoff - 10 or more workers
494,Welch Allyn,Beaverton,2014-04-01 00:00:00,2015-01-31 00:00:00,14.0,Large Layoff - 10 or more workers
495,Welch Allyn,Beaverton,2014-04-01 00:00:00,2014-12-19 00:00:00,45.0,Large Layoff - 10 or more workers
496,Welch Allyn,Beaverton,2014-04-01 00:00:00,2014-09-26 00:00:00,1.0,Large Layoff - 10 or more workers
497,Welch Allyn,Beaverton,2014-04-01 00:00:00,2014-07-27 00:00:00,1.0,Large Layoff - 10 or more workers
498,Welch Allyn,Beaverton,2014-04-01 00:00:00,2014-06-27 00:00:00,1.0,Large Layoff - 10 or more workers
499,Welch Allyn,Beaverton,2014-04-01 00:00:00,2014-05-30 00:00:00,13.0,Large Layoff - 10 or more workers
500,CenturyLink Customer Contact Sales & Se,Medford,2014-03-19 00:00:00,2014-06-06 00:00:00,114.0,Permanent closure
501,West Linn Paper Co,West Linn,2014-08-22 00:00:00,2014-03-19 00:00:00,41.0,Reduction
502,Sierra Pines Ltd.,Springfield,2014-02-05 00:00:00,2014-04-04 00:00:00,87.0,Permanent closure
503,Glenn Walters Nursery,Cornelius,2014-01-17 00:00:00,2014-01-17 00:00:00,119.0,Large Layoff - 10 or more workers
504,System Services of America Inc,Portland,2013-11-06 00:00:00,2014-02-02 00:00:00,78.0,Permanent closure
505,Evergreen International Airlines Inc.,Mcminnville,2013-11-07 00:00:00,2013-11-07 00:00:00,131.0,Large Layoff - 10 or more workers
506,Happy Guests Intl. - Salty's,Portland,2020-05-14 00:00:00,,,Temporary Layoff
507,BOISE CASCADE ELGIN PLYWOOD MILL       ,ELGIN                         ,2022-12-14 00:00:00,,,Large Layoff - 10 or more workers
508,"Rise Services, Inc.","Mesa, AZ",2023-07-18 00:00:00,,,Permanent closure
509,Centerra ,"Herndon, VA",2023-08-10 00:00:00,,,Permanent closure
510,Bank of America,Hillsboro,2013-10-25 00:00:00,2013-10-23 00:00:00,59.0,Large Layoff - 10 or more workers
511,Wells Fargo Home Mortgage Retail Retail,Portland,2013-10-23 00:00:00,2013-12-22 00:00:00,92.0,Large Layoff - 10 or more workers
512,American Bridge Manufacturing Company,"Coraopolis, PA",2013-10-08 00:00:00,2013-12-09 00:00:00,51.0,Permanent closure
513,CapitalOne,Portland,2013-09-12 00:00:00,2013-12-07 00:00:00,66.0,Large Layoff - 10 or more workers
514,Dutchmen,Clackamas,2013-09-10 00:00:00,2013-11-15 00:00:00,163.0,Permanent closure
515,URS-UMCDF,Hermiston,2013-08-22 00:00:00,2013-10-24 00:00:00,4.0,Large Layoff - 10 or more workers
516,Blount International,Portland,2013-08-09 00:00:00,2013-10-22 00:00:00,198.0,Large Layoff - 10 or more workers
