,company_name,location,notice_date,layoff_date,employees_affected,Layoff Type
95,Elmer's Restaurants,Portland,2020-11-13 00:00:00,2020-11-13 00:00:00,280.0,Temporary Layoff
96,Macy's Inc,Portland,2020-11-16 00:00:00,2021-01-18 00:00:00,83.0,Permanent closure
97,SYUFY Enterprises - VillaSport,Beaverton,2020-10-23 00:00:00,2020-12-21 00:00:00,59.0,Reduction
98,DoubleTree - Hilton Portland,Portland,2020-09-30 00:00:00,2020-09-30 00:00:00,59.0,Reduction
99,Boise Cascade - Elgin Plywood Facility,Elgin,2020-11-16 00:00:00,2021-01-01 00:00:00,229.0,Permanent closure
100,SP+,Portland,2020-09-25 00:00:00,2020-03-24 00:00:00,89.0,Reduction
101,Sodexo - Gresham-Barlow SD  ,Gresham,2020-09-17 00:00:00,2020-03-13 00:00:00,85.0,Temporary Layoff
102,Sodexo - Salem-Keizer SD,Salem,2020-09-17 00:00:00,2020-03-13 00:00:00,358.0,Temporary Layoff
103,Sodexo - Medford SD,Medford,2020-09-17 00:00:00,2020-03-13 00:00:00,111.0,Temporary Layoff
104,PF Chang's,Hillsboro,2020-09-18 00:00:00,2020-09-18 00:00:00,75.0,Other
105,PF Chang's - Eugene,Eugene,2020-09-18 00:00:00,2020-09-18 00:00:00,75.0,Other
106,LAGS Medical Center - Salem,Salem,2020-09-03 00:00:00,2020-11-02 00:00:00,4.0,Small Layoff  1 – 10 workers
107,LAGS Medical Center - Portland,Portland,2020-09-03 00:00:00,2020-11-02 00:00:00,7.0,Small Layoff  1 – 10 workers
108,Bon Appetit,Portland,2020-09-01 00:00:00,2020-09-30 00:00:00,224.0,Other
109,Bon Appetit,Portland,2020-09-01 00:00:00,2020-09-30 00:00:00,170.0,Reduction
110,Dave & Buster's,Happy Valley,2020-09-08 00:00:00,2020-11-08 00:00:00,84.0,Reduction
111,PGE - Boardman,Boardman,2020-09-01 00:00:00,2020-11-05 00:00:00,22.0,Permanent closure
112,LAIKA,Hillsboro,2020-08-14 00:00:00,2020-09-01 00:00:00,50.0,Large Layoff - 10 or more workers
113,HMSHost,Portland,2020-08-11 00:00:00,2020-10-15 00:00:00,51.0,Reduction
114,Nike (Lifeworks) - Beaverton,Beaverton,2020-07-20 00:00:00,2020-10-20 00:00:00,66.0,Reduction
115,Nike (Lifeworks) - Hillsboro,Hillsboro,2020-07-20 00:00:00,2020-09-25 00:00:00,23.0,Reduction
116,Nike (Lifeworks) - Beaverton,Beaverton,2020-07-20 00:00:00,2020-09-25 00:00:00,355.0,Reduction
117,Alaska Airlines - Portland Internationa,Portland,2020-07-29 00:00:00,2020-10-01 00:00:00,277.0,Reduction
118,Embassy Suites Portland-Downtown,Portland,2020-07-31 00:00:00,2020-03-20 00:00:00,70.0,Large Layoff - 10 or more workers
119,"LSG Group - Sky Chefs, Inc",Portland,2020-07-31 00:00:00,2020-10-01 00:00:00,193.0,Large Layoff - 10 or more workers
120,Nike - Childcare  ,Beaverton,2020-07-23 00:00:00,2020-10-01 00:00:00,192.0,Reduction
121,Nike,Beaverton,2020-07-23 00:00:00,2020-10-01 00:00:00,308.0,Reduction
122,Nike,Beaverton,2020-07-23 00:00:00,2020-07-23 00:00:00,700.0,Reduction
123,American Queen Steamboat Company ,"New Albany, IN",2020-07-22 00:00:00,2020-09-24 00:00:00,250.0,Large Layoff - 10 or more workers
124,Vesta ,Lake Oswego,2020-07-22 00:00:00,2020-07-22 00:00:00,20.0,Permanent closure
125,Pioneer Pacific College,Portland,2020-07-21 00:00:00,2020-07-31 00:00:00,41.0,Permanent closure
126,Pioneer Pacific College - Beaverton,Beaverton,2020-07-21 00:00:00,2020-07-31 00:00:00,39.0,Permanent closure
127,Pioneer Pacific College - Springfield,Springfield,2020-07-21 00:00:00,2020-07-31 00:00:00,51.0,Permanent closure
128,United - PDX,Portland,2020-07-08 00:00:00,2020-10-01 00:00:00,119.0,Reduction
129,United - PDX,Portland,2020-07-08 00:00:00,2020-10-01 00:00:00,3.0,Reduction
130,arauco - Albany ,Albany,2020-07-06 00:00:00,2020-07-06 00:00:00,75.0,Reduction
131,Hampton Inn & Suites - Portland,Portland,2020-07-06 00:00:00,2020-06-30 00:00:00,41.0,Reduction
132,Atrium Hospitality - Portland Embassy S,Portland,2020-05-13 00:00:00,2020-03-12 00:00:00,105.0,Other
133,Hilton Portland Downtown,Portland,2020-06-30 00:00:00,2020-03-22 00:00:00,330.0,Other
134,The Coca -Cola Company Odwalla's - Port,Portland,2020-06-30 00:00:00,2020-08-31 00:00:00,30.0,Permanent closure
135,Levy Premium Foodservice...LLC,Portland,2020-06-24 00:00:00,2020-08-01 00:00:00,54.0,Reduction
136,Hyatt Regency - Portland,Portland,2020-06-19 00:00:00,2021-01-13 00:00:00,2.0,Temporary Layoff
137,Hyatt Regency - Portland,Portland,2020-06-19 00:00:00,2020-11-01 00:00:00,1.0,Reduction
138,Hyatt Regency - Portland,Portland,2020-06-19 00:00:00,2020-10-30 00:00:00,4.0,Reduction
139,Hyatt Regency - Portland,Portland,2020-06-19 00:00:00,2020-09-04 00:00:00,8.0,Temporary Layoff
140,Hyatt Regency - Portland,Portland,2020-06-19 00:00:00,2020-03-20 00:00:00,181.0,Temporary Layoff
141,The Bay Company - Portland,Tigard,2020-06-09 00:00:00,2020-09-29 00:00:00,125.0,Other
142,The Bay Company - Portland,Tigard,2020-06-09 00:00:00,2020-04-15 00:00:00,289.0,Large Layoff - 10 or more workers
143,Kimpton Hotel Monaco Portland,Portland,2020-06-12 00:00:00,2020-03-13 00:00:00,147.0,Large Layoff - 10 or more workers
144,Kimpton Riverplace Hotel,Portland,2020-06-12 00:00:00,2020-03-13 00:00:00,79.0,Large Layoff - 10 or more workers
145,Kimpton Hotel Vintage Portland,Portland,2020-06-12 00:00:00,2020-03-01 00:00:00,94.0,Large Layoff - 10 or more workers
146,ATI Albany Operations,Albany,2020-06-10 00:00:00,2020-12-07 00:00:00,76.0,Permanent closure
147,ATI Albany Operations,Albany,2020-06-10 00:00:00,2020-10-26 00:00:00,135.0,Large Layoff - 10 or more workers
148,PCC Structurals - Portland,Portland,2020-06-04 00:00:00,2020-07-24 00:00:00,94.0,Reduction
149,PCC Structurals - Clackamas,Clackamas,2020-06-04 00:00:00,2020-04-15 00:00:00,170.0,Reduction
150,PCC Structurals - Portland,Portland,2020-06-04 00:00:00,2020-04-15 00:00:00,547.0,Reduction
151,PCC Structurals - Redmond,Redmond,2020-06-04 00:00:00,2020-04-13 00:00:00,175.0,Large Layoff - 10 or more workers
152,"Continuum Global Solutions, LLC",Portland,2020-06-10 00:00:00,2020-08-12 00:00:00,255.0,Permanent closure
153,EVRAZ - Portland,Portland,2020-06-08 00:00:00,2020-06-08 00:00:00,65.0,Reduction
154,Marriott Portland Downtown Waterfront ,Portland,2020-06-05 00:00:00,2020-11-06 00:00:00,145.0,Reduction
155,Marriott Portland Downtown Waterfront ,Portland,2020-06-05 00:00:00,2020-03-21 00:00:00,248.0,Temporary Layoff
156,Benson Hotel,Portland,2020-06-01 00:00:00,2020-06-01 00:00:00,81.0,Reduction
157,Embassy Suites - Portland - Wash Sq ,Tigard,2020-05-31 00:00:00,2020-06-01 00:00:00,7.0,Temporary Layoff
