,company_name,location,notice_date,employees_affected,URL
108,Bass Shoe Outlet,,"Jan 03, 2020",10.0,https://joblink.maine.gov/search/warn_lookups/254
109,Joyce's,,"Jan 02, 2020",,https://joblink.maine.gov/search/warn_lookups/255
110,Home Care for Maine,,"Jan 30, 2020",,https://joblink.maine.gov/search/warn_lookups/256
111,Aroostook Milling,"191 Parsons Road; Presque Isle, Maine 04769","Feb 04, 2020",2.0,https://joblink.maine.gov/search/warn_lookups/257
112,Burger King,"795 Main St; Presques Isle, Maine 04769","Feb 01, 2020",70.0,https://joblink.maine.gov/search/warn_lookups/258
113,Bolsters Mills General Store,,"Jan 31, 2020",7.0,https://joblink.maine.gov/search/warn_lookups/259
114,Sleepers,,"Jan 13, 2020",3.0,https://joblink.maine.gov/search/warn_lookups/261
115,Days Milk Transport/Countryside Restaurant,,"Jan 02, 2020",37.0,https://joblink.maine.gov/search/warn_lookups/262
116,"Huhtamaki, Inc",,"Mar 20, 2020",102.0,https://joblink.maine.gov/search/warn_lookups/282
117,Kay Jewelers,,"Jan 07, 2020",7.0,https://joblink.maine.gov/search/warn_lookups/263
118,Pier 1,,"Jan 27, 2020",15.0,https://joblink.maine.gov/search/warn_lookups/264
119,Ship City Taxi,,"Feb 14, 2020",8.0,https://joblink.maine.gov/search/warn_lookups/268
120,Wayfair,,"Feb 13, 2020",,https://joblink.maine.gov/search/warn_lookups/269
121,Irving Forest Products,,"Jan 16, 2020",,https://joblink.maine.gov/search/warn_lookups/270
122,Salley's Auto Repair,,"Feb 11, 2020",3.0,https://joblink.maine.gov/search/warn_lookups/271
123,Wendy's,,"Jan 30, 2020",30.0,https://joblink.maine.gov/search/warn_lookups/272
124,Office Max,,"Feb 21, 2020",20.0,https://joblink.maine.gov/search/warn_lookups/273
125,Party City,,"Feb 19, 2020",12.0,https://joblink.maine.gov/search/warn_lookups/274
126,"FormTek, In",,"Feb 27, 2020",7.0,https://joblink.maine.gov/search/warn_lookups/275
127,The BedWorks of Maine,,"Feb 28, 2020",10.0,https://joblink.maine.gov/search/warn_lookups/276
128,"L.L. Bean, Inc.",,"Feb 05, 2020",,https://joblink.maine.gov/search/warn_lookups/277
129,DiElectric LLC,,"Feb 13, 2020",40.0,https://joblink.maine.gov/search/warn_lookups/278
130,Whittemore & Sons Tractor & Power Equipment,,"Mar 17, 2020",3.0,https://joblink.maine.gov/search/warn_lookups/279
131,American Legion Post 14,,"Mar 17, 2020",4.0,https://joblink.maine.gov/search/warn_lookups/280
132,HMS Host,,"Mar 21, 2020",60.0,https://joblink.maine.gov/search/warn_lookups/281
133,Gissing,,"Mar 25, 2020",84.0,https://joblink.maine.gov/search/warn_lookups/283
134,JS McCarthy Printers,,"Mar 26, 2020",61.0,https://joblink.maine.gov/search/warn_lookups/284
135,Sweetser,,"Apr 10, 2020",10.0,https://joblink.maine.gov/search/warn_lookups/285
136,Prime Motor Group,,"Apr 18, 2020",78.0,https://joblink.maine.gov/search/warn_lookups/286
137,Prime Motor Group,,"Apr 18, 2020",,https://joblink.maine.gov/search/warn_lookups/287
138,18 Below,,"Mar 21, 2020",,https://joblink.maine.gov/search/warn_lookups/288
139,CIEE,,"Mar 27, 2020",256.0,https://joblink.maine.gov/search/warn_lookups/289
140,Eat'n Park Hospitality Group Inc,"11 Hills Beach Rd; Biddeford, Maine 04005","Apr 17, 2020",148.0,https://joblink.maine.gov/search/warn_lookups/290
141,"Bed, Bath & Beyond","490 Payne Road; Scarborough, Maine 04074","Apr 17, 2020",71.0,https://joblink.maine.gov/search/warn_lookups/291
142,"Bed, Bath & Beyond",,"Apr 17, 2020",,https://joblink.maine.gov/search/warn_lookups/292
143,"Bed, Bath & Beyond","46 Spring Drive; Bangor, Maine 04401","Apr 17, 2020",56.0,https://joblink.maine.gov/search/warn_lookups/293
144,"HH Brown Shoe Co., Inc.","71 Railroad Avenue; Dexter, Maine 04930","Apr 01, 2020",10.0,https://joblink.maine.gov/search/warn_lookups/294
145,Whitecraft Scarborough Tempe,,"Apr 30, 2020",125.0,https://joblink.maine.gov/search/warn_lookups/295
146,Tasman,,"May 04, 2020",115.0,https://joblink.maine.gov/search/warn_lookups/296
147,Enterprise Holding Group,"140 Larrabee Road; Westbrook, Maine 04092","Apr 20, 2020",63.0,https://joblink.maine.gov/search/warn_lookups/297
148,Chadwick-BaRoss,,"May 04, 2020",16.0,https://joblink.maine.gov/search/warn_lookups/298
149,HH Brown Retail Store/Super Shoes,"364 Maine Mall Road; South Portland, Maine 04106","Apr 24, 2020",10.0,https://joblink.maine.gov/search/warn_lookups/299
150,HH Brown Retail Store/Super Shoes,"550 Center Street; Auburn, Maine 04210","Apr 24, 2020",11.0,https://joblink.maine.gov/search/warn_lookups/300
151,HH Brown Retail Store/Super Shoes,"930 Stillwater Avenue; Bangor, Maine 04401","Apr 24, 2020",8.0,https://joblink.maine.gov/search/warn_lookups/301
152,HH Brown Retail Store/Super Shoes,"446 High Street; Ellsworth, Maine 04605","Apr 24, 2020",5.0,https://joblink.maine.gov/search/warn_lookups/302
153,HH Brown Retail Store/Super Shoes,"1070 Commercial Street; Rockport, Maine 04856","Apr 24, 2020",5.0,https://joblink.maine.gov/search/warn_lookups/303
154,HH Brown Retail Store/Super Shoes,,"Apr 24, 2020",4.0,https://joblink.maine.gov/search/warn_lookups/304
155,HH Brown Retail Store/Super Shoes,"1 Washington Street; Waterville, Maine 04901","Apr 24, 2020",11.0,https://joblink.maine.gov/search/warn_lookups/305
156,Eric's Restaurant,,"May 14, 2020",11.0,https://joblink.maine.gov/search/warn_lookups/306
157,Westin Portland Harborview,,"May 18, 2020",,https://joblink.maine.gov/search/warn_lookups/307
158,Pedro O'Hara's - Brunswick,,"May 29, 2020",5.0,https://joblink.maine.gov/search/warn_lookups/308
159,Mid State Machine Products,,"Jun 10, 2020",24.0,https://joblink.maine.gov/search/warn_lookups/309
160,Joseph's Fireside Steakhouse,,"Jun 09, 2020",50.0,https://joblink.maine.gov/search/warn_lookups/310
161,Sweetser,,"Apr 01, 2020",,https://joblink.maine.gov/search/warn_lookups/311
162,"Whitcraft Scarborough Tempe, LLC",,"Apr 30, 2020",125.0,https://joblink.maine.gov/search/warn_lookups/312
163,White Barn Inn,,"Mar 31, 2020",43.0,https://joblink.maine.gov/search/warn_lookups/313
164,Hollywood Casino Hotel & Raceway,,"Jun 15, 2020",121.0,https://joblink.maine.gov/search/warn_lookups/314
165,Pratt & Whitney,,"Jun 01, 2020",,https://joblink.maine.gov/search/warn_lookups/315
166,"Huhtamaki, Inc.",,"Mar 24, 2020",102.0,https://joblink.maine.gov/search/warn_lookups/316
167,HMS Host,,"Mar 20, 2020",240.0,https://joblink.maine.gov/search/warn_lookups/317
168,Starc Systems Inc,,"Jun 22, 2020",32.0,https://joblink.maine.gov/search/warn_lookups/318
169,Nicky's Cruisin Diner,,"Jun 23, 2020",,https://joblink.maine.gov/search/warn_lookups/319
170,Dempsey Center for Quality Cancer,,"Jul 01, 2020",,https://joblink.maine.gov/search/warn_lookups/320
171,"NRF Distributors, Inc.",,"Jul 08, 2020",17.0,https://joblink.maine.gov/search/warn_lookups/321
172,SAPPI,,"Jul 13, 2020",75.0,https://joblink.maine.gov/search/warn_lookups/322
173,Pixelle Specialty Solutions,,"Jul 14, 2020",59.0,https://joblink.maine.gov/search/warn_lookups/323
174,Coca-Cola/Odwalla,,"Jul 14, 2020",,https://joblink.maine.gov/search/warn_lookups/324
175,US Citizenship & Immigration Service / USCIS,,"Jul 16, 2020",,https://joblink.maine.gov/search/warn_lookups/325
176,Sears - Brunswick,,"Feb 10, 2020",15.0,https://joblink.maine.gov/search/warn_lookups/327
177,Foshay-Carlton Cards & Gifts,,"Jul 24, 2020",2.0,https://joblink.maine.gov/search/warn_lookups/328
178,PTM Inc / Pat's Pizza,,"Jul 27, 2020",6.0,https://joblink.maine.gov/search/warn_lookups/329
179,Conform Gissing International,,"Sep 20, 2019",38.0,https://joblink.maine.gov/search/warn_lookups/232
180,KMart,,"Nov 08, 2019",80.0,https://joblink.maine.gov/search/warn_lookups/172
181,E-Waste,,"Jan 09, 2019",6.0,https://joblink.maine.gov/search/warn_lookups/177
182,Key Bank,,"Jan 24, 2019",15.0,https://joblink.maine.gov/search/warn_lookups/178
183,Taco Bell,,"Jan 17, 2019",5.0,https://joblink.maine.gov/search/warn_lookups/179
184,Barclays Card,,"Jan 08, 2019",,https://joblink.maine.gov/search/warn_lookups/180
185,Office Max,,"Apr 02, 2019",,https://joblink.maine.gov/search/warn_lookups/181
186,Sonogee Rehab Center,,"Feb 25, 2019",50.0,https://joblink.maine.gov/search/warn_lookups/183
