,company_name,location,notice_date,layoff_date,employees_affected,Type
429,Kimpton Hotel Monaco Baltimore Inner Harbor,"2 N. Charles Street Baltimore, MD 21201",6/26/2020,3/11/2020,94,2
430,Renaissance Baltimore Harbor Place Hotel,"202 East Pratt Street Baltimore, MD 21202",6/26/2020,3/23/2020,212,2
431,Macy's,"1295 Annapolis Mall Annapolis, MD 21401",6/26/2020,6/30/2020,103,2
432,Macy's,"10300 Little Patuxent Parkway Columbia, MD 21044",6/26/2020,6/30/2020,131,2
433,Double Tree Annapolis,"210 Holiday Court Annapolis, MD 21401",6/29/2020,3/24/2020,54,2
434,Delaware North Companies,"Oriole Park at Camden Yards 555 Russell Street Suite B Baltimore, MD 21230",7/10/2020,3/23/2020,350,2
435,Hard Rock Café Baltimore,"601 E. Pratt Street Baltimore, MD 21202",7/14/2020,4/13/2020,69,2
436,YogaWorks,"160 Governor Ritchie Highway Severna Park, MD 21146",7/17/2020,3/17/2020,26,2
437,YogaWorks,"1807 Thames Street Baltimore, MD 21231",7/17/2020,3/17/2020,36,2
438,YogaWorks,"107 E. Preston Street Baltimore, MD 21202",7/17/2020,3/17/2020,73,2
439,YogaWorks,"1777 Reisterstown Road Pikesville, MD 21208",7/17/2020,3/17/2020,24,2
440,YogaWorks,"7 Allegheny Avenue Towson, MD 21204",7/17/2020,3/17/2020,36,2
441,YogaWorks,"8325 Guilford Road Columbia, MD 21046",7/17/2020,3/17/2020,28,2
442,JC Penney,"3500 East West Highway Suite 1000 Hyattsville, MD 20782",7/17/2020,9/27/2020,94,1
443,Hilton Baltimore Convention Center Hotel,"401 West Pratt Street Baltimore, MD 21201",7/21/2020,3/21/2020,380,2
444,The Bygone,"400 International Drive 29th Floor Baltimore, MD 21202",7/28/2020,7/24/2020,46,2
445,The Elk Room,"1010 Fleet Street Baltimore, MD 21202",7/29/2020,7/24/2020,1,2
446,"IPIC Theaters, LLC","11830 Park Avenue #1102 North Bethesda, MD 20852",8/6/2020,8/7/2020,100,2
447,Double Tree by Hilton,"8727 Colesville Road Silver Spring, MD 20910",8/7/2020,3/22/2020,71,2
448,"Guest Services, Inc.","Domino Sugar 1100 Key Highway Baltimore, MD 21230",8/7/2020,9/25/2020,4,2
449,"Guest Services, Inc.","Hogan Lovells 111 South Calvert Street Baltimore, MD 21202",8/7/2020,9/25/2020,1,2
450,"Guest Services, Inc.","McCormick Company Store 24 Schilling Road #1 Hunt Valley, MD 21031",8/7/2020,9/25/2020,1,2
451,"Guest Services, Inc.","NAS Patuxent River Cafeteria 47123 Buse Road #540 Patuxent River, MD 20607",8/7/2020,9/25/2020,13,2
452,"Guest Services, Inc.","NG BWI ATL 1212 Winterson Road Linthicum, MD 21090",8/7/2020,9/25/2020,3,2
453,"Guest Services, Inc.","NG BWI Central 7323 Aviation Blvd. Baltimore, MD 21203",8/7/2020,9/25/2020,11,2
454,"Guest Services, Inc.","NIH 5601 Fishers Lane Rockville, MD 20852",8/7/2020,9/25/2020,13,2
455,"Guest Services, Inc.","Office of Naval Intelligence 4251 Suitland Road Suitland, MD 20746",8/7/2020,9/25/2020,2,2
456,"Guest Services, Inc.","Rockwell Collins 2551 Riva Road Annapolis, MD 21401",8/7/2020,9/25/2020,6,2
457,"Guest Services, Inc.","Walter Reed Medical Center 8901 Wisconsin Avenue Bldg. 2 Bethesda, MD 20889",8/7/2020,9/25/2020,16,2
458,"Quest Diagnostics, Inc.","1901 Sulphur Springs Road Halethorpe, MD 21227",8/7/2020,9/27/2020,52,2
459,"TL Transportation, LLC","861 E. Gude Drive Rockville, MD 20850",8/12/2020,10/15/2020,70,1
460,"Maritz Holdings, Inc.","5202 Presidents Court Suite 310 Frederick, MD 21703",8/12/2020,10/16/2020,127,2
461,Capital One Financial,"7566 Ridge Road Hanover, MD 21076",8/20/2020,10/20/2020,0,1
462,Capital One Financial,"9245 Baltimore National Pike Ellicott City, MD 21042",8/20/2020,10/20/2020,0,1
463,Capital One Financial,"802 Pleasant Drive Rockville, MD 20850",8/20/2020,10/20/2020,0,1
464,Capital One Financial,"402 East Ridgeville Boulevard Mt. Airy, MD 21771",8/20/2020,10/20/2020,0,1
465,Sodexo,"842 Elkridge Landing Road Linthicum, MD 21090",8/26/2020,8/31/2020,4,2
466,Sodexo,"9230 Sigaba Way Fort Meade, MD 20755",8/26/2020,8/31/2020,3,2
467,Sodexo,"9800 Savage Road Fort Meade, MD 20755",8/26/2020,8/31/2020,39,2
468,Sodexo,"9817 Erskine Road Fort Meade, MD 20755",8/26/2020,8/31/2020,4,2
469,Sodexo,"9840 O'Brien Road Fort Meade, MD 20755",8/26/2020,8/31/2020,2,2
470,Sodexo,"2730 Hercules Drive Annapolis Junction, MD 20701",8/26/2020,8/31/2020,1,2
471,Sodexo,"318 National Business Pkwy. Annapolis Junction, MD 20701",8/26/2020,8/31/2020,1,2
472,Sodexo,"8197 Dorsey Run Road Annapolis Junction, MD 20701",8/26/2020,8/31/2020,2,2
473,Sodexo,"9111 Sterling Drive Laurel, MD 20723",8/26/2020,8/31/2020,2,2
474,"Stellar Partners, Inc.","BWI Airport 7050 Friendship Road Baltimore, MD 21240",8/27/2020,3/16/2020,19,2
475,Airport Management Services and Hudson Group,"BWI Airport 7050 Friendship Road Baltimore, MD 21240",9/1/2020,8/31/2020,60,2
476,Avis Budget Group,"7432 New Ridge Road Hanover, MD 21076",9/1/2020,9/4/2020,5,2
477,Avis Budget Group,"7145 Ritchie Highway Glen Burnie, MD 21061",9/1/2020,9/4/2020,1,2
478,Avis Budget Group,"1429 Aliceanna Street Baltimore, MD 21231",9/1/2020,9/4/2020,1,2
479,Avis Budget Group,"291 Bucheimer Road Frederick, MD 21701",9/1/2020,9/4/2020,5,2
480,"Marriott International, Inc.","10400 Fernwood Road Bethesda, MD 20817",9/3/2020,10/23/2020,673,2
481,Dave & Buster's,"8611 Colesville Road Suite 102 Silver Spring, MD 20910",9/9/2020,3/16/2020,117,2
482,Dave & Buster's,"9811 Washingtonian Blvd. Suite H1 Gaithersburg, MD 20878",9/9/2020,3/16/2020,148,2
483,Royal Sonesta Harbor Court Hotel,"550 Light Street Baltimore, MD 21202",9/11/2020,4/1/2020,66,2
484,"Compass Group USA, Inc. d/b/a Chartwells","Towson University 8000 York Road Baltimore, MD 21252",9/15/2020,3/11/2020,349,2
485,Compass Group USA d/b/a Chartwells at University of Maryland-Baltimore County,"1000 Hilltop Circle Baltimore, MD 21250",9/15/2020,3/12/2020,87,2
486,"Freeman Digi Ventures, LLC","9900 Business Parkway Lanham, MD 20706",9/21/2020,6/30/2020,1,2
487,"Freeman Expositions, LLC","9900 Business Parkway Lanham, MD 20706",9/21/2020,6/30/2020,19,2
488,"Freeman Expositions, LLC","9900 Business Parkway Lanham, MD 20706",9/21/2020,6/30/2020,12,2
489,P.F. Chang's China Bistro,"307 Sail Place Annapolis, MD 21401",9/21/2020,3/16/2020,75,2
490,P.F. Chang's China Bistro,"8342 Honeygo Boulevard Baltimore, MD 21236",9/21/2020,3/16/2020,75,2
491,P.F. Chang's China Bistro,"10300 Little Patuxent Parkway Columbia, MD 21044",9/21/2020,3/16/2020,75,2
492,P.F. Chang's China Bistro,"825 Dulaney Valley Road Suite 1161 Towson, MD 21204",9/21/2020,3/16/2020,75,2
493,"Rosa Mexicano National Harbor, LLC","153 Waterfront Street Oxon Hill, MD 20745",9/22/2020,3/16/2020,115,2
494,"International Limousine Service, Inc.","12270 Wilkins Avenue Rockville, MD 20852",9/30/2020,9/24/2020,34,2
495,"Errands Plus, Inc.","12270 Wilkins Avenue Rockville, MD 20852",9/30/2020,9/24/2020,131,2
496,"RMA Coach, LLC","12270 Wilkins Avenue Rockville, MD 20852",9/30/2020,9/24/2020,34,2
497,Candlewood Suites Baltimore-Linthicum,"1247 Winterson Road Linthicum, MD 21090",10/1/2020,11/30/2020,16,2
498,"Le Tote, Inc.","11311 Rockville Pike Kensington, MD 20852",10/2/2020,12/1/2020,40,1
499,"Le Tote, Inc.","10300 Little Patuxent Parkway Columbia, MD 21044",10/2/2020,12/1/2020,29,1
500,Unitech Consulting d/b/a Chameleon Integrated Services,"6910 Cooper Avenue Fort Meade, MD 20755",10/13/2020,12/6/2020,79,2
501,"Carey International, Inc.","7445 New Technology Way Frederick, MD 21703",10/15/2020,11/27/2020,4,2
502,"PAE Shared Services, LLC","23013 Cedar Point Road Bldg. 2118 Patuxent River, MD 20670",10/16/2020,12/12/2020,296,2
503,"Maritz Holdings, Inc.","5202 Presidents Court Suite 310 Frederick, MD 21703",10/22/2020,2/22/2021,21,2
504,Schulte Companies d/b/a Embassy Suites Inner Harbor Hotel,"222 St. Paul Place Baltimore, MD 212020",4/1/2020 (REVISED) 10/22/2020,3/16/2020 (REVISED) 10/22/2020 11/26/2020,103 (REVISED) 10/22/2020 108,1
505,Aramark at Guiness Brewery,"5001 Washington Blvd. Halethorpe, MD 21227",10/27/2020,3/31/2020,70,2
506,Crothall Healthcare,"Medstar Harbor 3001 S. Hanover St. Baltimore, MD 21225",10/30/2020,12/31/2020,70,2
507,Crothall Healthcare,"Good Samaritan 5601 Loch Raven Road Baltimore, MD 21239",10/30/2020,12/31/2020,61,2
508,Crothall Healthcare,"Union Memorial 201 E. University Parkway Baltimore, MD 21218",10/30/2020,12/31/2020,142,2
509,"La Madeleine de Corps, Inc.","7607 Old Georgetown Road Bethesda, MD 20814",11/4/2020,12/31/2020,20,2
510,"Centene Management Company, LLC","1201 Winterson Road 4th Floor Linthicum Heights, MD 21090",11/4/2020,12/31/2020,224,1
511,"Pet Valu, Inc.","1308 Main Chapel Way Gambrills, MD 21054",11/5/2020,1/6/2021,5,2
512,"Pet Valu, Inc.","940 Bay Ridge Road Unit A-4 Annapolis, MD 21403",11/5/2020,1/6/2021,10,2
513,"Pet Valu, Inc.","68 Central Avenue W Edgewater, MD 21037",11/5/2020,1/6/2021,9,2
514,"Pet Valu, Inc.","4115 Mountain Road Suite 4193 Pasadena, MD 21122",11/5/2020,1/6/2021,8,2
515,"Pet Valu, Inc.","895 East Fort Avenue Baltimore, MD 21230",11/5/2020,1/6/2021,8,2
516,"Pet Valu, Inc.","1209 N. Charles Street Suite 1 Baltimore, MD 21201",11/5/2020,1/6/2021,6,2
517,"Pet Valu, Inc.","711 W. 40th Street Suite 161 Baltimore, MD 21211",11/5/2020,1/6/2021,6,2
518,"Pet Valu, Inc.","9910-9912 Reisterstown Road Owings Mills, MD 21117",11/5/2020,1/6/2021,3,2
519,"Pet Valu, Inc.","5007 Honeygo Center Drive Perry Hall, MD 21128",11/5/2020,1/6/2021,13,2
520,"Pet Valu, Inc.","114 Shawan Road Suite 4 Hunt Valley, MD 21030",11/5/2020,1/6/2021,7,2
521,"Pet Valu, Inc.","2570-72 Quarry Lake Drive Baltimore, MD 21209",11/5/2020,1/6/2021,4,2
522,"Pet Valu, Inc.","18 W. Ridgely Road Timonium, MD 21093",11/5/2020,1/6/2021,7,2
523,"Pet Valu, Inc.","1758 Merritt Boulevard Dundalk, MD 20754",11/5/2020,1/6/2021,5,2
524,"Pet Valu, Inc.","1305 West 7th Street Suite 28 Frederick, MD 21702",11/5/2020,1/6/2021,10,2
525,"Pet Valu, Inc.","317 East Ridgeville Boulevard Mt. Airy, MD 21771",11/5/2020,1/6/2021,8,2
526,"Pet Valu, Inc.","2315 Hanover Pike Hampstead, MD 21074",11/5/2020,1/6/2021,6,2
527,"Pet Valu, Inc.","11099 Resort Road Suite A302 Ellicott City, MD 21042",11/5/2020,1/6/2021,4,2
528,"Pet Valu, Inc.","9165 Rothbury Drive Space 20/21 Gaithersburg, MD 20879",11/5/2020,1/6/2021,6,2
529,"Pet Valu, Inc.","18115 Town Center Drive Olney, MD 20832",11/5/2020,1/6/2021,8,2
530,"Pet Valu, Inc.","9809 Main Street Suite 103 Damascus, MD 20872",11/5/2020,1/6/2021,11,2
531,"Pet Valu, Inc.","7723-7725 Tuckerman Lane Potomac, MD 20854",11/5/2020,1/6/2021,7,2
532,"Pet Valu, Inc.","14933 Shady Grove Rockville, MD 20850",11/5/2020,1/6/2021,5,2
533,"Pet Valu, Inc.","22750 New Cut Road Suite D-2 Clarksburg, MD 20871",11/5/2020,1/6/2021,6,2
534,"Pet Valu, Inc.","15904-A Crain Highway Brandywine, MD 20613",11/5/2020,1/6/2021,3,2
535,"Pet Valu, Inc.","10804 Town Center Blvd. Dunkirk, MD 20754",11/5/2020,1/6/2021,5,2
536,"Pet Valu, Inc.","40845-100 Merchants Lane Suite 100 Leonardtown, MD 20650",11/5/2020,1/6/2021,7,2
537,"Pet Valu, Inc.","32 Rising Sun Town Center Rising Sun, MD 21911",11/5/2020,1/6/2021,5,2
538,"Pet Valu, Inc.","1016-C Beards Hill Road Store C3 Aberdeen, MD 21001",11/5/2020,1/6/2021,7,2
539,"Pet Valu, Inc.","3491 Merchants Boulevard Abingdon, MD 21009",11/5/2020,1/6/2021,4,2
540,"Pet Valu, Inc.","63 Eastern Boulevard North Hagerstown, MD 21740",11/5/2020,1/6/2021,4,2
541,"Pet Valu, Inc.","18728 N. Pointe Drive Unit C Hagerstown, MD 21742",11/5/2020,1/6/2021,6,2
542,"Pet Valu, Inc.","704 Chase Six Boulevard Boonesboro, MD 21713",11/5/2020,1/6/2021,4,2
543,"Texas Instruments, Inc.","20250 Century Boulevard Germantown, MD 20874",11/5/2020,11/5/2020,50,2
544,Chick-fil-A,"7900 Ritchie Highway Space E-113 Glen Burnie, MD 21061",11/10/2020,1/16/2021,17,2
545,Penn Jersey Paper Company (PJP),"9101 Yellow Brick Road Rosedale, MD 21237",11/16/2020,1/31/2021,18,1
546,"Bed, Bath & Beyond","5210 Campbell Boulevard Baltimore, MD 21236",11/17/2020,1/15/2021,27,1
547,WesTech,"1001 Cathedral Street Baltimore, MD 21201",11/20/2020,1/18/2021,24,2
548,WesTech,"819 N. Charles Street Baltimore, MD 21230",11/20/2020,1/18/2021,5,2
549,WesTech,"1217 St. Paul Street Baltimore, MD 21202",11/20/2020,1/18/2021,3,2
550,WesTech,"10 W. Eager Street Baltimore, MD 21201",11/20/2020,1/18/2021,10,2
551,WesTech,"702 Cathedral Street Baltimore, MD 21201",11/20/2020,1/18/2021,4,2
552,WesTech,"814 Cathedral Street Baltimore, MD 21201",11/20/2020,1/18/2021,1,2
553,WesTech,"14 West Mount Vernon Place Baltimore, MD 21201",11/20/2020,1/18/2021,4,2
554,WesTech,"12 West Madison Street Baltimore, MD 21201",11/20/2020,1/18/2021,1,2
555,Washington Metro Area Transit Authority,11 Locations in Prince George's County 3 Locations in Montgomery County,11/24/2020,1/23/2021,"1100-1200 (MD,DC,VA)",2
556,"Fidelity & Guaranty Life Business Services, Inc.","1001 Fleet Street Baltimore, MD 21202",12/1/2020,2/1/2021,37,1
557,National Express,"9729 Philadelphia Road Baltimore, MD 21237",12/2/2020,3/16/2020,87,2
558,Columbia Association,"6310 Hillside Court Suite 100 Columbia, MD 21046",12/9/2020,2/28/2021,70,2
559,GroceryWorks,"2610 Boston Street Baltimore, MD 21224",12/9/2020,2/27/2021,2,2
560,GroceryWorks,"1017 York Road Towson, MD 21204",12/9/2020,2/27/2021,17,2
561,GroceryWorks,"4370 Montgomery Road Ellicott City, MD 21043",12/9/2020,2/27/2021,6,2
562,GroceryWorks,"444 West MD College Westminster, MD 21158",12/9/2020,2/27/2021,2,2
563,Admiral's Cup,"1647 Thames Street Baltimore, MD 21231",12/15/2020,12/11/2020,5,2
564,Azumi,"725 Aliceanna Street Baltimore, MD 21202",12/15/2020,12/11/2020,50,2
565,Bygone,"Four Seasons 400 International Drive Baltimore, MD 21202",12/15/2020,12/11/2020,60,2
566,The Choptank,"1641 Aliceanna Street Baltimore, MD 21231",12/15/2020,12/11/2020,76,2
567,Elk Room,"1010 Fleet Street Baltimore, MD 21202",12/15/2020,12/11/2020,26,2
568,H.E. Deli,"1006 Aliceanna Street Baltimore, MD 21202",12/15/2020,12/11/2020,8,2
569,Italian Disco,"1006 Fleet Street Baltimore, MD 21202",12/15/2020,12/11/2020,26,2
570,Loch Bar,"240 International Drive Baltimore, MD 21202",12/15/2020,12/11/2020,51,2
571,Maximón,"200 International Drive Baltimore, MD 21202",12/15/2020,12/11/2020,60,2
572,Monarque,"1010 Fleet Street Baltimore, MD 21202",12/15/2020,12/11/2020,26,2
573,Ouzo Bay,"1000 Lancaster Street Suite 100 Baltimore, MD 21202",12/15/2020,12/11/2020,40,2
574,Tagliata,"1012 Fleet Street Baltimore, MD 21202",12/15/2020,12/11/2020,26,2
575,Big Huge Games,"9515 Deereco Road Suite 500 Timonium, MD 21903",12/17/2020,1/15/2021,32,2
576,Cooper's Hawk Winery and Restaurant,"1403 Research Boulevard Rockville, MD 20850",12/22/2020,12/16/2020,51,2
577,Courtyard by Marriott - Columbia,"8910 Standford Boulevard Columbia, MD 21045",12/30/2020,3/1/2021,30,2
578,Shop Rite of White Oak,"12028 Cherry Hill Road Silver Spring, MD 20904",12/30/2020,2/28/2021,142,2
579,Sears Department Store,"2306 N. Salisbury Blvd. Salisbury, MD 21801",1/3/2019,3/24/2019,51,1
580,Staples Fulfillment Center,"7021 Dorsey Road Hanover, MD 21076",1/15/2019,3/16/2019,61,1
581,Bank of America,"11333 McCormick Road Hunt Valley, MD 21031",1/23/2019,4/30/2019,74,2
582,XPO Logistics Worldwide,"610 Chelsea Road Aberdeen, MD 21001",1/25/2019,3/18/2019,167,1
583,"Centerra Group, LLC","11555 Rockville Pike Rockville, MD 2085",2/14/2019,3/31/2019,87,2
584,Under Armour,"1020 Hull Street Baltimore, MD 21230",2/25/2019,3/8/19- 6/30/19,50,2
585,"General Motors, LLC","10301 Philadelphia Road White Marsh, MD 21162",3/4/2019,5/4/2019,296,1
586,Omniplex World Services,"Anne Arundel County, Maryland",3/4/2019,4/30/2019,344,2
587,"New England Motor Freight, INC","1508 John Avenue Baltimore, MD 21227",3/4/2019,2/15/2019,59,1
588,"New England Motor Freight, INC","16503 Hunters Green Parkway Hagerstown, MD",3/4/2019,2/15/2019,93,1
589,"New England Motor Freight, INC","3 Center Drive Northeast, MD 21901",3/4/2019,2/15/2019,81,1
590,"Livanta, LLC","10830 Guilford Road Suite 311 Annapolis Junction, MD 20701-1108",3/8/2019,5/8/2019,94,2
591,MV Contract Transporation,"4501 Curtis Avenue Baltimore, MD 21226",3/15/2019,4/19/2019,249,1
592,Shop Rite Store,"6716 Governor Ritchie Highway Glen Burnie, MD 21061",3/25/2019,5/24/2019,134,1
593,"PayPal, Inc.","101 Schilling Road Suite 40 Hunt Valley, MD 21031",3/28/2019,7/8/2019,180,1
594,"PayPal, Inc.","55 Schilling Road Hunt Valley, MD 21031",3/28/2019,7/8/2019,200,1
595,AECOM Management Services,"4600 Sangamore Road Bethesda, MD 20816",4/19/2019,7/5/2019,TBD,1
596,AECOM Management Services,"Maryland Square Riverdale, MD",4/19/2019,7/5/2019,TBD,1
597,Verso,"300 Pratt Street Luke, MD 21540",4/30/2019,6/30/2019,675,1
598,"Aramark Educational Services, LLC","Coppin State University 2500 W. North Avenue Baltimore, MD 21216",5/16/2019,7/31/2019,69,2
599,Krafcor Industries,"6301 Seaforth Street Baltimore, MD 21224",5/28/2019,7/15/2019,40,1
600,The Sherwin-Williams Company,"10406 Tucker Street Beltsville, MD 20705",5/31/2019,8/2/2019,64,1
601,Lord and Taylor,"701 Russell Avenue, Lakeforest Blvd. Gaithersburg, MD 20877",6/5/2019,9/15/2019,73,1
602,State Farm Mutual Automobile Insurance,"1 State Farm Drive Frederick, MD 21701-9332",6/26/2019,8/31/2019,205,1
603,Meridian Behavioral Health,"2015 Martins Grant Ct Crownsville, MD 21032",7/2/2019,8/31/2019,65,1
604,Chesapeake Bay Candle Company,"226 Dover Road Glen Burnie, MD 21061",7/2/2019,9/13/2019,120,1
605,"RAMPF Molds Industries, Inc.","90 Western Maryland Parkway Hagerstown, MD 21740",7/10/2019,7/23/2019,33,2
606,"Transdev Services, Inc.","1601 Wicomico Street Baltimore, MD 21230",7/10/2019,8/9/2019,18,1
607,JC Penney,"701 Russell Avenue Gaithersburg, MD 20877",7/15/2019,7/5/2019,113,1
608,"DPI Foods Mid Atlantic, Inc.","1000 Prince Georges Blvd Upper Marlboro, MD 20774",7/22/2019,9/21/2019,280,1
609,"NovaSom, Inc","801 Cromwell Park Drive Glen Burnie, MD 21061",7/22/2019,9/1/2019,169,1
610,"Amcor Flexibles, LLC","747 Bowman Avenue Hagerstown, MD 21740",7/23/2019,12/31/2019,74,1
611,"ADP, LLC","11411 Red Run Boulevard Owings Mills, MD 21117",7/29/2019,9/27/2019,123,1
612,KMART,"200 Kent Landing Stevensville, MD 21666",9/4/2019,12/15/2019,60,1
613,Transform SR LLC-01754 (Sears Department Store),"701 Russell Avenue Gaithersburg, MD 20877",9/5/2019,12/1/2019,80,1
614,Transform SR LLC-06544 (Sears Auto Center),"701 Russell Avenue Gaithersburg, MD 20877",9/5/2019,12/1/2019,14,1
615,Nestlé Dreyer's Ice Cream Company,"9090 Whiskey Bottom Rd Laurel, MD 20723",9/9/2019,11/1/2019,69,2
616,"PAE Applied Technologies, LLC","Patuxent River, MD",9/16/2019,11/17/2019,14,2
617,Bob's Discount Furniture,"3015 Festival Way Waldorf, MD 20601",9/30/2019,11/11/19,13,1
618,"Post Community Media, LLC","13501 Konterra Drive Laurel, MD 20707",10/30/2019,12/31/2019,34,1
619,"Beacon Health Options, Inc.","1099 Winterson Road Suite 200 Linthicum, MD 21090",11/1/2019,12/31/2019,65,1
620,Oakwood Worldwide (US) LP,"888 Airport Park Rd Suite A Glen Burnie, MD 21061",11/1/2019,12/31/2019,1,1
621,CEI Collision and Fleet Safety,"940 Ridgebrook Road Sparks, MD 21152",11/19/2019,8/30/2019,66,2
622,Common Securizations Solutions,"7501 Wisconsin Avenue Suite 300-W Bethesda, MD 20814",11/22/2019,11/22/2019,36,2
623,Shoppers Food & Pharmacy,"2371 Solomons Island Road Annapolis, MD 21401",12/6/2019,2/5/2020,72,1
624,Shoppers Food & Pharmacy,"5722 Ritchie Highway Brooklyn Park, MD 21225",12/6/2019,2/5/2020,76,1
625,Shoppers Food & Pharmacy,"22599 MacArthur Blvd. California, MD 20619",12/6/2019,2/5/2020,56,1
626,Shoppers Food & Pharmacy,"4801 Marlboro Pike Capitol Heights, MD 20743",12/6/2019,2/5/2020,73,1
627,Shoppers Food & Pharmacy,"6500 Eastern Avenue Baltimore, MD 21224",12/6/2019,2/5/2020,63,1
628,Shoppers Food & Pharmacy,"7051 Martin Luther King Jr. Highway Landover, MD 20875",12/6/2019,2/5/2020,72,1
629,Shoppers Food & Pharmacy,"8212 Liberty Road Baltimore, MD 21244",12/6/2019,2/5/2020,75,1
630,Shoppers Food & Pharmacy,"6111 Livingston Road Oxon Hill, MD 20745",12/6/2019,2/5/2020,83,1
631,Shoppers Food & Pharmacy,"6881 New Hampshire Avenue Takoma Park, MD 20912",12/6/2019,2/5/2020,67,1
632,Shoppers Food & Pharmacy,"1170 West Smallwood Drive Waldorf, MD 20912",12/6/2019,2/5/2020,67,1
633,Shoppers Food & Pharmacy,"2201 Randolph Road Wheaton, MD 20902",12/6/2019,2/5/2020,81,1
634,A.C. Moore Arts & Crafts,"5 Bel Air South Parkway Bel Air, MD 21015",12/17/2019,2/28/2020,33,1
635,A.C. Moore Arts & Crafts,"7330 Guilford Drive Frederick, MD 21704",12/17/2019,2/28/2020,23,1
636,A.C. Moore Arts & Crafts,"6625A Governor Ritchie Highway Glen Burnie, MD 21061",12/17/2019,2/28/2020,24,1
637,A.C. Moore Arts & Crafts,"17656 Garland Groh Blvd Hagerstown, MD 21740",12/17/2019,2/28/2020,25,1
638,A.C. Moore Arts & Crafts,"10240 Mill Run Circle Suite 1 Owings Mills, MD 21117",12/17/2019,2/28/2020,23,1
639,A.C. Moore Arts & Crafts,"12013 Rockville Pike Rockville, MD 20852",12/17/2019,2/28/2020,40,1
640,A.C. Moore Arts & Crafts,"571 Ritchie Highway Severna Park, MD 21146",12/17/2019,2/28/2020,27,1
641,A.C. Moore Arts & Crafts,"3035 Waldorf Market Place Waldorf, MD 20603",12/17/2019,2/28/2020,40,1
642,A.C. Moore Arts & Crafts,"8115 D Honeygo Blvd. White Marsh, MD 21236",12/17/2019,2/28/2020,24,1
643,Shoppers Food & Pharmacy,"5110 Nicholson Lane Kensington, MD 20895",12/19/2019,2/17/2020,56,1
644,Event Solutions d/b/a Motus One,"8906 Yellow Brick Rd Suite 6 Rosedale, MD 21237",12/26/2019,12/20/2019,9,2
645,Lockheed Martin Aeronautics Division,"3136 Peary Road , Patuxent River, MD 20670",1/9/2018,3/9/2018,20,2
646,Constellation,"1310 Point Street, Baltimore, MD 21231",1/10/2018,12/31/2017,25,2
647,Sam's Club #4766,"9760 Reistertown Rd, Owings Mills, MD 21117",1/11/2018,4/13/2018to 5/11/2018,169,1
648,"CBAC Borrower, LLC d/b/a Horseshoe Baltimore","1525 Russell Street, Baltimore, MD 21230",1/19/2018,2/25/2018,91,2
649,"Compass Group, USA Inc.","10301 Philadelphia Road, White Marsh, MD 21162",2/1/2018,4/1/2018,5,2
650,Transamerica Life Insurance Company,"100 Light Street, Baltimore, MD 21202",2/14/2018,4/14/2018,55,2
651,Cenveo Corp. Port City Press,"1323 Greenwood Rd. Baltimore, MD 21208",3/5/2018,3/5/2018to 5/4/2018,113,1
652,"Ameritox, LLC","7090 Samuel Morse Drive, Suite 300, Columbia, MD 21046",3/6/2018,5/4/2018,99,1
653,"Nantomics, LLC","9600 Medical Center Dr #300 Rockville, MD 20850",3/7/2018,5/8/2018,52,2
654,"Kane Freight Lines, Inc.","14557 Industrial Drive Hagerstown, MD 21740",3/9/2018,5/31/2018,53,1
655,The Lash Group LLC,"9715 Key West Avenue Rockville, MD 20850",3/23/2018,6/1/2018,250,1
656,Cintas Corporation,"136 Lafayette Avem, Laurel, MD 20707",3/23/2018,3/30/2018 - 6/2018,47,2
657,Towson University Marriott Conference Hotel,"10 Burke Ave, Towson, MD 21204",4/9/2018,6/30/2018,60,2
658,First Transit,"8210 Beechcraft Avenue Gaithersburg, MD 20879",5/7/2018,7/1/2018,221,1
659,Howard Bank,"8820 Columbia 100 Parkway, Suite 400, Ellicott City, MD 21045",5/8/2018,6/29/2018,25,1
660,Peoples Bank & Trust Co.,"90 Painters Mill Road, STE210-215, STE 200, Owings Mills, MD 21117",5/25/2018,7/27/2018,82,1
661,AECOM,"20501 Seneca Meadows Parkway Germantown, MD 20876",6/8/2018,7/27/2018 - 8/31/2018,173,2
662,"PESYSTEMS, INC.","1535 Command Drive Andrews AFB, MD 20762",6/12/2018,8/10/2018,4,2
663,"Inovalon, Inc.","7120 Samuel Morse Drive, Columbia, MD 21046",6/15/2018,8/17/2018,70,1
664,Wells Fargo & Company,"8480 Stagecoach Circle Frederick, MD 21701",6/22/2018,8/19/2018,61,2
665,CoStar Group,"7120 Samuel Morse Drive, 3rd Floor, Columbia, MD 21046",6/29/2018,8/31/2018,104,1
666,"Toys ""R"" Us Babies ""R"" Us","7106 Geoffrey Way, Frederick, MD 21704",7/17/2018,9/15/2018,161,1
667,DoubleTree by Hilton-Pikesville,"1726 Reisterstown Road Pikesville, MD 21208",7/30/2018,9/20/18 - 9/30/18,130,2
668,Wells Fargo & Company.,"8435 Progress Dr. Frederick, MD 21701",8/27/2018,10/23/2018,42,2
669,Discovery Inc.,"1 Discovery Place, Silver Spring, MD 20910",8/29/2018,10/1/2018,212,1
670,MedStar Franklin Square Hospital,"9000 Franklin Square Dr Baltimore, MD 21237",8/31/2018,10/31/2018,102,2
671,MedStar Good Samaritan,"5601 Loch Raven Blvd. Baltimore, MD 21239",8/31/2018,10/31/2018,51,2
