,company_name,location,notice_date,layoff_date,employees_affected,Type
264,RTW Retailwinds d/b/a New York & Company,"Arunde Mills Mall 7000 Arundel Mills Circle Hanover, MD 21076",4/8/2020,3/29/2020,12,2
265,RTW Retailwinds d/b/a New York & Company,"Harford Mall 696A Bel Air Road Bel Air, MD 21014",4/8/2020,3/29/2020,9,2
266,RTW Retailwinds d/b/a New York & Company,"Bowie Town Center 15443 Emerald Way Bowie, MD 20716",4/8/2020,3/29/2020,16,2
267,RTW Retailwinds d/b/a New York & Company,"Columbia Mall 10300 Little Patuxent Parkway Columbia, MD 21044",4/8/2020,3/29/2020,31,2
268,RTW Retailwinds d/b/a New York & Company,"Hagerstown Premium Outlets 495 Premium Outlel Blvd. Hagerstown, MD 21740",4/8/2020,3/29/2020,12,2
269,RTW Retailwinds d/b/a New York & Company,"Marley Station Mall 7900 Ritchie Highway Suite E205 Glen Burnie, MD 21061",4/8/2020,3/29/2020,10,2
270,RTW Retailwinds d/b/a New York & Company,"National Harbor 6800 Oxon Hill Road National Harbor, MD 20745",4/8/2020,3/29/2020,16,2
271,RTW Retailwinds d/b/a New York & Company,"Centre at Salisbury 2300 N. Salisbury Blvd. Salisbury, MD 21801",4/8/2020,3/29/2020,10,2
272,RTW Retailwinds d/b/a New York & Company,"Downtown Silver Spring 937 Ellsworth Drive Silver Spring, MD 20910",4/8/2020,3/29/2020,29,2
273,RTW Retailwinds d/b/a New York & Company,"Towson Town Center 825 Dulaney Valley Road Towson, MD 21204",4/8/2020,3/29/2020,23,2
274,RTW Retailwinds d/b/a New York & Company,"St. Charles Town Center 11110 Mall Circle Waldorf, MD 20603",4/8/2020,3/29/2020,17,2
275,RTW Retailwinds d/b/a New York & Company,"TownMall of Westminster 400 North Center Street Westminster, MD 21157",4/8/2020,3/29/2020,6,2
276,RTW Retailwinds d/b/a New York & Company,"Wheaton Mall 11160 Veirs Mill Road Wheaton, MD 20902",4/8/2020,3/29/2020,17,2
277,RTW Retailwinds d/b/a New York & Company,"White Marsh Mall 8200 Perry Hall Blvd. Baltimore, MD 21236",4/8/2020,3/29/2020,17,2
278,Medieval Times,"7000 Arundel Mills Circle Hanover, MD 21076",4/9/2020,4/12/2020,146,2
279,The Bethesda Country Club,"7601 Bradley Boulevard Bethesda, MD 20817",4/13/2020,3/26/2020,128,2
280,Enterprise Holdings,"1861 South Club Drive Landover, MD 20785",4/22/2020,4/30/2020,65,2
281,Next Day Blinds,"8251 Preston Court Jessup, MD 20794",4/23/2020,4/14/2020,453,2
282,Enterprise Holdings,"2273 Research Blvd. Floor 6 & 7 Rockville, MD 20850",4/23/2020,4/30/2020,92,2
283,Visionworks,"169 Jennifer Road Suite D Annapolis, MD 21401",4/23/2020,4/4/2020,10,2
284,Visionworks,"8153-C Honeygo Blvd. Baltimore, MD 21236",4/23/2020,4/4/2020,13,2
285,Visionworks,"15431 Emerald Way Bowie, MD 20716",4/23/2020,4/4/2020,7,2
286,Visionworks,"15902 Crain Highway SE Suite F Brandywine, MD 20613",4/23/2020,4/4/2020,15,2
287,Visionworks,"23415 Three Notch Road Suite 1101 California, MD 20619",4/23/2020,4/4/2020,8,2
288,Visionworks,"6427 Baltimore Pike Suite A Catonsville, MD 21228",4/23/2020,4/4/2020,5,2
289,Visionworks,"10112 York Road Cockeysville, MD 21030",4/23/2020,4/4/2020,3,2
290,Visionworks,"6250 Columbia Crossing Circle Suite K Columbia, MD 21045",4/23/2020,4/4/2020,12,2
291,Visionworks,"5509 Urbana Pike Frederick, MD 21704",4/23/2020,4/4/2020,5,2
292,Visionworks,"631 N. Frederick Avenue Gaithersburg, MD 20879",4/23/2020,4/4/2020,9,2
293,Visionworks,"271 Kentlands Blvd. Gaithersburg, MD 20879",4/23/2020,4/4/2020,5,2
294,Visionworks,"1402 S. Main Chapel Way Suite 114 Gambrills, MD 21054",4/23/2020,4/4/2020,4,2
295,Visionworks,"7000 Arundel Mills Circle Space 404 Hanover, MD 21076",4/23/2020,4/4/2020,11,2
296,Visionworks,"2830 Campus Way N. Suite 628 Lanham, MD 20706",4/23/2020,4/4/2020,8,2
297,Visionworks,"1003 Fairlawn Avenue Suite 24A Laurel, MD 20707",4/23/2020,4/4/2020,5,2
298,Visionworks,"10369 Reisterstown Road Owings Mills, MD 21117",4/23/2020,4/4/2020,6,2
299,Visionworks,"11802-B Rockville Pike Rockville, MD 20852",4/23/2020,4/4/2020,11,2
300,Visionworks,"8652 Pulaski Highway Suite A Rosedale, MD 21237",4/23/2020,4/4/2020,11,2
301,Visionworks,"8551 Fenton Street Silver Spring, MD 20910",4/23/2020,4/4/2020,7,2
302,Visionworks,"825 Dulaney Valley Road Suite 1335 Towson, MD 21204",4/23/2020,4/4/2020,15,2
303,Visionworks,"11110 Mall Circle Waldorf, MD 20603",4/23/2020,4/4/2020,14,2
304,Visionworks,"400 N. Center Street Suite 187 Westminster, MD 21157",4/23/2020,4/4/2020,14,2
305,Visionworks,"11160 Veirs Mill Road P203A Wheaton, MD 20902",4/23/2020,4/4/2020,12,2
306,Visionworks,"656 Bel Air Road Bel Air, MD 21014",4/23/2020,4/4/2020,10,2
307,"OS Restaurant, LLC d/b/a Bonefish Grill","696J Bel Air Road #108 Bel Air, MD 21014",4/27/2020,4/27/2020,57,2
308,"OS Restaurant, LLC d/b/a Bonefish Grill","15910 Crain Highway SE Brandywine, MD 20613",4/27/2020,4/27/2020,46,2
309,"OS Restaurant, LLC d/b/a Bonefish Grill","2381 Brandermill Boulevard Gambrills, MD 21054",4/27/2020,4/27/2020,72,2
310,"OS Restaurant, LLC d/b/a Bonefish Grill","6711 Governor Ritchie Hwy. Glen Burnie, MD 21060",4/27/2020,4/27/2020,47,2
311,"OS Restaurant, LLC d/b/a Bonefish Grill","10906 Boulevard Circle Owings Mills, MD 21117",4/27/2020,4/27/2020,58,2
312,"OS Restaurant, LLC d/b/a Bonefish Grill","127 East Joppa Road Towson, MD 21286",4/27/2020,4/27/2020,49,2
313,"OS Restaurant, LLC d/b/a Bonefish Grill","1305 West 7th Street Frederick, MD 21702",4/27/2020,4/27/2020,54,2
314,"OS Restaurant, LLC d/b/a Bonefish Grill","82 Market Street Gaithersburg, MD 20878",4/27/2020,4/27/2020,51,2
315,"OS Restaurant, LLC d/b/a Carraba's","16431 Governor Bridge Road Bowie, MD 20716",4/27/2020,4/27/2020,66,2
316,"OS Restaurant, LLC d/b/a Carraba's","19935 Century Boulevard Germantown, MD 20874",4/27/2020,4/27/2020,63,2
317,"OS Restaurant, LLC d/b/a Carraba's","12728 Ocean Gateway Ocean City, MD 21842",4/27/2020,4/27/2020,43,2
318,"OS Restaurant, LLC d/b/a Carraba's","8030 Ritchie Highway Pasadena, MD 21122",4/27/2020,4/27/2020,63,2
319,"OS Restaurant, LLC d/b/a Carraba's","3754 Crain Highway Waldorf, MD 20602",4/27/2020,4/27/2020,65,2
320,"OS Restaurant, LLC d/b/a Carraba's","7600 Belair Road Baltimore, MD 21236",4/27/2020,4/27/2020,63,2
321,"OS Restaurant, LLC d/b/a Carraba's","4430 Long Gate Parkway Ellicott City, MD 21043",4/27/2020,4/27/2020,84,2
322,"OS Restaurant, LLC d/b/a Carraba's","130 Shawan Road Hunt Valley, MD 21031",4/27/2020,4/27/2020,68,2
323,"OS Restaurant, LLC d/b/a Flemings","720 Aliceanna Street Baltimore, MD 21202",4/27/2020,4/27/2020,48,2
324,"OS Restaurant, LLC d/b/a Outback Steakhouse","2207 Forest Drive Annapolis, MD 21401",4/27/2020,4/27/2020,99,2
325,"OS Restaurant, LLC d/b/a Outback Steakhouse","4215 Ebenezer Road Baltimore, MD 21236",4/27/2020,4/27/2020,84,2
326,"OS Restaurant, LLC d/b/a Outback Steakhouse","2400 Boston Street Baltimore, MD 21224",4/27/2020,4/27/2020,57,2
327,"OS Restaurant, LLC d/b/a Outback Steakhouse","615 Bel Air Road Bel Air, MD 21014",4/27/2020,4/27/2020,94,2
328,"OS Restaurant, LLC d/b/a Outback Steakhouse","1007 West Patrick Street Frederick, MD 21702",4/27/2020,4/27/2020,97,2
329,"OS Restaurant, LLC d/b/a Outback Steakhouse","2507 Evergreen Road Gambrills, MD 21054",4/27/2020,4/27/2020,77,2
330,"OS Restaurant, LLC d/b/a Outback Steakhouse","7744 Governor Ritchie Hwy. Glen Burnie, MD 21061",4/27/2020,4/27/2020,127,2
331,"OS Restaurant, LLC d/b/a Outback Steakhouse","240 Railway Lane Hagerstown, MD 21740",4/27/2020,4/27/2020,87,2
332,"OS Restaurant, LLC d/b/a Outback Steakhouse","134 Shawan Road Hunt Valley, MD 21030",4/27/2020,4/27/2020,66,2
333,"OS Restaurant, LLC d/b/a Outback Steakhouse","6649 Crain Highway La Plata, MD 20646",4/27/2020,4/27/2020,65,2
334,"OS Restaurant, LLC d/b/a Outback Steakhouse","12741 Ocean Gateway #920 Ocean City, MD 21842",4/27/2020,4/27/2020,68,2
335,"OS Restaurant, LLC d/b/a Outback Steakhouse","10904 Boulevard Circle Owings Mills, MD 21117",4/27/2020,4/27/2020,75,2
336,"OS Restaurant, LLC d/b/a Outback Steakhouse","8245 Dickerson Lane Salisbury, MD 21804",4/27/2020,4/27/2020,80,2
337,"OS Restaurant, LLC d/b/a Outback Steakhouse","23415 Three Notch Road California, MD 20619",4/27/2020,4/27/2020,87,2
338,"OS Restaurant, LLC d/b/a Outback Steakhouse","3500 East West Highway Hyattsville, MD 20782",4/27/2020,4/27/2020,82,2
339,"OS Restaurant, LLC d/b/a Outback Steakhouse","80 Central Square Drive Prince Frederick, MD 20678",4/27/2020,4/27/2020,88,2
340,"OS Restaurant, LLC d/b/a Outback Steakhouse","3020 Crain Highway Waldorf, MD 20601",4/27/2020,4/27/2020,84,2
341,"OS Restaurant, LLC d/b/a Outback Steakhouse","4420 Long Gate Parkway Ellicott City, MD 21043",4/27/2020,4/27/2020,144,2
342,"OS Restaurant, LLC d/b/a Outback Steakhouse","12609 Wisteria Drive Germantown, MD 20874",4/27/2020,4/27/2020,63,2
343,"OS Restaurant, LLC d/b/a Outback Steakhouse","9660 Lottsford Court Largo, MD 20774",4/27/2020,4/27/2020,76,2
344,"OS Restaurant, LLC d/b/a Outback Steakhouse","14718 Baltimore Avenue Laurel, MD 20707",4/27/2020,4/27/2020,84,2
345,"OS Restaurant, LLC d/b/a Outback Steakhouse","6091 Oxon Hill Road Oxon Hill, MD 20745",4/27/2020,4/27/2020,87,2
346,"OS Restaurant, LLC d/b/a Outback Steakhouse","13703 Georgia Avenue Silver Spring, Md 20906",4/27/2020,4/27/2020,53,2
347,Residence Inn at Hunt Valley,"45 Schilling Road Hunt Valley, MD 21031",4/27/2020,3/23/2020,34,2
348,Enterprise Holdings,"7426 New Ridge Road Hanover, MD 21076",4/27/2020,4/30/2020,189,2
349,Enterprise Holdings,"701 Wedeman Avenue Linthicum Heights, MD 21090",4/27/2020,4/30/2020,220,2
350,"Shutterfly Lifetouch, LLC",Statewide,4/28/2020,3/12/2020,413,2
351,HMS Host,"6905 Rockledge Drive Bethesda, MD 20817",5/1/2020,4/24/2020,1,2
352,Capital Digestive Care,"10215 Fernwood Road Suite 404 Bethesda, MD 20817",5/4/2020,3/30/2020,3,2
353,Capital Digestive Care,"4831 Tesla Drive Suite G Bowie, MD 20715",5/4/2020,3/30/2020,5,2
354,Capital Digestive Care,"4861 Tesla Drive Suite K Bowie, MD 20715",5/4/2020,3/30/2020,4,2
355,Capital Digestive Care,"5550 Friendship Boulevard Suite T-90 Chevy Chase, MD 20815",5/4/2020,3/30/2020,13,2
356,Capital Digestive Care,"7350 Van Dusen Road Suite 210 Laurel, MD 20707",5/4/2020,3/30/2020,18,2
357,Capital Digestive Care,"15001 Shady Grove Road Suite 300 Rockville, MD 20850",5/4/2020,3/30/2020,9,2
358,Capital Digestive Care,"9711 Medical Center Drive Suite 308 Rockville, MD 20850",5/4/2020,3/30/2020,11,2
359,Capital Digestive Care,"10801 Lockwood Drive #200 Silver Spring, MD 20901",5/4/2020,3/30/2020,13,2
360,Capital Digestive Care,"12510 Prosperity Drive Suite 200 Silver Spring, MD 20904",5/4/2020,3/30/2020,1,2
361,Turf Valley Resort,"2700 Turf Valley Road Ellicott City, MD 21042",5/7/2020,5/11/2020,200,2
362,"Transdev Services, Inc.","8401 D'Arcy Road Forestville, MD 20747",5/8/2020,6/30/2020,194,1
