,company_name,location,notice_date,employees_affected
97,RSC Equipment Rental #297,RSC Equipment Rental #297,2/11/2011,4
98,Lincoln Benefit Life,Lincoln Benefit Life,2/10/2011,25
99,Boys & Girls Home of Nebraska,Boys & Girls Home of Nebraska - North Platte,2/4/2011,16
100,Miller Brands of Omaha,Miller Brands of Omaha,2/4/2011,50
101,Gymboree,Gateway Mall,1/23/2011,11
102,Husqvarna,Husqvarna,1/14/2011,390
103,TriWest Healthcare Alliance,Offutt AFB,12/17/2012,7
104,Katana Summit,Columbus,11/21/2012,178
105,Designer Blinds,Omaha,10/12/2012,103
106,"Sodexo, Inc.",Omaha,8/28/2012,47
107,Regional Elite,Omaha,8/27/2012,93
108,Schreiber Foods Inc.,Ravenna,8/23/2012,21
109,Schreiber Foods Inc.,Ravenna,8/23/2012,43
110,"Aurora Bank FSB, Aurora Loan Services",Scottsbluff,4/24/2012,502
111,Pamida Store Support Center,Omaha,1/31/2012,234
112,Designer Blinds,Omaha,12/31/2012,103
113,Katana Summit,Columbus,12/31/2012,178
114,KV Vet Supply,David City,12/28/2012,11
115,Garden Cafe & Bakery,Hastings,12/24/2012,50
116,Hostess (International Brands Incorporated),Norfolk,11/16/2012,3
117,Hostess (International Brands Incorporated),Lincoln (48th Street),11/16/2012,2
118,Hostess (International Brands Incorporated),Bellevue,11/16/2012,2
119,Hostess (International Brands Incorporated),Omaha (144th St.),11/16/2012,37
120,Hostess (International Brands Incorporated),Lincoln (Kimco),11/16/2012,15
121,Hostess (International Brands Incorporated),Omaha (Plaza),11/16/2012,2
122,Regional Elite,Omaha,10/30/2012,93
123,"Sodexo, Inc.",Omaha,10/26/2012,47
124,Schreiber Foods Inc.,Ravenna,10/24/2012,21
125,CoSentry,Omaha,10/12/2012,7
126,Lakeview Care Center,Firth,10/1/2012,49
127,Bobs Super Store,Kearney,9/21/2012,50
128,TCBY,Kearney,9/15/2012,8
129,Preferred Sands of Genoa,Genoa,8/17/2012,16
130,"Even Temp, Inc.",Waco,8/16/2012,10
131,Alco Discount Store,Beatrice,8/15/2012,18
132,Party Patch,Omaha,8/4/2012,5
133,Spaghetti Works,Lincoln,7/29/2012,29
134,"Aurora Bank FSB, Aurora Loan Services",Scottsbluff,7/7/2012,502
135,Uta Halee Girls Village,Uta Halee Girls Village - Ponca Pines Academy,6/30/2012,12
136,QBE North America,Lincoln,6/19/2012,7
137,Library Restaurant and Lounge,Library Restaurant and Lounge,6/16/2012,14
138,Grand View Manor,Grand View Manor,5/31/2012,30
139,Grand View Manor,Grandview Manor,5/31/2012,30
140,Stone Creek Homes,Stone Creek Homes,5/25/2012,41
141,"Beef Products, Inc. - Lexington","Beef Products, Inc. - Lexington",5/25/2012,10
142,William Thiemann DDS,William Thiemann DDS,5/24/2012,4
143,"Beef Products, Inc. - South Sioux City","Beef Products, Inc. - South Sioux City",5/15/2012,45
144,Wendy's,Wendys - Central City,4/22/2012,20
145,Blockbuster - Grand Island,Blockbuster - Grand Island,4/15/2012,6
146,Blockbuster Video - Kearney,Blockbuster Video - Kearney,3/25/2012,12
147,Maverick Media,Maverick Media,3/2/2012,18
148,"Nebraska Department of Health and Human Services, Central Service Area","Nebraska Department of Health and Human Services, Central Service Area",2/29/2012,10
149,Rural Metro,Rural Metro,2/29/2012,30
150,KVC Health Systems - Nebraska,KVC Health Systems - Nebraska,2/29/2012,490
151,Russwood Auto Center,Russwood Auto Center,2/6/2012,40
152,"Ballantyne Strong, Inc.",Omaha,2/3/2012,16
153,Uta Halee Girls Village,Omaha,1/31/2012,4
154,Bath & Body,Bath & Body - Hastings,1/27/2012,9
155,Sartor Hamann Jewelers,Sartor Hamann Jewelers:  Grand Island,1/15/2012,11
156,American Meter Company,American Meter (Elster),1/6/2012,70
157,"School Specialty, Inc. - Hammond & Stephens",Fremont,9/4/2013,52
