,company_name,location,notice_date,employees_affected
485,Shopko xxxx,Omaha Distribution Center,1/1/2016,265
486,Schweser's,Lincoln,1/1/2016,10
487,Shopko Corporate Office,Omaha - Shopko Distribution Center,1/1/2016,265
488,CHS,South Sioux City,12/19/2017,63
489,RHD,Omaha,8/8/2017,160
490,American Red Cross,Recruitment Center,8/1/2017,133
491,Gordmans,Headquarter,5/11/2017,131
492,Dr. Leonard's Healthcare Corporation,Lincoln,5/5/2017,170
493,"Cargill, Inc.","Blair, NE",4/7/2017,7
494,Dollar Express,Omaha,4/4/2017,7
495,Gordmans,Headquarter,3/14/2017,450
496,Progress Rail,Gering,12/31/2017,39
497,Good Samaritan Society,Alliance,12/31/2017,50
498,Eagle Grocery,Eagle,12/31/2017,5
499,Reicherts Jewelry,Ogallala,12/31/2017,3
500,Union Tank Car,Omaha,12/29/2017,12
501,Stagecoach Mall,Fairbury,12/29/2017,5
502,Black Hills Energy,Lincoln,12/29/2017,5
503,MJ's Restaurant,Scottsbluff,12/28/2017,
504,Charming Charlie,Papillion,12/24/2017,15
505,"Hobbe""s"" Restaurant",North Platte,12/23/2017,8
506,Cottonwood,Lincoln,12/23/2017,15
507,Herzing University,Omaha,12/20/2017,8
508,CHS,South Sioux City,12/18/2017,63
509,Buss Stop Petro,Beatrice,12/15/2017,5
510,Foster Lumber Company,Sidney,12/15/2017,6
511,ADM Milling,Lincoln,12/12/2017,4
512,Bread & Cup,Lincoln,12/10/2017,30
513,Canfield's Sporting Goods,Omaha,12/8/2017,
514,Century Link,Omaha,12/2/2017,1
515,Data Transmission Network,Omaha,11/30/2017,53
516,Smart Room,Lincoln,11/12/2017,
517,The Shed Grill & Spirits,Scottsbluff,11/11/2017,
518,Hood Packaging Corporation,Omaha,11/10/2017,100
519,Axius Services,Norfolk,11/8/2017,3-5
520,Penair,North Platte,11/7/2017,
521,Whiskey Creek Wood Fire Grill,Scottsbluff,11/6/2017,24
522,Pizza Hut,Gering,10/31/2017,12
523,"Mark of Honor Youth Lodge, Inc.",Lincoln,10/27/2017,10
524,"Willsie Cap & Gown, Inc.",Omaha,10/27/2017,8
525,Gusto Cuban Cafe,Ralston,10/22/2017,4
526,Boston Market,Lincoln,10/22/2017,
527,Life Quest,Palmer,10/20/2017,12
528,Chevy's Fresh Mex,Lincoln,10/19/2017,
529,RHD,Omaha,10/8/2017,80
530,RHD,Lincoln,10/8/2017,80
531,McFarland & Sons,Lincoln,10/4/2017,
532,Northside Cafe,Lincoln,10/1/2017,
533,Together,Omaha,9/30/2017,2
534,American Red Cross,Recruitment Center,9/29/2017,133
535,Rent A Center,Beatrice,9/27/2017,4
536,Choice Floor Specialists,York,8/15/2017,3
537,Joe's Crab Shack,Omaha,8/11/2017,
538,Dr. Leonard's Healthcare Corporation,Lincoln,8/4/2017,170
539,Marshfield Food Safety Services,Schuyler,7/24/2017,18
540,Black Hills Energy,Papillion,7/19/2017,35
541,Prengers,Norfolk,7/16/2017,25
542,Game Cycle,Beatrice,7/15/2017,1
543,Doc's Place,Lincoln,7/15/2017,
544,Ploughshare,Lincoln,7/11/2017,
545,Tiger Town Food and Floral Center,Osmond,7/10/2017,
546,Good Air Home Medical Equipment,Ogallala,7/1/2017,6
547,Integrated Life Choices,Beatrice,6/30/2017,8
548,Nebraska Bull Service,McCook,6/30/2017,14
549,"MWD Steel Fabrication, LLC",Lincoln,6/23/2017,20
550,"Dickey's Barbeque Restaurants, Inc",Lincoln,6/16/2017,
551,TCBY,O Street - Lincoln,5/22/2017,
552,Speak Out,P.O. Box 1066,5/1/2017,4
553,Family Christian,Lincoln,4/28/2017,
554,Da Buzz,North Platte,4/24/2017,4
555,Good Samaritan Society,Wymore,4/24/2017,40
556,Ragazzi's Pizza,Ralston,4/21/2017,
557,Epworth Village,York,4/17/2017,13
558,Rue 21,North Platte,4/17/2017,9
559,Rue 21,Lincoln -Wilderness Hills,4/17/2017,12
560,Rue 21,Gretna,4/17/2017,14
561,Gothenburg Medical Arts,Gothenburg,4/17/2017,4
562,Omaha Truck and Trailer,Omaha,4/7/2017,2
563,Nathan Detroit's,Grand Island,4/1/2017,
564,Envision,Norfolk,3/31/2017,15
565,Resource Real Estate Management,Omaha,3/31/2017,6
566,Big Apple Bagels,Norfolk,3/31/2017,3
567,Casey's,West Point,3/28/2017,15
568,Hallmark,Norfolk,3/27/2017,13
569,Vanity,Grand Island,3/27/2017,7
570,Vanity,Kearney,3/27/2017,7
571,Vanity,Lincoln,3/27/2017,7
572,Vanity,Norfolk,3/27/2017,5
573,Vanity,North Platte,3/27/2017,12
574,Vanity,Omaha,3/27/2017,8
575,Vanity,Omaha - California Street,3/27/2017,5
576,Vanity,Scottsbluff,3/27/2017,7
577,Western Convenience Stores - Restaurant,Hershey,3/24/2017,9
578,"General Wireless Operations, Inc dba Radio Shack",Dodge Street - Omaha,3/23/2017,5
579,"General Wireless Operations, Inc dba Radio Shack",Eastgate Plaza - Fremont,3/23/2017,2
580,"General Wireless Operations, Inc dba Radio Shack",Lincoln Crossing - Lincoln,3/23/2017,2
581,"General Wireless Operations, Inc dba Radio Shack",Maplewood Plaza - Omaha,3/23/2017,5
582,"General Wireless Operations, Inc dba Radio Shack",Stockyards Plaza - Omaha,3/23/2017,4
583,"General Wireless Operations, Inc dba Radio Shack",Sunset Plaza - Norfolk,3/23/2017,3
584,"General Wireless Operations, Inc dba Radio Shack",Van Dorn Plaza - Lincoln,3/23/2017,3
585,Delta Enterprises - MidAmerica Vision,Fairbury,3/21/2017,4
586,Sun Mart,Ogalalla,3/18/2017,25
587,Cabela's x,Sidney,3/14/2017,70
588,Cabela's Corporation,Cabela's Store - Sidney,3/14/2017,70
589,Pizza Shoppe,Benson,3/11/2017,8
590,Capriottis,S. 11th Street,3/10/2017,0
591,Nebraska Book Company,Lincoln,3/9/2017,40
592,Titan Machinery,Broken Bow,3/1/2017,
593,City of Fairbury,Fairbury,2/28/2017,
594,Nebraska State Patrol-Communications Center,Lincoln,2/28/2017,9
595,PureRed Integrated Marketing,Norfolk,2/27/2017,3
596,Creighton University,Omaha,2/23/2017,6
597,Amy's Hallmark,Fremont,2/22/2017,9
598,Lutheran Family Services,Omaha,2/21/2017,8
599,Cleaver Brooks,Lincoln,2/20/2017,2
600,Cleaver Brooks,Lincoln,2/17/2017,23
601,First National Bank,Omaha,2/16/2017,65
602,Sunmart,Ogallala,2/16/2017,25
603,Sunmart,Ogalalla,2/16/2017,25
604,R Way Mental Health Rehabilitation,Wayne,2/15/2017,25
605,Brix - Village Point,Village Point,2/14/2017,45
606,Taco Inn,Lincoln,2/14/2017,16
607,Sunflower Marketing,"Geneva, NE",2/3/2017,14
608,Bentley Fine Jewelry and Repair,Scottsbluff,1/31/2017,1
609,Shopko xxxx,Omaha Store,1/31/2017,75
610,Pendleton Woolen Mills,Nebraska City,1/28/2017,4
611,Braeda,Lincoln,1/28/2017,14
612,NCI Building Systems,Omaha,1/27/2017,30
613,Catholic Charities,Omaha,1/27/2017,28
614,Midwest Medical Transport,North Platte,1/27/2017,5
615,Simply Mac,Gateway Mall,1/26/2017,6
616,The Children's Place,Lincoln,1/14/2017,14
617,Zoup,Lincoln,1/14/2017,8
618,Brix,Midtown Crossing,1/12/2017,45
619,Brix,Village Point,1/12/2017,42
620,Brix - Midtown Crossing,Midtown Crossing,1/12/2017,42
621,Brix - Village Point,Village Point,1/12/2017,45
622,Brix - Village Point,Village Point,1/12/2017,45
623,The Limited,Nebraska Crossing Outlet Mall,1/11/2017,15
624,The Limited,Oakview Mall,1/11/2017,15
625,Western Trails Sports Post,Scottsbluff,1/7/2017,4
626,Yates Motors,Gering,1/7/2017,1
627,Great Wraps,Gateway Mall,1/4/2017,2
628,Great Wraps,Gateway Mall,1/4/2017,0
629,Union Pacific,Morrill,10/11/2018,68
630,Capital One Financial,Lincoln,10/2/2018,155
631,Ariens,Auburn,6/14/2018,194
632,Charter Spectrum,Lincoln,5/8/2018,55
633,Younkers (BonTon),102nd street Omaha,4/5/2018,356
634,Convergys Corporation,Omaha,3/7/2018,123
635,Brightstar,Omaha,2/27/2018,53
636,Parker Hannifin,Gothenburg,1/16/2018,132
637,Dr. Mausolf Ophthalmology,Lincoln,12/31/2018,7
638,PaymentSpring - Nelnet,Omaha,12/31/2018,30
639,Allstate Insurance,Lincoln,12/31/2018,14
640,Kearney Little Learners,Kearney,12/28/2018,23
641,CraftHouse,Lincoln,12/22/2018,
642,Shopko Corporate Office,Gordon,12/22/2018,12
643,Shopko Corporate Office,Ogallala,12/22/2018,16
644,Shopko xxxx,Gordon,12/22/2018,12
645,Shopko xxxx,Ogallala,12/22/2018,16
646,201 Tanning & Spa,Beatrice,12/21/2018,2
647,O'Connor's Irish Pub,Omaha,12/15/2018,3
648,Capital One Financial,Lincoln,12/7/2018,155
649,Shivers Sweets N Treats,Lincoln,12/2/2018,2
650,The Creative Teacher,Kearney,11/27/2018,
651,Funshine Shop,Kearney,11/21/2018,2
652,The Emporium Restaurant,Scottsbluff,11/16/2018,11
653,Quad Graphics,Sidney,11/16/2018,30
654,Jimmy's Egg,Lincoln,11/14/2018,
655,Five Guys,Lincoln - Downtown,10/31/2018,
656,The Donut Shop,Omaha,10/31/2018,2
657,Lewis Greenscape,Grand Island,10/27/2018,12
658,Heartland Foods,Beatrice,10/27/2018,4
659,Crafts Inc.,Norfolk,10/2/2018,3
660,Jason Sears Flooring,O'Neill,10/1/2018,3
661,Big Top Party Shop,Norfolk,9/30/2018,5
662,Family 4Ward,Scottsbluff,9/28/2018,5
663,Gamers,Lincoln,9/27/2018,
664,Gamers,Omaha,9/27/2018,
665,Gamers,La Vista,9/27/2018,
666,Poling Drug,Beatrice,9/18/2018,4
667,Allen's Superstore,Hastings,9/15/2018,33
668,Herbergers,Kearney,8/31/2018,80
669,Save Best Store,Lincoln,8/31/2018,8
670,Herbergers,Norfolk,8/31/2018,22
671,Herbergers,North Platte,8/31/2018,47
672,Herbergers,Scottsbluff,8/31/2018,55
673,Herbergers,Hastings,8/31/2018,13
674,Younkers,Lincoln,8/31/2018,90
675,Younkers,Omaha - Oakview Mall,8/31/2018,141
676,Younkers,Grand Island,8/31/2018,80
677,Younkers,Omaha - Westroads Mall,8/31/2018,190
678,Nebraska Auto Auction,Lincoln,8/29/2018,5
679,Ruby Tuesday,Grand Island,8/26/2018,45
680,Pet Kingdom,Kearney,8/20/2018,
681,Ariens,Auburn,8/17/2018,194
682,Erbert & Gerbert's Sandwich Shop,Kearney,7/31/2018,7
683,Lutheran Home,Omaha,7/29/2018,38
684,Brightstar,Omaha,7/27/2018,53
685,Staples,North Platte,7/20/2018,12
686,Serendipity,Norfolk,7/5/2018,1
687,MB Financial Bank,Omaha,7/2/2018,31
688,Little Blessings,Lincoln,7/2/2018,7
689,Little Blessings,Omaha,7/2/2018,13
690,Akin's Natural Foods,Lincoln,6/30/2018,10
691,Adams County Senior Services,Hastings,6/30/2018,9
692,Randolph Car Wash,Lincoln,6/30/2018,20
693,Shopko Corporate Office,Crete,6/30/2018,12
694,Joseph's College,North Platte,6/30/2018,2
695,Building Healthy Futures,Omaha,6/30/2018,5
696,Shopko xxxx,Crete,6/30/2018,12
697,Maximus,Omaha,6/29/2018,41
698,Toys-R-Us,Lincoln,6/27/2018,30
699,Toys-R-Us,Omaha,6/27/2018,30
700,Toys-R-Us,Lincoln,6/27/2018,30
701,Toys-R-Us,Omaha - Oakview Mall,6/27/2018,30
702,Lyons Living Center,Lyons,6/24/2018,30
703,PureRed Integrated Marketing,Norfolk,6/22/2018,19
704,Center for People in Need,Lincoln,6/21/2018,3
705,Farner Company,Norfolk,6/15/2018,17
706,Good Samaritan Assisted Living,Scribner,6/15/2018,7
707,Applebee's,Hastings,6/14/2018,5
708,The Minuteman Hotel,Lexington,5/31/2018,4
709,Roadrunner Temperature Controlled,Omaha,5/31/2018,28
710,Grace University,Omaha,5/31/2018,135
711,Convergys Corporation,Omaha,5/31/2018,123
712,Wells Fargo,Grand Island,5/16/2018,18
713,Cenveo Corporation,Omaha,5/10/2018,52
714,Streck,La Vista,5/4/2018,9
715,Runza,Lincoln,5/4/2018,19
716,Maaschhoff's,Wolbach,5/1/2018,9
717,Liberty Cleaners,Hastings,5/1/2018,3
718,Liberty Cleaners,North Platte,5/1/2018,3
719,Liberty/Deluxe Cleaners,York,5/1/2018,3
720,Perkins Restaurant & Bakery,Lincoln - N 48th,5/1/2018,15
721,Kearney County Health Services,Minden,4/29/2018,55
722,Charter Spectrum,Lincoln,4/26/2018,55
723,Nebraska Transport Company,Gering,4/20/2018,8
724,C & C Specialty Market,Beatrice,4/6/2018,3
725,PCT Livestock,St. Libory,4/4/2018,2
726,Direct Check,McCook,4/3/2018,1
727,Eagle Distributing,Norfolk,4/2/2018,2
728,Election Systems & Software,Omaha,4/2/2018,1
729,Corelink Administrative Solutions,HQ,4/2/2018,14
730,Great Plains Health,North Platte,4/1/2018,7
731,Defy Gravity Trampoline Park,La Vista,3/31/2018,
732,Nifast,Beatrice,3/29/2018,4
733,Justice,Norfolk,3/28/2018,2
734,Wells Fargo,McCook,3/28/2018,6
735,Claire's,North Platte,3/25/2018,
736,Tanner's Bar and Grill,Lincoln,3/18/2018,10
737,Methodist Hospital Hospice,Omaha,3/16/2018,60
738,Three Eighteen on the Avenue,Norfolk,3/12/2018,3
739,Tidal Gas Station,North Platte,3/7/2018,4
740,Schwartz Enterprises of NE,Chappell,2/28/2018,16
741,Heartland Motors,Beatrice,2/27/2018,2
742,Hickory Road BBQ,Lincoln,2/26/2018,10
743,Taco Bell,North Platte,2/25/2018,18
744,Omaha World Herald,Bellevue,2/20/2018,24
745,Chocolatier Blue,Lincoln,2/15/2018,1
746,Lot 2 Restaurant and Wine Bar,Omaha,2/15/2018,15
747,Strategic Health Solutions,Omaha,2/14/2018,41
748,Village Inn,Lincoln,2/11/2018,32
749,"Heartland Products-Hog Slat, Inc.",Columbus,2/8/2018,5
750,YMCA,Grand Island,2/6/2018,1
751,Schlotzsky's,Lincoln,2/5/2018,13
752,Lead & Stone,Norfolk,2/1/2018,
753,Bart's Detasseling,Beaver Crossing,1/31/2018,
754,GCR (Firestone),North Platte,1/30/2018,7
755,Fair Deal Cafe,Omaha,1/29/2018,
756,Beatrice Daily Sun,Beatrice,1/29/2018,1
757,Lincoln Journal Star,Lincoln,1/29/2018,4
758,Wahoo's Fish Taco,Lincoln,1/26/2018,
759,Company Kitchen,Omaha,1/26/2018,3
760,Windstream Communications,Lincoln,1/25/2018,5
761,Oklahoma Joe's,Lincoln,1/23/2018,
762,Perkins Restaurant & Bakery,Lincoln - NW 12th,1/21/2018,29
763,Austad's Golf,Lincoln,1/19/2018,6
764,Watering Hole,Lincoln,1/19/2018,
765,Kmart,Omaha,1/14/2018,44
766,"Liberty Mobility Now, Inc.",Lincoln,1/11/2018,29
767,Shopko xxxx,Omaha - Southwest,1/6/2018,15
768,Shopko Corporate Office,Omaha - 3020 South 84th Street,1/6/2018,15
769,Strouds,Omaha,1/2/2018,
770,Dugger's Cafe,Omaha,1/1/2018,20
771,Bimbo Bakeries,South Sioux City,8/2/2019,81
772,"Fargo Assembly of PA, Inc.","David City, NE",7/15/2019,186
773,Premier Estates,West Point,6/10/2019,35
774,Premier Estates,Fremont,6/10/2019,43
775,Premier Estates,Crete,6/10/2019,64
776,Premier Estates,Crete,6/10/2019,64
777,"Hayneedle, Inc.",Chalco Valley Parkway,5/2/2019,180
778,"Hayneedle, Inc.",West Dodge Road,5/2/2019,59
779,"Coreslab Structures, Inc.",Bellevue,4/9/2019,
780,Broken Bow Care & Rehabilitation Center,Broken Bow,3/27/2019,44
781,Schuyler Care & Rehabilitation Center,Schuyler,3/18/2019,53
782,Norfolk Care & Rehabilitation Center,Norfolk,3/18/2019,42
783,Cabela's x,Oshkosh Returns Facility,3/8/2019,41
784,Cabela's x,Sidney Distribution Center,3/8/2019,120
785,Cabela's Corporation,Returns Facility - Oshkosh,3/8/2019,41
786,Cabela's Corporation,Distribution Center - Sidney,3/8/2019,120
787,Spectrum America Supply Chain Solutions (Shopko distribution)xxxx,Shopko Distribution Center,2/26/2019,295
788,Shopko Corporate Office,Omaha - Shopko Distribution Center,2/26/2019,
789,Lincoln Journal Star,Lincoln,2/11/2019,48
790,Wausa Care and Rehabilitation Center,Wausa,1/14/2019,39
791,Sidney Care and Rehabilitation Center,Sidney,1/10/2019,51
792,Wright's Jewelers,Lincoln,12/31/2019,5
793,Jack Link's Jerky,Bellevue,12/31/2019,62
794,Leonard and His House of Unfinished Furniture,Lincoln,12/31/2019,1
795,Lazzari's Pizza,Lincoln,12/31/2019,
796,Le Cupcake,Lincoln,12/31/2019,5
797,Goodwill Outlet,Grand Island,12/31/2019,1
798,Tornado Crepes,Lincoln,12/31/2019,
799,Land O Lakes Inc,McCook,12/31/2019,3
800,Beed Transportation Inc,Office,12/31/2019,26
801,Connect Gallery,Omaha,12/28/2019,2
802,Kitchen Sink Bakery,Lincoln,12/21/2019,2
803,Gianna's Java & Gelato,Lincoln,12/21/2019,10
804,Papa Murphy's,Columbus,12/16/2019,
805,Petrow's Restaurant,Omaha,12/14/2019,40
806,Amigos,Lincoln - 14th & Q,12/13/2019,
807,Rule G Night Club,Lincoln,12/9/2019,
808,"Dickey's Barbeque Restaurants, Inc",York,12/5/2019,
809,TC Home Furnishings,Columbus,11/30/2019,3
810,Mouth of the South,Omaha,11/30/2019,
811,Buffalo Wings & Rings,Lincoln,11/29/2019,20
812,Skeeter Barnes,Columbus,11/24/2019,
813,Forever 21,Lincoln,11/23/2019,35
814,Morys Haven in Columbus,Columbus,11/21/2019,62
815,Utica Community Center,Utica,11/21/2019,30
816,Crestview Healthcare Center - Milford,Milford,11/21/2019,50
817,MWC Acquisitions Co. LLC,Atkinson,11/19/2019,19
818,Jazz: A Louisiana Kitchen,Omaha,11/19/2019,
819,"Prairie Catalyitic, LLC",Plant,11/18/2019,15
820,Wilber Meat Market,Wilber,11/16/2019,2
821,Fresh Thyme,Grand Island,11/16/2019,45
822,Fresh Thyme,Lakeside,11/16/2019,28
823,9 South Chargrill # 2,Hickman,11/15/2019,45
824,Buck Snort Restaurant,Nebraska City,11/11/2019,8
825,AJ's Soda Shop,Scottsbluff,11/5/2019,1
826,Amigo's/King Classic,Auburn,11/3/2019,15
827,Green Flash Brewhouse & Eatery,Lincoln,11/2/2019,5
828,Seasons Floral & Gifts,Columbus,10/31/2019,2
829,Valley Bowl,Scottsbluff,10/31/2019,
830,Airhost Restaurant & Lounge,Lincoln,10/31/2019,10
831,"Games People Play, Inc",Omaha,10/30/2019,3
832,Egg & I,Lincoln,10/27/2019,17
833,Thurston Manufacturing,Thurston,10/24/2019,38
834,Regis Salon,Conestoga Mall,10/22/2019,5
835,Blue Prairie Brands,Gering,10/22/2019,2
836,Sears Hometown Store,North Platte,10/17/2019,
837,Major's Convenience Store & Cafe,Roca,10/5/2019,2
838,Bimbo Bakeries,South Sioux City,10/4/2019,81
839,Don & Randy Shoemaker's Truck Station,Lincoln,9/28/2019,20
840,Greenbrier Railcar (GBW),Omaha,9/27/2019,14
841,The Michael's Cantina at the Market,Omaha,9/27/2019,25
842,Family Video,Columbus,9/25/2019,4
843,Kentucky Fried Chicken,S. Sioux City,9/25/2019,17
844,Kentucky Fried Chicken,Columbus,9/25/2019,
845,Set the Bar Fitness & Nutrition,Norfolk,9/13/2019,
846,MMP Enterprises,Sidney,9/5/2019,7
847,Eakes Office Solutions Corporation,Grand Island - Corporate / Retail,8/31/2019,2
848,Charming Charlie,Omaha - L Street,8/31/2019,9
849,Charming Charlie,Omaha - Village Pointe,8/31/2019,4
850,Charming Charlie,Lincoln,8/31/2019,9
851,Jan's Cleaners & Shirt Laundry,Beatrice,8/23/2019,2
852,Tommy's Family Restaurant,Grand Island,8/20/2019,1
853,Union Pacific Railroad,North Platte,8/20/2019,55
854,Teriyaki Madness,Lincoln,8/16/2019,
855,Peking Palace Chinese Buffett,Grand Island,8/14/2019,
856,Standard Iron,Grand Island,8/12/2019,31
857,Young Voices Child Development Center,Lincoln,8/11/2019,
858,Barnstormers Family Bar & Grill,Norfolk,8/10/2019,20
859,Risky's Sports Bar and Grill,Beatrice,8/9/2019,
860,US Aprons,Sidney,8/8/2019,10
861,Premier Estates,West Point,8/6/2019,35
862,Premier Estates,Fremont,8/6/2019,43
863,Premier Estates,Crete,8/6/2019,64
864,Earl May Nursery & Garden Center,Beatrice,8/4/2019,3
865,Eakes Office Solutions x,York,8/2/2019,3
866,Eakes Office Solutions Corporation,York,8/2/2019,3
867,Anderson Auto Parts,Grand Island,7/31/2019,4
868,El Canelo Mexican Restaurant,Beatrice,7/31/2019,
869,Norfolk Natural Market,Norfolk,7/31/2019,5
870,The Pipeline Clothing eXchange,Beatrice,7/31/2019,1
871,Goodyear Fitness Center,Lincoln,7/28/2019,20
872,Therman's Bike and Sport,Nebraska City,7/28/2019,0
873,Merle's Food & Drink,Lincoln,7/27/2019,13
874,B & B Grill and Arcade,Bellevue,7/27/2019,11
875,Spreetail,Lincoln,7/24/2019,22
876,Gerda's German Restaurant & Bakery,Omaha,7/22/2019,
877,Charter Spectrum,Beatrice,7/19/2019,2
878,Good Samaritan Nursing Home,Wood River,6/30/2019,40
879,Cosmo Professional Beauty Supply,Lincoln,6/28/2019,31
880,Highnooner's Deli,Lincoln,6/28/2019,4
881,Video Kingdom Electronics,Hastings,6/28/2019,5
882,Amato's,Omaha,6/23/2019,5
883,Shopko Hometown xxxx,Shopko Hometown Omaha,6/23/2019,53
884,Shopko Corporate Office,Omaha - 14445 West Center Road,6/23/2019,53
885,Union Pacific,North Platte,6/21/2019,78
886,Werner Service & Trucking,St. Edward,6/21/2019,24
887,Grand Island Park Place Care & Rehabilitation Center,Grand Island,6/18/2019,64
888,Shopko xxxx,Grand Island,6/16/2019,54
889,Shopko Hometown xxxx,Holdrege,6/16/2019,21
890,Shopko xxxx,North Platte,6/16/2019,45
891,Shopko Hometown xxxx,SHopko Hometown Wayne,6/16/2019,25
892,Shopko xxxx,Shopko O'Neil,6/16/2019,19
893,Shopko Hometown xxxx,Broken Bow,6/16/2019,15
894,Shopko Hometown xxxx,Valentine,6/16/2019,18
895,Shopko Corporate Office,Broken Bow,6/16/2019,15
896,Shopko Corporate Office,Grand Island,6/16/2019,54
897,Shopko Corporate Office,Holdrege,6/16/2019,21
898,Shopko Corporate Office,North Platte,6/16/2019,45
899,Shopko Corporate Office,O'Neill,6/16/2019,19
900,Shopko Corporate Office,Valentine,6/16/2019,18
901,Shopko Corporate Office,Wayne,6/16/2019,25
902,Wahoo Super,Wahoo,6/5/2019,28
903,Payless,Scottsbluff,5/31/2019,2
904,Bigler Motors,Lincoln,5/31/2019,12
905,Payless ShoeSource,Norfolk - Sunset Plaza Mall,5/28/2019,6
906,Blue Blood Brewery,Lincoln,5/16/2019,34
907,Wiggles and Giggles Academy,Holdrege,5/15/2019,9
908,Casey's General Store,Lincoln,5/12/2019,6
909,Shopko xxxxx,Beatrice,5/12/2019,15
910,Shopko xxxx,Ainsworth,5/12/2019,15
911,Shopko Hometown xxxx,Falls City,5/12/2019,25
912,Shopko Corporate Office,Falls City,5/12/2019,25
913,Shopko Corporate Office,Ainsworth,5/12/2019,18
914,Shopko Corporate Office,Beatrice,5/12/2019,15
915,Cabela's Corporation,Returns Facility - Oshkosh,5/11/2019,41
916,Cabela's Corporation,Distribution Center - Sidney,5/11/2019,120
917,Schuyler Care & Rehabilitation Center,Schuyler,5/11/2019,53
918,Norfolk Care & Rehabilitation Center,Norfolk,5/11/2019,42
919,Cabela's x,Oshkosh Returns Facility,5/11/2019,41
920,Cabela's x,Sidney Distribution Center,5/11/2019,120
921,Shopko Hometown xxxx,Auburn,5/5/2019,20
922,Shopko Hometown xxxx,Superior,5/5/2019,12
923,Shopko xxxx,Gothenburg,5/5/2019,15
924,Shopko Corporate Office,Gothenburg,5/5/2019,15
925,Shopko Corporate Office,Auburn,5/5/2019,20
926,Shopko Corporate Office,West Point,5/2/2019,24
927,Shopko Corporate Office,Norfolk,5/1/2019,35
928,Noodles & Company,Lincoln,4/23/2019,16
929,"Elkhorn River Farms, LLC",O'Neill,4/22/2019,31
930,Payless ShoeSource,Lincoln 6845,4/20/2019,2
931,Payless ShoeSource,Lincoln 4200,4/19/2019,3
932,Payless,North Platte,4/19/2019,5
933,Spectrum America Supply Chain Solutions (Shopko distribution)xxxx,Shopko Distribution Center,4/15/2019,295
934,Shopko Corporate Office,Lincoln - 4200 South 27th Street,4/15/2019,42
935,Shopko Corporate Office,Lincoln - 100 South 66th Street,4/15/2019,44
936,Shopko Corporate Office,Lincoln - 6845 South 27th Street,4/15/2019,44
937,Shopko Corporate Office,Lincoln - 4200 South 27th Street Optical,4/15/2019,5
938,Shopko Corporate Office,Omaha - Shopko Distribution Center,4/15/2019,295
939,Payless ShoeSource,Gateway Mall - Lincoln,4/14/2019,
940,Lincoln Journal Star,Lincoln,4/13/2019,48
941,Buck's Shoes,Omaha,4/9/2019,6
942,Buck's Shoes,Fremont,4/9/2019,2
943,Century Lumber Center,Scottsbluff,4/1/2019,1
944,Shopko Hometown xxxx,Albion,3/31/2019,17
945,SkateDaze,Omaha,3/31/2019,6
946,Shopko Corporate Office,Albion,3/31/2019,17
947,Sears,Crossroads Mall - Omaha,3/29/2019,42
948,Kmart,Alliance,3/24/2019,42
949,Payless ShoeSource,Norfolk 2005,3/23/2019,1
950,Payless ShoeSource,Lincoln N27th,3/23/2019,7
951,Payless ShoeSource,In Shopko - Lincoln,3/19/2019,
952,Sidney Care and Rehabilitation Center,Sidney,3/15/2019,51
953,Wausa Care and Rehabilitation Center,Wausa,3/15/2019,39
954,Nebraska Commission for the Blind x,Norfolk,3/12/2019,2
955,Nebraska Commission for the Blind and Visually Impaired,Lincoln,3/12/2019,8
956,Nebraska Commission for the Blind and Visually Impaired,Norfolk,3/12/2019,2
957,Payless ShoeSource,Columbus,3/12/2019,6
958,Legends Patio Bar & Grill,Lincoln,3/11/2019,18
959,Sears,Lincoln - Gateway Mall,3/10/2019,
960,Shopko xxxx,Lincoln NW,3/2/2019,48
961,Shopko xxxx,Ord,3/2/2019,17
962,Shopko Corporate Office,Ord,3/2/2019,17
963,Shopko Corporate Office,Lincoln - 3400 North 27th Street,3/2/2019,48
964,Capital One Financial,Lincoln,3/1/2019,4
965,Sears,Grand Island,2/28/2019,27
966,Shopko xxxx,Kimball,2/28/2019,16
967,Corps of Discovery Welcome Center,Crofton,2/28/2019,1
968,Shopko Corporate Office,Kimball,2/28/2019,16
969,Shopko Corporate Office,Broken Bow,2/18/2019,3
970,Country Nest,Kearney,2/18/2019,0
971,Shopko xxxx,Ainsworth - Pharmacy,2/18/2019,3
972,Shopko Hometown xxxx,Broken Bow - Pharmacy,2/18/2019,3
973,The Solid Rock,Kearney,1/31/2019,6
974,Union Pacific,Morrill,1/30/2019,68
975,Gap,Lincoln,1/28/2019,
976,US Bank,Lincoln,1/25/2019,
977,US Bank,North Platte,1/25/2019,1
978,Blue Valley Bowl,Hebron,1/17/2019,3
979,Sears Hometown Store,Beatrice,1/15/2019,5
980,Shopko Hometown Pharmacy xxxx,Wayne,1/12/2019,9
981,Shopko Corporate Office,Wayne,1/12/2019,9
982,Shopko Corporate Office,Lincoln - 4200 South 27th Street Pharmacy,1/9/2019,6
983,Shopko Corporate Office,Lincoln - 6845 South 27th Street Pharmacy,1/9/2019,4
984,Shopko Pharmacy xxxx,Lincoln Pine Lake,1/9/2019,4
985,Shopko Pharmacy xxxx,Lincoln 4200 S. 27th,1/9/2019,6
986,Shopko Pharmacy xxxx,Lincoln 100 S. 66th,1/8/2019,
987,Shopko Corporate Office,Lincoln - 100 South 66th Street Pharmacy,1/8/2019,
